record_id,ID,active,created_date,description,evaluation_period,grace_range_definition,grace_range_enabled,linked_recommendations,linked_recommendations_2,minimum_frequency,scoring_name,scoring_type,target_value,threshold_binary,updated_date,weight_factors,zones_definition
recayNMUgJMcKv9o3,TEMPLATE_BINARY_DAILY,True,2025-07-21,"Binary scoring evaluated daily: 100% if threshold met that day, 0% if not. Use for daily compliance requirements where each day is independent. Examples: supplement taken (yes/no), morning light exposure (≥20min), meal timing deadlines.",daily,,,"rec51TDeLYX6vOI1v, recHzb6cKfnSgyEzu, recRsxAqRnyD0hIL5, recKkP3TAlDTtLiuo, recMV3jzfb4sKW5vY, rec3vdJyRz5x9yYJ6, recGXWM4L7vUbxfCd, recTJviRFoOIYipZZ, rec6gzOrneb26gUk8, recUROIBVBAObV7l2, reczMIC9rZdAuBwLG, recGQyztbSj4MyEaU, recIRf5TBEMboKqVm, rec949y9L8RuJ25yP, receMjPXD2cZs6rer, recq2dRUP4FLao9gd, rectiHMpuqUW6EpOg, recn4eGEOf9XA0tat, recr7AtTCj4d026By, recPgYrf87WKNpens, recdOj8Nr8NO1FwR6, recMC1NC2ymnw4oc0, reciMtPp6Py82USrr, rec0YKdAFfBNGKbyu, recXY3q9q7wAfwlZJ, recduf6TsTzeCYv1V, reccJvdb4qs4gLNRe, recocYYB6fhtj8Gbh, recrX6y3d7qfgiUrT, rec8YWJTakpmIkfe7, recyx3ZSmZqFnXafv, rec1CITs0erlgrejI, rec3Lv7L4n0P5NRXG, recOifq6N7ttSB96g, recQcGEPeYqq9gkuZ, receIFIO0xrD92Ym4, recINluftAPavksWY, rec9qkWiu9H6o4rZk, recjNakoelsgINz0v, rec1uVBjIQODjal27, recqZ5QkKpTUNLuyR, recISyk9tLHy8M5nn, recMuFqL0V3Vyboh5, recF3yrCOuu1R5WWn, reca1EA58OLPRmVpr, recf2LUJMPK0syGHZ, recvkAS7HacVMiozb, rec1PrjGHQIdyGhrF, reckmGaZaq5z09MXR, recqRCEI6AzpyzFBa, recHKgsM8akY38ItI, rec8lhVZaga97JNPG, rec7fGXGOJzrAEf2H, recLr4qbLpkZNIcs1, recfr0V7Fnw7SZ4OA, recZwCmS9nIiIiDk9, recEfZBvWw9nHwH1C, recvuhgMsucQvK38B, rec4RauKJEov9pPmH, recJyf9NectewwQwI, recFuXn2NBfsWPQLH, recqChRyIGnMmQOuO, recVPwRwUZe832ABK, rec2xeRGJSpbQBs6i, recBkXt1okqTdWtYW, rec45yTVyDirbipb1, recowvjMgKFTslp3H, recOieepC1dJP16UP, recSnJ4U7H8ZPQlZT, recie6RmdcSYmh1RS, recevGiDQnrPIXJky",,Defined per use case,Binary Daily Threshold,binary,[Defined in recommendation/challenge],"≥[threshold] = 100%, <[threshold] = 0%",2025-07-22,,
reciwO5mjSqlUqfFP,TEMPLATE_BINARY_FREQUENCY,True,2025-07-21,"Binary scoring based on successful days within a trailing 7-day window. Use for 'X out of Y days' requirements where weekly frequency matters more than daily streaks. Examples: caffeine timing (3 out of 7 days), step targets (2 out of 7 days), activity thresholds.",rolling_7_day,,,"recAaYIO7j0kgDYbf, recRbJX726D4FBznW, recCAuXnKTEfdVA0Q, rec3SLnheYd7g7voW, recB2JtyJ9bvr8qWT, recdUipe4wxEhf4uC, reciGprkevaemYHuP, recIO41LpxD5gj47B, recxoe009Z2wEIjIq, recXEzuSgRogrTVp5, recCGSspjFrrF9fg3, recqGXj1oW94w3reg, recDZahYDWNJwuytg, recYmmhm1c1ibQ8h3, recUk7Y0cYFgRAOg5, recWJPLkPnQbaX9eI, recvLB6CCcDJhm1Fx, recgFS8idJ1Rz8Msu, recuXJOhYT3ZVrOfD, recXiFdoZPO8ahvNU, rec33mt1Ib40viKUU, recUXhRwOBdDmwIz0, recjqayDOdtqvgy74, rece1ITrYjtv2h2G9, recqGyakXN5etEtZk, rechiD1yw3GS6kYFm, recBygbsMsJ1OkpdA, recjyJ3KMCwCS3IQM, recmvq3CmxWl89zlQ, recla4wfM9zK0cR4j, rec99M50zfGNf4bjs, recT4f3tvSbqWAgBw, reclTbJmA8iYIbUMn, recLblhnXjPvPGMmj, recJkNzpUTB17O5t8, rec7RxMaGNKgWaurt, recdECEj63wIAdpaS, recGATlSqYGvW2Z8b, recFNz4Jhea4AVug4, rec4rRcozI2fwN4ZO, recl0OLC6iSTCMTZu, recsozPfurWS0N5Ox, recwr2L9Mct7dE51H, rec5SVUldpZJpTLh9, rec77NmsIIW66qoHg, recuVujFSHmDeJ3BG, rec6NwTofHBGmZInJ, recXR6RzvDkkHzi2E, recqTL66V1gh2SjeK, reco5igDK2bU5Dw01, recy0r7vtQvnKvsOL, reczXLM55EAIzXMgJ, recKSMprKLEieLyvE, recRLv58bRCFXEEmM, recIiLdL0yZoPruxo, reckZA8SDPRO4FPlr, recSwJMQFvt4VDgFE, recgJ0JW0cUB1lpIQ, recqZjESmxsIBT0cR, rec8OYVrnZXECHyH2, recYk1Rr12pasPzbC, recn7b44FTM2gLwQt, recZlrm9ku16r0EyK, recZ4xnDgCQUqC1J8, recp6DGLCaTxNl8Lh, recVgr0Jt9BCXPwrq, recJHurBuD1aU8lxT, recOwl3cingd8zWEb, rec3RuqCKXEI4Gcsq, recSvNHfXtYZuMro9, rec8yc1YcsqsvOize, recSIgeTvZw06BnOK, recjAJfRYvh4pri3J, recfet5FiXMcdggss, recwMucBtv60vCRPH, recr473Z5myZocoxq, rec3wz66GQ4svwDLF, recoJgeNEdm7ID1Qx, recRptGdrmCpyLJHD, rechgUNb6nRo6MSuD, recKw2sxgw6EU6M04, recQIXxWsZj1kOtnz, recHsFNhHJlBpFjgW, recW4YaEApUQpAkIZ, rec2OqXnmVKO7oJ7Q, recKrHw6m4VJcdyLw, recRSElcOm0JAx8P2, recbyxDEVmqEJOGEm, recRqbE5GobS5ypJO, recjGAYEOulTe2EU3, recYiXLEk8DZ29sNC, recjeGf9u2bH8nPlj, recoWfRNy3Me1wKfB, reckirOiXpq90sUfn, rec46KtdOk0HjfDw1, recNxHiqAE2g4TiZz, recgFonuHJaHd9g1T, reczWOtikcP4ofJZP, rec8ggeIQTlmww2Nf, rec7EqxLQUj6YTgjT, recCcLx86DjEMRVI3, recQoV723sjWnXzFf, reckB84w1I7PYO70q, recoQ4M1UFDYTpRtz, recvISUhZ3bLfwmRd, recPPB3jgQAl4RoaP, rec4AlY1GOyZKwW8C, reckIdFin6Pkpdu89, rec21JVl1hc1NAcjF, recLQrNqZ1MFCFp9Y, recEiVaIfGGw9dPmm, recyXksrMGanEno4s, rechpQhjZNZyMJaKd, rec8N8q9NY4ZMpidr, rec4Hh9DCxAPvzMAm, rec8v17apgWvVZyv8, recktZRRegRdPu7BF, rec6j4GXfJN4lVk0a, recECNp5P1uw2tKfG, recfHVj4XC2Io9yHD, recxPYhu0wVUq8I00, recZgKqtULFI7aTbk, recCCrdmuHDQ8XwFE, rec6fwWgbrnZsWhSL, rec8JdQ8m26j0J5Ii, rec5tjtQCBJ4GIUt0, recTNCSWMJ2wYbOzB, recNA23OClnzCTLwq, reclPQp9DlG5KIMZ6, rec53OACb88HAJTmv, recvDTvx97dKfDDAQ, recHr5B1nGxnu8KnT, rec6fwp7owi3sJwPU, recCiHujiMWFAOfDE, rec6btiLhmI5y0za1, recdBhhxgIktsQYQV, recsF3kTVuyn1Kr1s, recA1lleRRrxvMSic, recVGfIIuJMJH5ZEN",,"Defined per use case (e.g., '3 of 7 days')",Binary Frequency Window,binary,[X successful days out of 7-day window],(Successful days in trailing 7-day window / Target successful days) × 100%,2025-07-22,,
reclWEjC2pEq8BVxy,TEMPLATE_PROPORTIONAL_DAILY,True,2025-01-21,"Proportional scoring evaluated daily: (Actual/Target) × 100%. Use when partial daily progress should count and evaluation is per day. Examples: 6/10 daily sessions = 60%, 8000/10000 daily steps = 80%. Can set minimum threshold and maximum cap.",daily,,,"recj4S8iGZ5mXx4NS, receDJo2S8FqzNOrm, recu8nVY5FrP2YCVR, recCqwYvk7o9NLZye, recDVZeEtpOMlhHaY, recs1Yx1aoyTCalz2, recMfTk8ITmrFJowR, recz8gAMEHUAYrsVo, recvv2HVgKwsoHdQD, rec3OiCYCwdkEUVOC, reclKFX6DhQ24ftN0, reczXBfMO20DdNbq9, recYYJsKmN5uZwUsc, recZb5zz7BEHRPdtK, rechCPnup1BaYXrfC, recha6SAlP3xFUq4T, recYvvDkXUpteLjhQ, recB9ri5DlUq27HpJ, recxSNdyVhznqbZ88, recYzbDRWK9fN7R6B, recoUg1DrrPaqjGQh, rec5qQKEx2EH3qAce, recGwiYo13EpOTndg, recwOBbgoG6GufjKV, reccUoqtwmrdJ4eZC, rec1YZSppHW94FU6J",,Defined per use case,Proportional Daily Achievement,proportional,[Defined in recommendation/challenge],Optional: minimum threshold for any points,2025-07-22,,
recCj3aAqPGC4ErtA,TEMPLATE_PROPORTIONAL_FREQUENCY,True,2025-07-22,"Proportional scoring evaluated daily, then frequency-based success within a trailing 7-day window. Use for 'achieve X target on Y of Z days' where partial daily progress counts and frequency matters. Examples: 90min activity on 5 of 7 days (70min = 78% toward daily target), sedentary limits on 6 of 7 days. Daily score = (Actual/Target) × 100%, then frequency score = (Days meeting threshold/Target days) × 100%.",rolling_7_day,,,"recjNCLgwgIRL0pQO, recsPMg2btkV2VLui, recMk6fKGjMET080O, recL0tr8zHEGjTEAV, rec0g3pUi8ZOiLy9e, rec0os47BTvYNpKEy, rec2C4Hndkvoy1Dxn, rec365bl5v5RJHmG9, rec6T5WTFPHuxI0HV, rec6akLmENMwA5UR0, rec8Pb6zZXqqJdl8w, rec8kQTL0hFtYshjO, rec8lDzP6nNsCQFUK, recHIhiQzo9qxQ0aE, recHS5DnujbLJGA0X, recIHhi5vLgm1yazl, recMPyaQMbpvDB4Fg, recTDnbMFdEillGGN, recTQU7jk4viGfM5L, recUcK9hjmH56wFZf, recW9EWJrKnyhWcOg, recWPZo0CuM633ER7, recWoGmJUWm4wpggn, rec2JL5kJJ1pJCPL1, recbqfJA6wK4HdMiE, recdyxjcVFX1IiJmB, receNMlaVPPdpM8lF, recg3Re7epEA4woTr, recgd6FoSRpsXFwGa, reciAaUoOHZJUbefJ, recmj7oZJyT7b1Zct, recr1bYkprxDHpqqF, recu6msvuyAWfCw4s, recuzoqjqJctR7ahw, recydnhcoytUM656x, rec4hs6FOKci6FcHD, recPnCzFAy0LTJ9C1, recf94WHfCkB3aoTA, recqj8q9IIWoThFkG, recx4JdeaTZgIVoZ3, recxd0ZkIKfdSxVMp, recyCjSxWdLGZfHwI, recZwg1aLhDGK0Ugs, recIjaRnoGtCO8uXx, recquoAmPN2DQWqMN, recUYLxwLgg8kOPH4, recmCppTkAH69YD9T, recJXGEKMA7hyLxHD, recavYQbVctCtyoHO, rectnznpSukhcNfkQ, rec3vLswsvuPhdSI8, recitDcZY90pB8urW, recHHMaZWolDFzLGA, reckxUbHvmO4Ee5GK, recDj1wInApRAXWcF, recTV5zjI6tjqTfCg, rec2Y9nCSUJ1HYZmN, recebZs8nlpqsDqy1, recRfQOodavyWaS3u, recqeRyxAIZ7eKKfF",,"Defined per use case (e.g., '5 of 7 days')",Proportional Frequency Window,proportional,[Daily target defined in recommendation/challenge],Optional: minimum daily threshold to count as 'successful day' for frequency calculation,2025-07-22,,
recMAGxhwWbGbueiz,TEMPLATE_COMPOSITE_DAILY,True,2025-01-21,Composite weighted scoring evaluated daily: combines multiple factors with specified weights each day. Use when recommendation has multiple measurable components that are assessed daily. Example: fruit servings (60%) + variety (40%) = weighted daily score.,daily,,,"recMEPqal9VglyK6U, rechz1JGiQJCv9YJo, recMWhvrT57rQOSyU, recTnxfnpWuWO6CRg, recIoVf6FOKFcUX8p, recApH4t4nFb8maup, reckLfq4q5YH3ChjU, recXYBL9UD1QWCF3t, recNyDfLvFBteUfQI",,Defined per use case,Composite Weighted Daily,composite_weighted,[Multiple components defined in recommendation/challenge],,2025-07-22,"{
  ""logic"": ""weighted_average"",
  ""components"": [
    {""name"": ""servings"", ""weight"": 0.6, ""description"": ""Number of fruit servings consumed""},
    {""name"": ""sources"", ""weight"": 0.4, ""description"": ""Variety of different fruit sources""}
  ],
  ""example"": ""2 servings (2/3 * 60%) + 2 sources (2/2 * 40%) = 40% + 40% = 80%""
}",
recMOrGDfRtEdv44v,TEMPLATE_COMPOSITE_FREQUENCY,True,2025-07-22,"Composite weighted scoring evaluated daily, then frequency-based success within a trailing 7-day window. Use when recommendation has multiple measurable components AND frequency matters. Example: fruit servings (60%) + variety (40%) achieved on 5 of 7 days. Daily score = weighted average of components, then frequency score = (Days meeting threshold/Target days) × 100%.",rolling_7_day,,,"rec3kwjdpZze3Bmkp, recuJiAcdUvlzbaMN, rec6YtDrPiel0X4qx",,"Defined per use case (e.g., '5 of 7 days')",Composite Weighted Frequency Window,composite_weighted,[Multiple components defined in recommendation/challenge],,2025-07-22,"{
  ""logic"": ""weighted_average"",
  ""components"": [
    {""name"": ""servings"", ""weight"": 0.6, ""description"": ""Number of servings consumed""},
    {""name"": ""variety"", ""weight"": 0.4, ""description"": ""Variety of different sources""}
  ],
  ""example"": ""2 servings (2/3 * 60%) + 2 sources (2/2 * 40%) = 40% + 40% = 80% daily score, then track frequency"",
  ""frequency_threshold"": ""Optional: minimum daily composite score to count as 'successful day' for frequency calculation""
}",
rec6euB1ka4CWiLMo,TEMPLATE_ZONE_5TIER_DAILY,True,2025-01-21,"Zone-based scoring with 5 performance tiers, evaluated daily and averaged over period. Use when there are optimal ranges with diminishing returns on either side. Example: sleep duration where both too little and too much are suboptimal, averaged over time.",daily,Graduated scoring near tier boundaries to avoid arbitrary penalties,True,"recbbFVlKZwQNf0EX, recXuOWpl8orK06ul, recrAMEvn6TQqpIMf, recnSEMu0buoaCSvm",,Defined per use case,5-Tier Zone Daily Scoring,zone_based,[Optimal range defined in recommendation/challenge],,2025-07-22,,"{
  ""zones"": [
    {""tier"": 1, ""range"": ""<6 hours"", ""score"": 0, ""description"": ""Insufficient sleep - serious health risks""},
    {""tier"": 2, ""range"": ""6-6.9 hours"", ""score"": 25, ""description"": ""Below optimal - increased health risks""},
    {""tier"": 3, ""range"": ""7-9 hours"", ""score"": 100, ""description"": ""Optimal sleep duration for health""},
    {""tier"": 4, ""range"": ""9.1-10 hours"", ""score"": 75, ""description"": ""Above optimal but still acceptable""},
    {""tier"": 5, ""range"": "">10 hours"", ""score"": 25, ""description"": ""Excessive - may indicate underlying issues""}
  ]
}"
recmFmKhfqpjL2Ahd,TEMPLATE_ZONE_5TIER_FREQUENCY,True,2025-07-22,"Zone-based scoring with 5 performance tiers, evaluated based on hitting optimal zone frequency within a trailing 7-day window. Use when optimal ranges matter AND frequency consistency is important. Example: sleep 7-9 hours on 5 of 7 nights.",rolling_7_day,Graduated scoring near tier boundaries to avoid arbitrary penalties,True,"rec4AEbFQJsIeCNOD, rec0j9ruDrnh2P6gG, recKLti4nzfTo8acc",,"Defined per use case (e.g., '5 of 7 days in optimal zone')",5-Tier Zone Frequency Window,zone_based,[Optimal range defined in recommendation/challenge],,2025-07-22,,"{
  ""zones"": [
    {""tier"": 1, ""score"": 0, ""description"": ""Far below optimal""},
    {""tier"": 2, ""score"": 25, ""description"": ""Below optimal""},
    {""tier"": 3, ""score"": 100, ""description"": ""Optimal range""},
    {""tier"": 4, ""score"": 75, ""description"": ""Above optimal but acceptable""},
    {""tier"": 5, ""score"": 25, ""description"": ""Excessive/concerning""}
  ],
  ""scoring_logic"": {
    ""step_1"": ""Score each day based on zone tier"",
    ""step_2"": ""Count days that hit optimal zone (tier 3)"",
    ""step_3"": ""Calculate frequency: (optimal_days / target_frequency) × 100%""
  }
}"
recvw0xHKscMEbRNV,TEMPLATE_ZONE_3TIER_DAILY,True,2025-01-21,"Zone-based scoring with 3 performance tiers, evaluated daily and averaged over period. Use for simpler optimal range scenarios. Example: blood pressure zones (low/normal/high), averaged over time.",daily,Graduated scoring near tier boundaries to avoid arbitrary penalties,True,"rece9QUzAfvHZSMxU, recnCaXsF7KhzduFk, recq2gsA68cq1kCeB, recuLDdQ8KbpeyEPc, reckWMg3144Ab2593",recrAMEvn6TQqpIMf,Defined per use case,3-Tier Zone Daily Scoring,zone_based,[Optimal range defined in recommendation/challenge],,2025-07-22,,"{
  ""zones"": [
    {""tier"": 1, ""score"": 25, ""description"": ""Below optimal""},
    {""tier"": 2, ""score"": 100, ""description"": ""Optimal range""},
    {""tier"": 3, ""score"": 50, ""description"": ""Above optimal""}
  ]
}"
rec3JAEJXXckqnncD,TEMPLATE_ZONE_3TIER_FREQUENCY,True,2025-07-22,"Zone-based scoring with 3 performance tiers, evaluated based on hitting optimal zone frequency within a trailing 7-day window. Use for simpler optimal range scenarios where frequency consistency matters. Example: screen time <4 hours on 6 of 7 days.",rolling_7_day,Graduated scoring near tier boundaries to avoid arbitrary penalties,True,"rec5XmXVudorgDmWs, reczTrDf2qAqm91Ef, recbr5hA05WQY7jMZ",,"Defined per use case (e.g., '6 of 7 days in optimal zone')",3-Tier Zone Frequency Window,zone_based,[Optimal range defined in recommendation/challenge],,2025-07-22,,"{
  ""zones"": [
    {""tier"": 1, ""score"": 25, ""description"": ""Below optimal""},
    {""tier"": 2, ""score"": 100, ""description"": ""Optimal range""},
    {""tier"": 3, ""score"": 50, ""description"": ""Above optimal""}
  ],
  ""scoring_logic"": {
    ""step_1"": ""Score each day based on zone tier"",
    ""step_2"": ""Count days that hit optimal zone (tier 2)"",
    ""step_3"": ""Calculate frequency: (optimal_days / target_frequency) × 100%""
  }
}"
