record_id,category,created,created_by,description,display_name,escalation_triggers,intent_name,last_modified_by,last_modified_time,psychological_factors,recommended_actions,severity_level,trigger_conditions
reciZVyFt4pZHhPLA,intervention,2025-09-22T13:25:19.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Active intervention when user shows declining performance or breaks positive patterns. Requires supportive guidance to get back on track.,Performance Intervention,"pattern_deepening, discouragement_spiral, avoidance_behavior",performance_intervention,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-30T14:42:36.000Z,"motivation_support, barrier_identification, self_efficacy_building, problem_solving","supportive_intervention, barrier_exploration, strategy_adjustment, encouragement_boost",medium,"recm1jq2UqVHfegWv, recIkLKgQNjclL0Dp, recRaSDTuNo2S2b01, recaxktfT0MaDR7AZ, recK9Eo2EYrtBEgcG, recXdsSQn1y3BlhSv, recyM78ZBkdNoXCR2, rec0hzvrdNFL1JJSp, recVmwZ3xwJeBqzbk, reccyKX7lAkSKktah, recerltOexfnwc5YZ, rec2NZheWNBonj30t, recYHWxhi5SsfL2l6, recPLcCEcAvwfRQWh, recrWVQnB0x2oC9QL, rec36Ji3phXLGQow8, recorsloOGzlzbWZi, recz24N8dEHwma9WG, recojy8HsmYk98WtQ, recofnr99PPmS2YBS, rec6ESgjfHBXRPpJq, recjXYqnHqgFvc0hy, rec8UVTHwFn5JcS0B"
recY9UQDvzO4oxzS8,reinforcement,2025-09-22T13:25:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Celebrating and reinforcing positive streaks and consecutive achievements to maintain momentum.,Streak Reinforcement,"complacency_risk, momentum_loss, performance_plateau",streak_reinforcement,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-30T14:42:36.000Z,"positive_reinforcement, confidence_building, achievement_recognition, momentum_cultivation","celebration_message, achievement_acknowledgment, momentum_maintenance",positive,"rec8LkCoS6eGiVacV, rec21UeJFlHaRXQXw, rec3RQqo0NjWZLqqL, recHJFDvLOIHjvqG5, recVjmSuAGQVmov40, recbxSqw2o6qp4Dkr, recazbRZ8dUgYzbm5, recR9qOFJjfXDR5em, recXBWGQkB4FApAit, recALZxuoYxZZZhXR, recJHkJ5J8aAVYCka, reccVSjh01J5YGzlu, recvcTMB8KFVUhlxP, recjfP3uUWUeyzzrd, rec8ZqHqzKsA7zdww, rec1bqPpTJKQF2T7k, recb2lcHjFdK07iHm, recz3829vfyuJTHKs, recNXBXFpTRtlaSYs, recjOnhq934xbYCSM, recxCZDIh6JdqgTQe, rec6AK3aGjJZpNV90, recNm3p9vQ9gqLJ0P, recJ4nyX1Xbnnn9gD, recQSm94UaDse2B4p, recLdVrRaHWiCpswQ, recSiapVZUguB1lXC, rec5WGjDIkuSwTX3j"
recVScLJrMT6ZJYg8,monitoring,2025-09-22T13:26:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Identifying patterns where user consistently underperforms relative to targets, requires gentle awareness building.",Performance Gap Identification,"pattern_deepening, discouragement_spiral, avoidance_behavior",performance_gap_identification,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-30T14:42:36.000Z,"awareness_building, motivation_support, barrier_identification","supportive_intervention, barrier_exploration, strategy_adjustment",medium,"recWQEnT0iUpVIGAu, rec707rPfUGbvMrJa, rec7ZgsdEfpWwkxCV, recLtqjObpAQkLU5G"
recZZagnFIVEjGvgI,intervention,2025-09-22T13:26:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Quick response to recent underperformance to prevent negative patterns from developing.,Immediate Performance Gap Response,"pattern_deepening, discouragement_spiral, avoidance_behavior",immediate_performance_gap_response,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-30T14:42:36.000Z,"motivation_support, self_efficacy_building, problem_solving","supportive_intervention, encouragement_boost, strategy_adjustment",high,"recPURoXbgq039HUd, recBDSqGMG9H1j0Pj, recm69ZYiwwwC8bfx, reczjDImvA0FfWpx0, rec7ifIJExQs9jN3l, recEP3BexJngy0ScD, recNmleNVg1xR0NAO, recxHSVMkmpv1qMik, recN5IveC2YaeIVUk, rectUErZllUmvojdg, recPr1dmrMbis798S, recGqm2ArjO7Siin6, recEQLMvu2HdM7Ze9"
recWUcmCu5hiPxNBw,reinforcement,2025-09-22T13:26:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Celebrating and reinforcing successful achievement of targets and goals.,Success Reinforcement,"complacency_risk, overconfidence_effects, momentum_loss",success_reinforcement,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-30T14:42:36.000Z,"positive_reinforcement, confidence_building, achievement_recognition, momentum_cultivation","celebration_message, achievement_acknowledgment, momentum_maintenance",positive,"recgAwnR2TD4U0PfJ, rectNb8AM5fmsSRay, recu5zaPt8hg3iZMC, recJT20tNjykvCEie, recz0YgLYcxE1mgQx, recvQBUkcQMImYbNv, recBXubNXt1Hv3PJv, recvTu1Wrl7D5i7m7, recbzjFjjtDATAle8, rec91z3QjLDCmGORM, recYr2sGCfSvWxpAY, rec2ZvnRhT4Qlc9TT, rec2RFCAh8SDNVoZw, recN04jNLoyLv15Zt, recvUDTk7gSz2A64k, reckDnlOBZbCkOSji, recmylE4jbFqPU3Mo, recF0fXCuZ9n4hVxL, rectfzjok8LbcVwRz, recEF7FvoF94b4ncL, recrZtdNQLrhA80cF, recev8oMkYeU99K6K, recZvqASLUujIXdcS"
rec0xUlGOP2xzHP5O,celebration,2025-09-22T13:26:21.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Celebrating the successful completion of specific challenges and milestones.,Challenge Completion Celebration,"complacency_risk, momentum_loss",challenge_completion_celebration,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-30T14:42:36.000Z,"positive_reinforcement, achievement_recognition, confidence_building","celebration_message, achievement_acknowledgment, momentum_maintenance",positive,recuOeiUMn2J0FWhM
rec3XntjzW6j0yL7D,intervention,2025-09-22T13:27:21.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Intensive intervention for persistent underperformance patterns requiring significant support.,Chronic Underperformance Intervention,"pattern_deepening, discouragement_spiral, avoidance_behavior, engagement_drop",chronic_underperformance_intervention,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-30T14:42:36.000Z,"motivation_support, barrier_identification, self_efficacy_building, problem_solving","supportive_intervention, barrier_exploration, strategy_adjustment",critical,"recW6UbqZK8YEDYEJ, rec7q3B1tby7yzQQS, reco6uoR0msdBqzIA, recTKIfTUyWWofRRa, recgQn9sqJgasv1QO"
recqaWl0eLFFVHqeX,support,2025-09-22T13:27:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Supportive guidance for new users or new behaviors to build foundation and confidence.,Onboarding Support,"engagement_drop, goal_conflict",onboarding_support,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-30T14:42:36.000Z,"confidence_building, self_efficacy_building, habit_formation","supportive_content, encouragement_boost, goal_alignment",low,"recg5xmDT3IWwTWvV, recQKtqqG5ZhFFEhm, recArMH8WnKHwS1Zb, recF85EOYwDYEqbM9"
recakHqrej6zoC62E,engagement,2025-09-22T13:27:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Time and context-specific gentle reminders and suggestions.,Contextual Nudging,"engagement_drop, goal_conflict",contextual_nudging,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-30T14:42:36.000Z,"awareness_building, goal_orientation, habit_formation","supportive_content, goal_alignment",low,"recuzNQE4zW7byizo, reczL1k0o8s0qWgr3, recDPdU9IvpDtqCNC, rec62ErtY5NFhxWtX, recbo1Oh9Chnz7FMO, recox4lqVhAAJ0K3S, recHZr0oP2z8Mvogi, recJgSXybB0bZJHJY, rec5iV0yVip7pWT5U, recCAZ8KLE9OcTF6T, recC1KKQzaaIWmgaq, recK1x6viaPggeBcd, recz69rqF7AjC9kGz, reccCH7wSaaGV0OhN, recETOoijkT3uX5Ed, recUaTrlPlkeX08ND, recvQJEHz79oCFVYI, recyaIWaJ8TjPRoqQ, recGv720QYMFuAGVN, recFQu2B6GfxODCgP, recnrnub9gHKIb58i, recbUcROI5hOgctST, recLqIC6f4zodWSGN, recrc292yA03mWDuv, recPgVJzWGZe8wG1E, recEo1BBKeBbQ1aGG, recL4yzezm56Ql4Hp, rec4ZQKWMaD5qPwGp, recJpF6taXK5YGwre, recAc8aO4kBEtrP8n, recRhdTIbJpFdukWg, recVaBKAfoCRVBjBM, recDY41QSI1Lg5cqM, recpgIp4RmtKOWTd7, recvI4HguBRqDFsYG, reciwfC41PSOjY3dx, recMQ7qqkslcp7aPy, rec1VgFjQTsPG275i, rectnSNbMZVKpsyT6, recDNJTi0yk1Ju6PF, recBv1rDVxZWmoIYR, recgZMr0fh83ewN9J, recWnMguBJnG8rnQO, recX8wzmpEdjkOh1a, recFrbknNUc4mItnq, recthvUJIHXv6fW0u, recGMNORENn5EOdfJ, reclJgTbBEcXn2r5a, recqog8pkcSE3w5NF, recaSNdfvLjTPKMYq, recVFsMmKOU1nDRrf, reckSXf3gD4sZ1M0B, recZ0rIB5IoVDbArD, rec1pb5qU9gJcjGvs, rec1sXECZ3A0D9JzK, recnUBptOd8pyQcuG, recCIQCLM0okuAWr7, recwJitsQkdj3H7Nw, recJxduOHr8PRiMmY, recTFsmSnNHk7tRhg, recN8KhDv4ZvIpWer, recLm8dHkCptsfSmu, recIsU9fjTvqRjopN, recviE7CHdsEjI6SQ, recz8HpIuLVppTtgJ"
recL811jb7hUEcWFn,celebration,2025-09-22T14:03:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Recognizing and celebrating sustained high performance and mastery levels.,Mastery Recognition,"complacency_risk, overconfidence_effects, performance_plateau",mastery_recognition,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-30T14:42:36.000Z,"positive_reinforcement, confidence_building, achievement_recognition","celebration_message, achievement_acknowledgment",positive,"recJdGEQHssQyvuZt, recdcWIf2WXtNhPqm, rechUBpgc8h8L1pxK, recqZFOrG5IsFbFRG, recpi715DPeXa8ihf"
