record_id,baseline_consistency,binary_threshold,categorical_filter_threshold,completion_based,composite_weighted,constrained_weekly_allowance,created,created_by,last_modified_by,last_modified_time,minimum_frequency,name,proportional,proportional_frequency_hybrid,sleep_composite,weekend_variance,weekly_elimination,zone_based
rec012gALC1Zu6yhx,"rec3NLVeTmuSG2Y6H, recCdESJb22AynOIj, recXNTO7o2pBdsmEA",,,,,,2025-09-23T00:09:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T05:26:31.000Z,,baseline_consistency,,,,,,
recFCQx35UScLHIXq,,"recv1qU9xyEXBapcq, recvDHuDqvfNkflNw, rectXlgekFeo2vO1K, recnsCUsDzXOLJzUC, rec7zsHm2okJ9wssi, recVWQpPRsivde14W, recAJRsUVlvIM7se8, recAKJy1t0Ha4bR0n, rec2il5ncz63fa0vG, recECXXi2VsEtwzBX, recLIwSb5CW7Bf04j, recAC2xRTOAiG2s7p, recekMBojJSGKflsw, rec3oozt8Y84uLVSW, recgZaTOL3Upmmo2Z, recVuy9XnFlmZ0f1d, reclHuzoq7FdIlFZA",,,,,2025-09-23T00:09:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:13:19.000Z,,binary_threshold,,,,,,
recdquKdBUGLPREm3,,,"recSoGqWD0C7TbGye, recoYnbwseP0P1Rjw, rece0elPTYxLezo2W",,,,2025-09-23T00:09:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T00:57:45.000Z,,categorical_filter_threshold,,,,,,
rec3KbLLN9jmOyoBd,,,,,"recs4sb1aR6o8MzKU, rec06BiEK4RqHdPHW, recEt9gRQeDUN7lVd, recmn2tdbViA3inje, recjTeDN2HEne4ipu, recqKsbiDN4yjoM4k, recrJi4XhS5cEywjX, recKl9SuZUIJ1rfDB, rec0Z7xfFrt3pFS3O, recw9wMrHuZm3xyAG, recciDURcjELqOzxJ",,2025-09-23T00:11:16.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:10:42.000Z,,composite_weighted,,,,,,
rect4xQnJW8hMcZIx,,,,,,"rec21RDqHAtuFfFhz, rec7c88VWzUgZMx3c, recwVnILNqlDZ8xL5",2025-09-23T00:11:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T00:52:02.000Z,,constrained_weekly_allowance,,,,,,
recrszdeQRK91Ju5g,,,,,,,2025-09-23T00:11:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-25T19:07:27.000Z,"recaVsF3EDH8sQey3, recV2rj0dy2ReX9iy, recmBxmLeAu65RLBx, rec2bctnSMa0OpN5W, recywBWt93G5dsWy0, rec1nS4kOT1vqBT1I, rectWgPNzJ29KFNQV, recgWb2RPnFakG08M, receqilunCEHdpH2U, reclsKtd5yaU7VjYH, recB7Fbmgc0DZBU0r, recNYvHTnutdT4Wmk, recZWBMurnczhPE41, rec9I85lNAdesXqtS, rec2rWC5a6TvkvodL, recLD9AKRpHv8MRio, recEqSFc9tugpyqD5, recbOUe3YArBODXBA, recmEevwyxz1wMHkQ, recSD2rhH8qPy3AMa, recy82LqRwPXyQNgP, rec4fGAMESXGyZkt7, rec1K7Rlezktoo7Dn, recivETdV2ZSVUL7p, recdt7rI1OT6WxFa1, rec6cgHlAPuaNoGdI, recZzgHgGklSyEoX7, recH37zGzfKGU7ZgJ, reciAYuPIbyxZ2lYY, recBXlawzmeL7MIPh, reczcxHbAiU1A9cGQ, recdhR7C7JjKSf2p7, rec8tHQvChqhDAxNv, recV0EXf6ENNU7on5, receJx5zPurbEpftQ, recK9TwkkwAfV2U2V, recGrTXZyblf4izHZ, recQeP4vbmigXYEom, recIq253dysCznjsw, recrbelP1H2NF0mHr, recmMj52N2pBuyLba, recmgTB6SCx1dF2YF, reci1LPa7fRT3Bvf4, recilLzCx2pUzVRqE, recSg2n66AA8uKEZP, recxOFfSCPnAqDdUw, recdjxCEXWTkLAO6X, reca2HFu4iCmrB7TP, recBkVyvcwsThKiwI, recaVKXVzZvoNnoPd, recYXZHH0xYgBTY79, recOe4Jm1hSuLHXLd, recon0B7jBrzBfxUN, recrdDVMc5Nf1YGrB, recYxKkcHqFvQ2RJZ, recdbCLNvRQ5OIllG",minimum_frequency,,,,,,
recPVYRKLXKHod6lM,,,,,,,2025-09-23T00:11:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-25T19:16:21.000Z,,proportional_frequency_hybrid,,"recO7gCaWVA29CNoC, recD8qYZqk7Lbov1J, recZXI3wUwVhHJtiX, recngUtpy1kM58daL, recAn5xXbkedSGiN0, recYmKNkyeZA3IVUq, recnPbyXaRkqpgvRx, rec3YBRt22EoLvbtX, recmmZ7UcToBfgVNQ",,,,
reck6MaFW6OOx5SJ2,,,,,,,2025-09-23T00:11:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-25T19:13:10.000Z,,proportional,"recupGiYbvfw5ZAah, recVj9wa8QIA3KJYS, recXlD0eVvP6yY5tn, recfy5CnBacmgvO5L, reckfiBYyh17qezTD, recP0nDW6Lwbp4zcB, reciZamJf9rMjRPGN, recW4dQJuQ8Ll6IBl, recS5wr4kR0qg19NC, recxbkwDRKiuHfo9g, recJ1itRNVC7ZzTHJ, rec9JSD8ejL2K3q3F, recUCzLe68dm7KpQk, rectoj9aQg387JdRN, receR7AWCsF2VI8kR, recECe95jC9Qh46SF, recbqMtkEVwVia4eJ, rectulJb2KjvyTb6d, recMA6JSnilQv51aQ, recPF6YkniPMVf6sw, recDgSXfugOITmd5p, recPWXLoNH9Ov6ESX, rec3Kh3FT9KBK1PiT, recEpdgAA93YGWgJY, rechESp8KXeuUj1py, rec03AHCPIPzhNXvZ, recnMV3GGJvhBBSSy, recry1uEY8VeQW0b0, recHViXe0o6zCFO1X, reciM8ubVPJOxPi4Q, recNh33yY9p2JEJKe, recVjXMo2ZdG8BqTE, recs3l1M08S2QIaVw, recl7hAIzVX7LWcBU, recLdJBzEKaotGSXO, reco6lcsASIJDvVVR, recmXLDC3zHqE5CNY, recvCbyddc3IcInc1, recNd8x0Jk5sZyIHw, recQKGuMFktgR5Iyd, recfbP0hLJ90TfXTj, recY1faxq1NRQfCNf, rec409xOvsZYPLEgi, recEnatpYkxM4Qc73, recTST1E4GbzS84CB, recr3iITpK1nu3myv, recqg1Tf0SzGVvHjd, recb4OPYOGrVeDgpB, recifwcDcioU9rGNu, recNT53TktWEF9j4i, recufP08Ew54jrpIn, recSBkIJfGPQhDf91, recKw0Zx0vnmQ2O06, recTOnzXwq3WTvo5Q, recKCo2ELOxXIP1wC, recN5Gzd9gpBYO1tF, recAGy71e9KmHoKLA, reclGLglxGQ1Yp5Nv, recooirbE5Qc4aFfp, recvXFDspy7AcJ4Y5, recuOhX1tyg3WNpAS, recgpwzr2vXhykM3Z, recbPEYWxEP9XB4Xy, rec7AEVBeBGugiyH5, recT8ryhYaS7rE6an, recLx7FKByTP711Tr",,,,,
rec1MK7s9RLoF149f,,,,,,,2025-09-23T00:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T00:04:48.000Z,,sleep_composite,,,recRscVZwiKZuzGvF,,,
rec1Tvm5TjozNxwQb,,,,,,,2025-09-23T00:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T00:05:32.000Z,,weekend_variance,,,,"recJqwu60BiAQ7NXC, rec6F7H4KJTx5bfWm",,
