record_id,config_id,config_name,created,created_by,evaluation_pattern,id_start,last_modified_by,last_modified_time,level_description_from_recommendations_v2,overviewn_from_recommendations_v2,recommendations_v2,schema_calculated_metrics,schema_comparison_operator,schema_daily_limit,schema_progress_direction,schema_required_days,schema_threshold,schema_total_days,schema_tracked_metrics,schema_units,scoring_method,title_from_recommendations_v2,ui_display_from_schema_calculated_metrics,ui_display_from_schema_tracked_metrics,unit_identifier_from_schema_calculated_metrics,units_from_schema_tracked_metrics
recv1qU9xyEXBapcq,REC0001.1-BINARY-THRESHOLD,Binary Threshold - daily_fiber_serving,2025-09-23T00:17:32.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,BINARY-THRESHOLD,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:44:28.000Z,"Add one daily serving of fiber-rich food (e.g., oats or beans)","Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",rec9shJve4oUosmbM,rec7bo1iZqtG3vVgn,>=,10,buildup,7,1,7,rec0hOpS2ovZkzDPW,serving,recFCQx35UScLHIXq,Increase Fiber Intake,Servings,Servings,recZBMdCzE5sRxqOQ,recZBMdCzE5sRxqOQ
recvDHuDqvfNkflNw,REC0002.1-BINARY-THRESHOLD,Binary Threshold - healthy_fat_swap,2025-09-23T00:17:32.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,BINARY-THRESHOLD,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:44:28.000Z,Limit saturated fat sources to ≤2 per day,"Swapping saturated fats for healthier fats like olive oil, avocados, nuts, and fatty fish supports heart and brain health, lowers systemic inflammation, and promotes metabolic balance. These fats are core components of dietary patterns linked to increased longevity and reduced chronic disease risk.",recL0zctdlOG9ciJL,recqo2sCnSEYTjVr8,>=,20,countdown,7,2,7,rectMLBlRfTVKEUmJ,sources,recFCQx35UScLHIXq,Prioritize Healthy Fats Over Saturated Fats,Sources,Servings,recLchvv5oHiyA236,recZBMdCzE5sRxqOQ
rectXlgekFeo2vO1K,REC0002.2-BINARY-THRESHOLD,Binary Threshold - healthy_fat_usage,2025-09-23T00:17:32.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,BINARY-THRESHOLD,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:44:28.000Z,Maintain a 2:1 ratio of healthy to unhealthy fat sources daily,"Swapping saturated fats for healthier fats like olive oil, avocados, nuts, and fatty fish supports heart and brain health, lowers systemic inflammation, and promotes metabolic balance. These fats are core components of dietary patterns linked to increased longevity and reduced chronic disease risk.",recdvxEqeeiiCGJI6,recotgSzXqGTB3P3X,>=,999,buildup,7,2,7,rectMLBlRfTVKEUmJ,ratio,recFCQx35UScLHIXq,Prioritize Healthy Fats Over Saturated Fats,Ratio,Servings,recTzBVvTGBKg8nSv,recZBMdCzE5sRxqOQ
reclHuzoq7FdIlFZA,REC0002.3-BINARY-THRESHOLD,Binary Threshold - healthy_fat_usage,2025-09-26T21:11:04.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,BINARY-THRESHOLD,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:44:28.000Z,Maintain a 4:1 ratio of healthy to unhealthy fat sources daily,"Swapping saturated fats for healthier fats like olive oil, avocados, nuts, and fatty fish supports heart and brain health, lowers systemic inflammation, and promotes metabolic balance. These fats are core components of dietary patterns linked to increased longevity and reduced chronic disease risk.",recMiDba4KdZho45D,recotgSzXqGTB3P3X,>=,999,,7,4,7,rectMLBlRfTVKEUmJ,ratio,recFCQx35UScLHIXq,Prioritize Healthy Fats Over Saturated Fats,Ratio,Servings,recTzBVvTGBKg8nSv,recZBMdCzE5sRxqOQ
recnsCUsDzXOLJzUC,REC0005.1 (i)-BINARY-THRESHOLD,Binary Threshold - daily_alcoholic_drinks,2025-09-23T00:17:32.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,BINARY-THRESHOLD,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:44:28.000Z,Limit alcohol consumption to no more than 1 drink per day,"Alcohol affects liver health, metabolic function, sleep quality, inflammation, and hormonal balance. For users with elevated GGT, ALT, hsCRP, or disrupted sleep, moderating or removing alcohol intake can lead to significant improvements in biomarker trends and subjective well-being over a 3–4 month protocol.",recVTVGHktZrTVmVm,rec7xh74qIPjW6yPG,<=,20,countdown,7,1,7,rec4smaQXx1XCrH1O,drink,recFCQx35UScLHIXq,Reduce or Eliminate Alcohol Consumption,Drinks,Drinks,rec5jWyoBqRHumiGH,rec5jWyoBqRHumiGH
rec7zsHm2okJ9wssi,REC0005.1 (ii)-BINARY-THRESHOLD,Binary Threshold - daily_alcoholic_drinks,2025-09-23T00:17:32.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,BINARY-THRESHOLD,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:44:28.000Z,Limit alcohol consumption to no more than 2 drinks per day,"Alcohol affects liver health, metabolic function, sleep quality, inflammation, and hormonal balance. For users with elevated GGT, ALT, hsCRP, or disrupted sleep, moderating or removing alcohol intake can lead to significant improvements in biomarker trends and subjective well-being over a 3–4 month protocol.",recOLd9a3r4HmpWEF,rec7xh74qIPjW6yPG,<=,20,countdown,7,2,7,rec4smaQXx1XCrH1O,drink,recFCQx35UScLHIXq,Reduce or Eliminate Alcohol Consumption,Drinks,Drinks,rec5jWyoBqRHumiGH,rec5jWyoBqRHumiGH
recVWQpPRsivde14W,REC0009.1-BINARY-THRESHOLD,Binary Threshold - dietary_added_sugar_servings,2025-09-23T00:17:32.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,BINARY-THRESHOLD,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:44:28.000Z,"Limit added sugar to one serving - any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda). If the item is over 15g, count as 2 servings.) of food or drink with added sugar per day","Added sugar contributes to metabolic dysfunction, inflammation, and increased chronic disease risk. Reducing daily added sugar improves energy, supports healthy weight, and protects long-term cardiometabolic health. For this recommendation, a serving is any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda). If the item is over 15g, count as 2 servings.",recGRU4MNdPXGpDIv,recNzOe2650EhKLI6,<=,20,countdown,7,1,7,recaCw0rYWB00Tb0A,serving,recFCQx35UScLHIXq,Reduce Added Sugar Intake,Servings,Servings,recZBMdCzE5sRxqOQ,recZBMdCzE5sRxqOQ
recAJRsUVlvIM7se8,REC0009.2-BINARY-THRESHOLD,Binary Threshold - dietary_added_sugar_servings,2025-09-23T00:17:32.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,BINARY-THRESHOLD,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:44:28.000Z,"Limit added sugar to no more than two servings - any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda) per week","Added sugar contributes to metabolic dysfunction, inflammation, and increased chronic disease risk. Reducing daily added sugar improves energy, supports healthy weight, and protects long-term cardiometabolic health. For this recommendation, a serving is any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda). If the item is over 15g, count as 2 servings.",rec8IQcWhQD6ZjQRU,recNzOe2650EhKLI6,<=,2,countdown,7,2,7,recaCw0rYWB00Tb0A,serving,recFCQx35UScLHIXq,Reduce Added Sugar Intake,Servings,Servings,recZBMdCzE5sRxqOQ,recZBMdCzE5sRxqOQ
recAKJy1t0Ha4bR0n,REC0010.1-BINARY-THRESHOLD,Binary Threshold - dietary_processed_meat,2025-09-23T00:17:32.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,BINARY-THRESHOLD,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:44:28.000Z,Limit processed meat to no more than 3 servings per week,"High intake of processed meats is linked to increased cancer, cardiovascular, and metabolic disease risk. Reducing processed meat supports longevity and promotes healthier eating.",recTO0FW3ErzMnNMi,recYLPMMzs0JXY9lU,<=,3,countdown,7,3,7,reco9DeFYVedQuQ3V,serving,recFCQx35UScLHIXq,Reduce Processed Meat Intake,Servings,Servings,recZBMdCzE5sRxqOQ,recZBMdCzE5sRxqOQ
rec2il5ncz63fa0vG,REC0010.2-BINARY-THRESHOLD,Binary Threshold - dietary_processed_meat,2025-09-23T00:17:32.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,BINARY-THRESHOLD,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:44:28.000Z,Limit processed meat to no more than one serving per week and aim for a diversity of unprocessed protein sources,"High intake of processed meats is linked to increased cancer, cardiovascular, and metabolic disease risk. Reducing processed meat supports longevity and promotes healthier eating.",recjAs2YIILpWO23R,recYLPMMzs0JXY9lU,<=,1,countdown,7,1,7,reco9DeFYVedQuQ3V,serving,recFCQx35UScLHIXq,Reduce Processed Meat Intake,Servings,Servings,recZBMdCzE5sRxqOQ,recZBMdCzE5sRxqOQ
