record_id,From field: source_calculated_metric,age_max,age_min,aggregation_period,baseline_consistency,binary_threshold,calc_metric_count,calculation_formula,calculation_type,categorical_filter_threshold,completion_based,composite_weighted_component_1,composite_weighted_component_2,composite_weighted_component_3,composite_weighted_component_4,constrained_weekly_allowance,created,created_by,custom_use_case,data_source_type,data_source_type_detail,description,first_term,gender,healthkit_data_type,healthkit_equivalent,identifier,intake_metrics_map,last_modified_by,last_modified_time,metric_count,minimum_frequency,name,pillar,proportional,proportional_frequency_hybrid,raw_identifier,required_interval_months,risk_level,screening_type,sleep_composite,sleep_composite_component_1,sleep_composite_component_2,source(s)_calculated_metric,source_metric(s),survey_question_map,target_value,time_filter_type,total_count,ui_display (from unit_identifier),unit_identifier,weekend_variance,weekly_elimination,zone_based
recGpA90JnwA5Lwwi,,,,daily,,,0,COUNT(meal_logged) WHERE DATE(datetime_combined) = target_date,count,,,recKl9SuZUIJ1rfDB,,,,,2025-09-12T15:14:59.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Total number of meals consumed per day,,,wellpath,,daily_meals_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:33:15.000Z,1,"recywBWt93G5dsWy0, rec1nS4kOT1vqBT1I",Daily Meals,recgGEypX3ghJay5R,,,meals,,,,,,,,recVBnB9mNNstK4qa,rec0kjPRRttBlPtbN,3,none,1,Meals,rec9OxY60mezaCp2J,,,
rec3MnwprrNx5WqqN,,,,daily,,,0,COUNT(meal_logged) WHERE DATE(datetime_combined) = target_date AND time between 06:00 and 10:30,count,,,,,,,,2025-09-14T14:47:00.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Count of daily meals eaten during breakfast time,,,wellpath,,daily_breakfast_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:33:21.000Z,1,,Daily Breakfast,recgGEypX3ghJay5R,,,,,,,,,,,recVBnB9mNNstK4qa,,1,breakfast,1,Meals,rec9OxY60mezaCp2J,,,
rechX2ebh9btNOQLX,,,,daily,,,0,COUNT(meal_logged) WHERE DATE(datetime_combined) = target_date AND time between 10:31 and 16:00,count,,,,,,,,2025-09-14T14:47:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Count of daily meals eaten during lunch time,,,wellpath,,daily_lunch_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:33:21.000Z,1,,Daily Lunch,recgGEypX3ghJay5R,,,,,,,,,,,recVBnB9mNNstK4qa,,1,lunch,1,Meals,rec9OxY60mezaCp2J,,,
recpkhgT0fFuQl1NF,,,,daily,,,0,COUNT(meal_logged) WHERE DATE(datetime_combined) = target_date AND time between 16:01 and 24:00,count,,,,,,,,2025-09-14T14:47:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Count of daily meals eaten during dinner time,,,wellpath,,daily_dinner_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:33:21.000Z,1,,Daily Dinner,recgGEypX3ghJay5R,,,,,,,,,,,recVBnB9mNNstK4qa,,1,dinner,1,Meals,rec9OxY60mezaCp2J,,,
recohknaonBXz95CD,,,,daily,,,0,COUNT(large_meal) WHERE DATE(datetime_combined) = target_date,count,,,,,,,,2025-09-12T18:57:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Number of large meals (above normal portion size) consumed per day,,,wellpath,,daily_large_meals_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:33:21.000Z,1,,Daily Large Meals,recgGEypX3ghJay5R,,,large_meals,,,,,,,,recTy6nZTnoUljJQs,,0,none,1,Meals,rec9OxY60mezaCp2J,,,
recr2lQOJlE6bX0b5,,,,daily,,,0,COUNT(large_meal) WHERE DATE(datetime_combined) = target_date AND time between 06:00 and 10:30,count,,,,,,,,2025-09-14T15:33:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Total Large Meals consumed per day at breakfast time,,,wellpath,,daily_large_meal_breakfast_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:33:24.000Z,1,,Daily Large Meals: Breakfast,recgGEypX3ghJay5R,,,large_meal,,,,,,,,recTy6nZTnoUljJQs,,0,breakfast,1,Meals,rec9OxY60mezaCp2J,,,
recuQwNjwhazRCEVh,,,,daily,,,0,COUNT(large_meal) WHERE DATE(datetime_combined) = target_date AND time between 10:31 and 16:00,count,,,,,,,,2025-09-14T15:33:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Total Large Meals consumed per day at lunch time,,,wellpath,,daily_large_meal_lunch_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:33:25.000Z,1,,Daily Large Meals: Lunch,recgGEypX3ghJay5R,,,large_meal,,,,,,,,recTy6nZTnoUljJQs,,0,lunch,1,Meals,rec9OxY60mezaCp2J,,,
recEinzDZKYXXpn2Z,,,,daily,,,0,COUNT(large_meal) WHERE DATE(datetime_combined) = target_date AND time between 16:01 and 24:00,count,,,,,,,,2025-09-14T15:33:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Total Large Meals consumed per day at dinner time,,,wellpath,,daily_large_meal_dinner_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:33:26.000Z,1,,Daily Large Meals: Dinner,recgGEypX3ghJay5R,,,large_meal,,,,,,,,recTy6nZTnoUljJQs,,0,dinner,1,Meals,rec9OxY60mezaCp2J,,,
recYfwbTR5ffyPtJ5,rec42MxeJM9MES7ug,,,daily,,,0,MAX(large_meal) WHERE DATE(datetime_combined) = target_date,max_time,,,,,,,,2025-09-15T06:56:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Time of the last large meal consumed on a given day,,,wellpath,,daily_last_large_meal_time_max_time,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:04:27.000Z,1,,Last Large Meal Time,recgGEypX3ghJay5R,,,last_large_meal_time,,,,,,,,recTy6nZTnoUljJQs,,,none,1,Time of Day,recv2GuhbmM9UdNDp,,,
rec42MxeJM9MES7ug,,,,daily,,,1,sleep_time - last_large_meal_time WHERE DATE(datetime_combined) = target_date,time_difference,,,,,,,,2025-09-15T06:58:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,multiple,both,"Time elapsed between the last large meal of the day and sleep onset. Important for digestive health, sleep quality, and metabolic optimization.",tracked_metric,,wellpath,,daily_last_large_meal_buffer_time_difference,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:04:27.000Z,1,"recBXlawzmeL7MIPh, reczcxHbAiU1A9cGQ, recdhR7C7JjKSf2p7",Last Large Meal Buffer,recgGEypX3ghJay5R,,,last_large_meal_buffer,,,,,,,recYfwbTR5ffyPtJ5,rec3aaVy0dCKmrdxX,,,none,2,Hours,reckolm0WELYWYy5d,,,
recuYoFcLSUuqXnvi,,,,daily,,,1,first_meal_time - wake_time WHERE DATE(datetime_combined) = target_date,time_difference,,,,,,,,2025-09-12T19:00:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,multiple,both,Time elapsed between waking up and consuming the first meal of the day. Important for intermittent fasting protocols and circadian rhythm alignment.,calculated_metric,,wellpath,,daily_first_meal_delay_time_difference,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:04:27.000Z,1,"reclsKtd5yaU7VjYH, recB7Fbmgc0DZBU0r, recNYvHTnutdT4Wmk",First Meal Delay,recgGEypX3ghJay5R,,,first_meal_delay,,,,,,,recxYTpaPnpi3YurX,recftlzJ5y399ZpGW,,,none,2,Hours,reckolm0WELYWYy5d,,,
recxYTpaPnpi3YurX,"recuYoFcLSUuqXnvi, rec2vrtjlYXnqlvpr",,,daily,,,0,MIN(meal_logged) WHERE DATE(datetime_combined) = target_date,min_time,,,,,,,,2025-09-12T19:10:17.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Time of the first meal consumed on a given day,,,wellpath,,daily_first_meal_time_min_time,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T18:05:32.000Z,1,,First Meal Time,recgGEypX3ghJay5R,,,first_meal_time,,,,,,,,recVBnB9mNNstK4qa,,,none,1,Time of Day,recv2GuhbmM9UdNDp,,,
recLdjNNDgqCo8nvF,"recNyjVFxPUtmKTSf, rec2vrtjlYXnqlvpr",,,daily,,,0,MAX(meal_logged) WHERE DATE(datetime_combined) = target_date,max_time,,,,,,,,2025-09-12T19:10:24.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Time of the last meal consumed on a given day,,,wellpath,,daily_last_meal_time_max_time,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:04:27.000Z,1,,Last Meal Time,recgGEypX3ghJay5R,,,last_meal_time,,,,,,,,recVBnB9mNNstK4qa,,,none,1,Time of Day,recv2GuhbmM9UdNDp,,,
recNyjVFxPUtmKTSf,,,,daily,,,1,sleep_time - last_meal_time WHERE DATE(datetime_combined) = target_date,time_difference,,,,,,,,2025-09-12T19:00:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,multiple,both,"Time elapsed between the last meal of the day and sleep onset. Important for digestive health, sleep quality, and metabolic optimization.",tracked_metric,,wellpath,,daily_last_meal_buffer_time_difference,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:04:27.000Z,1,"recZWBMurnczhPE41, rec9I85lNAdesXqtS, rec2rWC5a6TvkvodL, rec8tHQvChqhDAxNv, recV0EXf6ENNU7on5, receJx5zPurbEpftQ",Last Meal Buffer,recgGEypX3ghJay5R,,,last_meal_buffer,,,,,,,recLdjNNDgqCo8nvF,rec3aaVy0dCKmrdxX,,,none,2,Hours,reckolm0WELYWYy5d,,,
recuUjz6JHSSuU8js,,,,daily,,,0,COUNT(mindful_eating_episode) WHERE DATE(datetime_combined) = target_date,count,,,,,,,,2025-09-12T15:29:42.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Number of mindful eating practice episodes per day,,,wellpath,,daily_mindful_eating_episodes_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:04:27.000Z,1,,Daily Mindful Eating Episodes,recgGEypX3ghJay5R,,,mindful_eating_episodes,,,,,,,,rec0yBwRZHjQDKI8w,,,none,1,Episodes,rec1ZZgOZq5zX0ECi,,,
recNSnIxYyYcb7ITc,,,,daily,,,0,COUNT(mindful_eating_episode) WHERE DATE(datetime_combined) = target_date AND time between 06:00 and 10:30,count,,,,,,,,2025-09-14T15:29:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,single,tracked_only,Count of daily mindful eating practice episodes that occurred at breakfast,,,wellpath,,daily_mindful_eating_episode_breakfast_count,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T17:16:52.000Z,1,,Daily Mindful Eating: Breakfast,recgGEypX3ghJay5R,,,mindful_eating_episode,,,,,,,,rec0yBwRZHjQDKI8w,,,breakfast,1,Episodes,rec1ZZgOZq5zX0ECi,,,
