record_id,Created By,calculation_target_value_3,calculation_type_from_recommendationgoals,challenge_description,challenge_level,challenge_title,created,dependency_tracked_metric_from_recommendationgoals,id,last_modified_by,last_modified_time,level_description_from_recommendations,linked_recommendations,operator_from_recommendationgoals,recommendationgoals_ref,recommendations_v2,record_ID,scoring_frequency,scoring_frequency_from_recommendationgoals,scoring_type_from_recommendationgoals,target_value,times,tracked_metric_from_recommendationgoals,trigger_conditions,unit_from_recommendationgoals,weightage_from_recommendationgoals
rec8V7XvZjuwVd5XZ,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"Add one daily serving of fiber-rich food for 2 of the next 3 days to get back on track. Here are some great options: 1 apple, 1/2 cup oats, 1/4 cup beans, or 1 tbsp ground flaxseed.",01,Quick Fiber Reboot,2025-09-10T18:48:52.000Z,,CH-01-REC0001.1,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,"Add one daily serving of fiber-rich food (e.g., oats or beans)",rec51TDeLYX6vOI1v,>=,rec07EaTqKgFxA1Wn,rec9shJve4oUosmbM,rec8V7XvZjuwVd5XZ,3-day,daily,binary_daily,1,2,recEQJIHSBn0dbAsE,recW6UbqZK8YEDYEJ,serving,
recHVsdSAzjNVL7DG,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"Add one daily serving of fiber-rich food for 4 of the next 5 days to build momentum. Try incorporating options like oatmeal at breakfast, beans in lunch, or an apple as a snack.",02,Building Fiber Momentum,2025-09-10T18:48:52.000Z,,CH-02-REC0001.1,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,"Add one daily serving of fiber-rich food (e.g., oats or beans)",rec51TDeLYX6vOI1v,>=,rec07EaTqKgFxA1Wn,rec9shJve4oUosmbM,recHVsdSAzjNVL7DG,5-day,daily,binary_daily,1,4,recEQJIHSBn0dbAsE,rec7q3B1tby7yzQQS,serving,
recIBSvumCV3KfEPF,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Add one daily serving of fiber-rich food for 7 consecutive days to establish your daily fiber routine. Focus on making this an automatic part of your day.,03,Daily Fiber Habit,2025-09-10T18:48:52.000Z,,CH-03-REC0001.1,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,"Add one daily serving of fiber-rich food (e.g., oats or beans)",rec51TDeLYX6vOI1v,>=,rec07EaTqKgFxA1Wn,rec9shJve4oUosmbM,recIBSvumCV3KfEPF,weekly,daily,binary_daily,1,7,recEQJIHSBn0dbAsE,recuzNQE4zW7byizo,serving,
rechCDB3dJyzPuhWV,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Add two daily servings of fiber-rich foods for 8 of the next 10 days to take your fiber intake to the next level. Combine different sources like oats + berries or beans + vegetables.,04,Fiber Level Up,2025-09-10T18:52:45.000Z,,CH-04-REC0001.1,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,"Add one daily serving of fiber-rich food (e.g., oats or beans)",rec51TDeLYX6vOI1v,>=,rec07EaTqKgFxA1Wn,rec9shJve4oUosmbM,rechCDB3dJyzPuhWV,10-day,daily,binary_daily,2,8,recEQJIHSBn0dbAsE,rectNb8AM5fmsSRay,serving,
recCCom3Txl9ryoPI,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"Add three daily servings of fiber-rich foods for 12 of the next 14 days - you're ready to optimize your fiber nutrition! Include variety across grains, legumes, fruits, and vegetables.",05,Peak Fiber Performance,2025-09-10T18:52:45.000Z,,CH-05-REC0001.1,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,"Add one daily serving of fiber-rich food (e.g., oats or beans)",rec51TDeLYX6vOI1v,>=,rec07EaTqKgFxA1Wn,rec9shJve4oUosmbM,recCCom3Txl9ryoPI,14-day,daily,binary_daily,3,12,recEQJIHSBn0dbAsE,recu5zaPt8hg3iZMC,serving,
recJzYZ1hQNlM7UCv,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"Include two distinct sources of fiber for 2 of the next 3 days to get back on track. Here are some great options: oats + apple, beans + broccoli, or quinoa + berries.",01,Quick Fiber Variety,2025-09-10T18:52:45.000Z,,CH-01-REC0001.2,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Include two distinct sources of fiber each day,recj4S8iGZ5mXx4NS,>=,receaDFXlLoVZjnIK,recnvgez95waQbIX9,recJzYZ1hQNlM7UCv,3-day,daily,proportional_daily,2,2,recXGAU9Qi5e8bKSW,recW6UbqZK8YEDYEJ,sources,
recwkbTRBPkqCPA8p,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Include two distinct sources of fiber for 4 of the next 5 days to build momentum. Try pairing a grain with fruit or vegetables with legumes throughout your meals.,02,Building Fiber Diversity,2025-09-10T18:52:45.000Z,,CH-02-REC0001.2,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Include two distinct sources of fiber each day,recj4S8iGZ5mXx4NS,>=,receaDFXlLoVZjnIK,recnvgez95waQbIX9,recwkbTRBPkqCPA8p,5-day,daily,proportional_daily,2,4,recXGAU9Qi5e8bKSW,rec7q3B1tby7yzQQS,sources,
recN7zCvxwWZd59uj,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Include two distinct sources of fiber for 7 consecutive days to establish your daily fiber diversity routine. Focus on making variety an automatic part of your meal planning.,03,Daily Fiber Variety,2025-09-10T18:52:45.000Z,,CH-03-REC0001.2,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Include two distinct sources of fiber each day,recj4S8iGZ5mXx4NS,>=,receaDFXlLoVZjnIK,recnvgez95waQbIX9,recN7zCvxwWZd59uj,weekly,daily,proportional_daily,2,7,recXGAU9Qi5e8bKSW,recuzNQE4zW7byizo,sources,
rec70784BbB1sr8H0,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"Include three distinct sources of fiber for 8 of the next 10 days to take your fiber variety to the next level. Combine grains, fruits, vegetables, and legumes across your meals.",04,Enhanced Fiber Mix,2025-09-10T18:52:45.000Z,,CH-04-REC0001.2,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Include two distinct sources of fiber each day,recj4S8iGZ5mXx4NS,>=,receaDFXlLoVZjnIK,recnvgez95waQbIX9,rec70784BbB1sr8H0,10-day,daily,proportional_daily,3,8,recXGAU9Qi5e8bKSW,rectNb8AM5fmsSRay,sources,
reck6zRZOOYl4YkP6,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,Include four distinct sources of fiber for 12 of the next 14 days - you're ready to optimize your fiber nutrition! Aim for maximum variety across all food groups throughout each day.,05,Peak Fiber Diversity,2025-09-10T18:52:45.000Z,,CH-05-REC0001.2,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Include two distinct sources of fiber each day,recj4S8iGZ5mXx4NS,>=,receaDFXlLoVZjnIK,recnvgez95waQbIX9,reck6zRZOOYl4YkP6,14-day,daily,proportional_daily,4,12,recXGAU9Qi5e8bKSW,recu5zaPt8hg3iZMC,sources,
