record_id,created,created_by,help_text,last_modified_by,last_modified_time,parent_checkin,question_id,question_order,question_text,response_options_v2,response_types,tracked_metrics_from_parent
receOW3ruPDJdEhjj,2025-09-02T15:44:38.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Enter your tracked value directly. This data will be saved to your metrics dashboard.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T19:07:08.000Z,"recD1poTH4Ra365NJ, recXgq6x7xN7dfmbC, recWE1tQGIXAHtxug, recDWOysJk6f3kLJ9, rec6n9XmdympJeVUr, recONnuogTqTDEYXl, rec4dNYpCcEyv5lOQ, rec2CCOP2crBquoFk, recgPn51sAak5gUgV, recnmd3THtzCvTgZi, rec9CUgVdw0PbMay3, recggtEVRFfkhwTDl, reciTsjpj0k0b8PZa, recj1WFAGBqdBbD4o, recHd8OtZaW4xc1l6, recW0dMBAmUq5VPVe, recCKNeqlOaEpS04T, rec0jRIyN98Lecrac, recpvQ4T4OR0Ca6oK, rec3CGysJZBWtpawM, recLy2WgUeQVBdbep, recBAUf0fNEXjcUZc, recTfg7dDeoFk2R34, recPfcV32C2K9lGyj, rec46UYWhVuYdlwAs, recMEls3xJxrtXHok, rec5D7nOjIQE1rEpe, recNqIQrW0ditLMQs, recgTKRZamJbpsr98, recTSvp3lVnOelUzO, recnUNg6as78pFFeb, recyzJYy8chSW5bFx, recLhZ0aZd0JVoTen, recyaJ3gK4c9Mqcgt, recZXZJndnqrf4Gan, recrdJ5okawTqyvJA, recAXoewKRpFKm2Mx, recDXaZho3FDJlyqY, recEQk08ubhGc8ncQ, recLQiGQaVOgIZZmk, recKqlOmuxQNq3tyF, recFJ0x2GHfXWhHIk, recsRGgKEQ1EfkZM9, recfMlFPp380uNalr, recub2Lmwjp4jLbh3, recZSGGQ1nI5MMumk, recaDBYvaaYNIbSkX, recC94COPTaYgO9Gx, recFxp7wcZax2Q9Mx, rectuUhaE0PFABumL, recjp8Ay89URfxXIt, recnIyHFOYdBWlHO6, recTnEh3iUAYiEe14, recC6URNCqKQ5cXpg, recS2ksfR1nrENr0V, recOWhxpklTDtxDoq, recu9OQeWmoUDhZho, recXHlZEw7tLWMQZ2, rec5iZXSbkXpSkf9j, recTChFDBWiuByczv, recuTEUsMnOR1kw0R, reckvyFTqtkTWuAda, recGTWyjBxULiybxT, recMUTK91sFdl4Dbt, receq8NxUDVvGiZee, recge3nGXrJqtdbG1, recizBiCmfYAS8g79, recUDMYau0e9NbKqC, recQp2vzTuGkVxTnM, reccqVlDYnVER76Qm, recC5r4OdGEAEmDsh, recMXpUoEfenPXQmN, rec3aOmRdrG0X60fw, recTju6zHWbs48eFF, recN18P2VFbVj8GNs, recyifjAZZrXijUrN, recEOwIop20ubZ94S, receMvOOJ20uyYLC3, recV8DziWBWIeyOdN, recJciqqJ83lWZnRR, recf2cIIkOq60bwQz, recrJcoLXewlz2ZFd, recApSzYgTlTxSLWi, recRat35d87MoTYLj, recAsbFSWWJLmloAW, reciot77lGeJMNgAo, recF8gf7PmLsK1t5S, recxLJJ5dniA3Zm2w, recLUSWDVBKJZ0tg4, recsHbplfC5uAsOFt, recDgp0HiSeFsuoXI, recpScErRzuNI1Lix, recJI48VG8mBogMp7, rec6dwdbSxhUqsTx9, recZvlcoaCM5NhdGc, rechmoEUhdivcH9Ao, recnotuDMpvrXxdSj, recitkfifb1Mc7PXS, recO1DGjC86qoTA8L, rec4IVPUOtgafVcTa, recUb3NDosYz7LNXt, recmHRjpuEnm0kGWY",Q000-TM-1,1,Record your measurement or data,recKFvqs6chl75esq,recyvVVeFVXxoljYl,"recEQJIHSBn0dbAsE, recXGAU9Qi5e8bKSW, recgyE3iWXP2ccYEx, recjmkU2nIaeSH2XZ, recWRDVKJz69pZhYp, recKArUE41uHphWb9, recfE9BcGPHq9cPDZ, recKLAs4h7IGRfWda, recMRSL40KDppZ8IJ, recmrxrBzd9TFYnvB, recJ13o0XSJGZkkdP, recUyh0VZjCy93jRe, recgumU8bXrsl54Ed, recGPPDd5i4uun3oa, rec0Bp07c21sb2Ref, recrOyba1O3mB2CHm, recrOyba1O3mB2CHm, recr6RWwNxcz0tpr3, recfZYnWPIzFnqZHW, reclDxNnJwcuQSYak, rec6b386oYCSHnyVO, reccae2LNjsIz4uBu, recwG50znghbnB0TO, recx1YaZabuU3zURf, recVMr3DikpSr9pNN, recEbOiNyw46llfxE, reczZJe3TIG1mp9oT, rec4SBmFYUdPPk8U8, recOyyoTez0r0ndcp, recRaC1lSL33KQ2u8, recV6TvniDSNrmCPt, recl2iT9ZsTmqtIV6, recNlALYqbdTE9AfY, reclY9BPepnZQSiDm, rec1MrcLLaRhmGBR2, recx84UE6rhr6jUuq, rec6ECEJg5nhl0x6y, rechN97Dq5ALu3FI9, reclDVu1Iv6feixC3, rec5CjdtdR3SqBAcU, rec5WLPHYGoaKUCjp, recZKlcHhj7CDPJSf, recFl99d8n4l00XcA, rectwdl12NyOIQZxD, recOqQiV6ZtMeXXjM, recIP9lf7bOv9VcpU, recY75tn39AEXKwbl, recFreByeShGraal0, rec0nsL37Ihw1mkM0, recOAhYP3SRyhogfN, rec2cSrZAbKzTrbAJ, recATC4ssc5CoJarW, recsM47DgXMaSFxrK, recn2NJclI5AuwTnP, rec4pZKchlwcEivTq, recjgSgnrdLSBJBZe, recBp4p7hx3cGOZFS, recWB10Y3P4QgrkAQ, recJLyNCZdm7tgHQX, recR0Gdeow6IHSDvd, rec5S7ARenQjrrMWB, recHJKknkW9SQFCqf, recKVJCrX5rb8Y3Ei, reczsDrLyAiXOgJi7, rec0UzAaii5gqPh5k, recEfAO5FbGtiFMH7, rechT5IIPBRNzCb74, recV4aEMQC0LiYtAe, recNBUyw6NvnP8WOh, recoeS7pfQzXi85uK, recqjvztOuYRXj3Sm, recY1Tz7OcO33HuVW, recseppfup15Ij0xE, recpCHgbnbY5cEy1Q, recJeEd61woRAahla, recMVZ6YoOQTJvFBa, recEPturjvPaeVBMk, recxlOQKCdytNnWtb, recLm7PvuOlBuiAEk, recbjdq0PfP4GcXi1, recutpzJz61uQt7wt, recV7GwS5qz8ax9e3, recXrIxSC6eJAABsm, recBVz1P5qclRyYRf, reccZbmA70Zghtazb, recDyD93EFJDUtdwq, recKMLHBA5mgUKArk, reclbWmQP7SMJmseU, recZkuVpMxOjNagr1, rec5k4qj3T8SPVTI2, rec78l8tMeHxVQibM, recvl8UuJgKIngkOf, recRpixGBWGUwkN7B, recxdHdNneF2qdfCI, rec3W7SRo87kFQF0L, recBPu9PYFPU8hate, recdAJfs9MBESWD8O, recSQT5ayVm36emQh, recFzpUjGNlVM3RNK, recn391Dhu15POjM6, recbJUUXvMmPRbpoM, reczBLGmSI3jWDQ1K"
reco7IcUFF2wZTtvk,2025-09-02T17:33:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Think about how the process has felt and any changes you've noticed since increasing fiber intake.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T10:22:33.000Z,recfiUljCC65tTqC8,Q001-MID-01,1,"How has adding fiber-rich foods (like oats, beans, or vegetables) to your daily routine been going so far?",recuDaHwQtswQ0P8t,recm1sVsfEm9YuCyL,"recEQJIHSBn0dbAsE, recXGAU9Qi5e8bKSW, recgyE3iWXP2ccYEx"
recpME8RZ22C3uCpk,2025-09-02T15:44:43.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Include any physical, mental, energy, or digestive improvements you've experienced.","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T12:38:51.000Z,recfiUljCC65tTqC8,Q001-MID-02,2,What changes have you noticed since increasing your fiber intake? (Select all that apply),recWTEnGjq6YL2h3L,recwKcnMBUHT535rJ,"recEQJIHSBn0dbAsE, recXGAU9Qi5e8bKSW, recgyE3iWXP2ccYEx"
recIXfX6dWae2hscq,2025-09-02T15:44:48.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Include both strategies you've already tried and ones you're curious about. This helps track your progress and discover new approaches.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-02T16:14:43.000Z,recfiUljCC65tTqC8,Q001-MID-03,3,What strategies have you tried or would like to try for adding fiber to your diet? (Select all that apply),recw1jueeL3duWjQJ,recwKcnMBUHT535rJ,"recEQJIHSBn0dbAsE, recXGAU9Qi5e8bKSW, recgyE3iWXP2ccYEx"
recGx7s85lg2hw7jM,2025-09-02T15:44:53.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Share the biggest positive impact this has had on how you feel or your health.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T10:22:49.000Z,recgVnhQlXv7nKh8Q,Q001-END-01,1,What's been the most meaningful change from increasing your fiber intake?,recqs2KSWZVLchVHj,rec9FbWNUm7CjzB5A,"recEQJIHSBn0dbAsE, recXGAU9Qi5e8bKSW, recgyE3iWXP2ccYEx"
rec5IwiY6905zn6jM,2025-09-02T15:44:59.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Focus on what actually worked for you personally - these insights help us understand what approaches are most effective.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-02T16:14:54.000Z,recgVnhQlXv7nKh8Q,Q001-END-02,2,Which fiber strategies worked best for you? (Select all that apply),recw1jueeL3duWjQJ,recwKcnMBUHT535rJ,"recEQJIHSBn0dbAsE, recXGAU9Qi5e8bKSW, recgyE3iWXP2ccYEx"
rec2aSw4zUMi0dLDZ,2025-09-02T15:45:04.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Choose the option that best describes your plans.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T18:16:20.000Z,recgVnhQlXv7nKh8Q,Q001-END-03,3,How do you plan to continue with fiber intake going forward? (Select all that apply),recyKt1SKurl1gMGT,recvcuuqU3VJz0eC1,"recEQJIHSBn0dbAsE, recXGAU9Qi5e8bKSW, recgyE3iWXP2ccYEx"
recGMZMljkFbepiE6,2025-09-02T15:45:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Think about how the process has felt and any changes you've noticed since swapping to healthier fats.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T10:23:05.000Z,recGwo7MlZZVUClyN,Q002-MID-01,1,"How has swapping saturated fats for healthier options (like olive oil, avocados, and nuts) been going so far?",recuDaHwQtswQ0P8t,recm1sVsfEm9YuCyL,"recjmkU2nIaeSH2XZ, recWRDVKJz69pZhYp, recKArUE41uHphWb9"
recE7E8puEr34nptg,2025-09-02T15:45:33.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Include any improvements in energy, taste satisfaction, cooking experience, or how you feel.","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T12:38:51.000Z,recGwo7MlZZVUClyN,Q002-MID-02,2,What changes have you noticed since swapping to healthier fats? (Select all that apply),recWTEnGjq6YL2h3L,recwKcnMBUHT535rJ,"recjmkU2nIaeSH2XZ, recWRDVKJz69pZhYp, recKArUE41uHphWb9"
recsM34gDfX205Z3Z,2025-09-02T15:45:37.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Select all approaches you've tried or are interested in trying. This includes cooking methods, food swaps, and shopping strategies.","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-02T16:15:17.000Z,recGwo7MlZZVUClyN,Q002-MID-03,3,What healthy fat strategies have you tried or would like to try? (Select all that apply),recpFsPitMCWEQXmS,recwKcnMBUHT535rJ,"recjmkU2nIaeSH2XZ, recWRDVKJz69pZhYp, recKArUE41uHphWb9"
recQDBrHIfb4CNhya,2025-09-02T15:45:42.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Share the biggest positive impact this has had on your cooking, taste, or how you feel.","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T10:23:14.000Z,recT3Ms6i0E6fFNfQ,Q002-END-01,1,What's been the most meaningful change from switching to healthier fats?,recqs2KSWZVLchVHj,rec9FbWNUm7CjzB5A,"recjmkU2nIaeSH2XZ, recWRDVKJz69pZhYp, recKArUE41uHphWb9"
reca9qDP7MbDfPz57,2025-09-02T15:45:46.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Choose the specific strategies that made the biggest difference for you - these insights help others succeed too.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-02T16:15:29.000Z,recT3Ms6i0E6fFNfQ,Q002-END-02,2,Which healthy fat strategies worked best for you? (Select all that apply),recpFsPitMCWEQXmS,recwKcnMBUHT535rJ,"recjmkU2nIaeSH2XZ, recWRDVKJz69pZhYp, recKArUE41uHphWb9"
recYsakKKM4jD4kq7,2025-09-02T15:45:50.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Choose the option that best describes your plans.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T18:16:42.000Z,recT3Ms6i0E6fFNfQ,Q002-END-03,3,How do you plan to continue with healthy fats going forward? (Select all that apply),recyKt1SKurl1gMGT,recvcuuqU3VJz0eC1,"recjmkU2nIaeSH2XZ, recWRDVKJz69pZhYp, recKArUE41uHphWb9"
recbUiUHteAPpktlC,2025-09-02T16:17:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Think about how the process has felt and any changes you've noticed since starting Zone 2 cardio.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T10:24:39.000Z,recuHpQcZI7u7gl0M,Q003-MID-01,1,How has incorporating Zone 2 cardio (moderate-intensity exercise where you can still hold a conversation) been going so far?,recuDaHwQtswQ0P8t,recm1sVsfEm9YuCyL,recV6TvniDSNrmCPt
rec0izZENOWgc7eAC,2025-09-02T16:17:46.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Include any improvements in fitness, energy, recovery, or how you feel.","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T12:38:51.000Z,recuHpQcZI7u7gl0M,Q003-MID-02,2,What changes have you noticed since starting Zone 2 cardio? (Select all that apply),recWTEnGjq6YL2h3L,recwKcnMBUHT535rJ,recV6TvniDSNrmCPt
rec8y6VC60hF8fRKr,2025-09-02T16:17:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Include both strategies you've already tried and ones you're curious about. This helps track your progress and discover new approaches.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-02T16:17:51.000Z,recuHpQcZI7u7gl0M,Q003-MID-03,3,What Zone 2 cardio strategies have you tried or would like to try? (Select all that apply),recUsOSjYVBWjc6zA,recwKcnMBUHT535rJ,recV6TvniDSNrmCPt
rec4F984q7ss5Jt8H,2025-09-02T16:17:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Share the biggest positive impact this has had on your fitness, energy, or how you feel.","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T10:24:49.000Z,rec3sGrhKe9WxvOF6,Q003-END-01,1,What's been the most meaningful change from doing Zone 2 cardio?,recqs2KSWZVLchVHj,rec9FbWNUm7CjzB5A,recV6TvniDSNrmCPt
recIgNhXvpVgSQ6gJ,2025-09-02T16:18:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Focus on what actually worked for you personally - these insights help us understand what approaches are most effective.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-02T16:18:03.000Z,rec3sGrhKe9WxvOF6,Q003-END-02,2,Which Zone 2 cardio strategies worked best for you? (Select all that apply),recUsOSjYVBWjc6zA,recwKcnMBUHT535rJ,recV6TvniDSNrmCPt
rec3qay5N1Fxg4u62,2025-09-02T16:18:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Choose the option that best describes your plans.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T18:16:20.000Z,rec3sGrhKe9WxvOF6,Q003-END-03,3,How do you plan to continue with Zone 2 cardio going forward? (Select all that apply),recyKt1SKurl1gMGT,recvcuuqU3VJz0eC1,recV6TvniDSNrmCPt
rec0XvC5Lk369jB4n,2025-09-02T16:18:38.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Think about how the process has felt and any changes you've noticed since focusing on sleep duration.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T10:25:10.000Z,recI6zQhkD0qnqMCy,Q004-MID-01,1,How has prioritizing 7–9 hours of consistent sleep been going so far?,recuDaHwQtswQ0P8t,recm1sVsfEm9YuCyL,recY75tn39AEXKwbl
recoZ1n9ez99yMSsP,2025-09-02T16:18:45.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Include any improvements in energy, mood, recovery, or how you feel.","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T12:38:51.000Z,recI6zQhkD0qnqMCy,Q004-MID-02,2,What changes have you noticed since prioritizing adequate sleep? (Select all that apply),recWTEnGjq6YL2h3L,recwKcnMBUHT535rJ,recY75tn39AEXKwbl
recIyVwUfGrIj8AiH,2025-09-02T16:18:50.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Include both strategies you've already tried and ones you're curious about. This helps track your progress and discover new approaches.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-02T16:18:50.000Z,recI6zQhkD0qnqMCy,Q004-MID-03,3,What sleep strategies have you tried or would like to try? (Select all that apply),recIOhVYZC2Cgv8YV,recwKcnMBUHT535rJ,recY75tn39AEXKwbl
recnvFGkVfdnEjPPW,2025-09-02T16:18:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Share the biggest positive impact this has had on your energy, mood, or how you feel.","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T10:25:19.000Z,recttnsZ3QxLancUf,Q004-END-01,1,What's been the most meaningful change from prioritizing adequate sleep?,recqs2KSWZVLchVHj,rec9FbWNUm7CjzB5A,recY75tn39AEXKwbl
recz1KUIduVFrLV98,2025-09-02T16:19:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Focus on what actually worked for you personally - these insights help us understand what approaches are most effective.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-02T16:19:02.000Z,recttnsZ3QxLancUf,Q004-END-02,2,Which sleep strategies worked best for you? (Select all that apply),recIOhVYZC2Cgv8YV,recwKcnMBUHT535rJ,recY75tn39AEXKwbl
recq9JYjq24Z3gKtZ,2025-09-02T16:19:11.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Choose the option that best describes your plans.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T18:16:56.000Z,recttnsZ3QxLancUf,Q004-END-03,3,How do you plan to continue with your sleep habits going forward? (Select all that apply),recyKt1SKurl1gMGT,recvcuuqU3VJz0eC1,recY75tn39AEXKwbl
receRNQHCnk0Q4aTA,2025-09-02T16:22:32.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Think about how the process has felt and any changes you've noticed since reducing alcohol.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T10:25:38.000Z,recIh66M78fhYHGMP,Q005-MID-01,1,How has reducing or moderating your alcohol consumption been going so far?,recuDaHwQtswQ0P8t,recm1sVsfEm9YuCyL,recqjvztOuYRXj3Sm
reczOGBKe2zJweYsx,2025-09-02T16:22:38.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Include any improvements in sleep, energy, mood, or how you feel.","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T12:38:51.000Z,recIh66M78fhYHGMP,Q005-MID-02,2,What changes have you noticed since reducing alcohol? (Select all that apply),recWTEnGjq6YL2h3L,recwKcnMBUHT535rJ,recqjvztOuYRXj3Sm
