record_id,checkins_v2,created,created_by,default_frequency,description,last_modified_by,last_modified_time,name,purpose,type_id
recBNichFpix9gw86,"recD1poTH4Ra365NJ, recXgq6x7xN7dfmbC, recWE1tQGIXAHtxug, recDWOysJk6f3kLJ9, rec6n9XmdympJeVUr, recONnuogTqTDEYXl, rec4dNYpCcEyv5lOQ, rec2CCOP2crBquoFk, recgPn51sAak5gUgV, recnmd3THtzCvTgZi, rec9CUgVdw0PbMay3, recggtEVRFfkhwTDl, reciTsjpj0k0b8PZa, recj1WFAGBqdBbD4o, recHd8OtZaW4xc1l6, recW0dMBAmUq5VPVe, recCKNeqlOaEpS04T, rec0jRIyN98Lecrac, recpvQ4T4OR0Ca6oK, rec3CGysJZBWtpawM, recLy2WgUeQVBdbep, recBAUf0fNEXjcUZc, recTfg7dDeoFk2R34, recPfcV32C2K9lGyj, rec46UYWhVuYdlwAs, recMEls3xJxrtXHok, rec5D7nOjIQE1rEpe, recNqIQrW0ditLMQs, recgTKRZamJbpsr98, recTSvp3lVnOelUzO, recnUNg6as78pFFeb, recyzJYy8chSW5bFx, recLhZ0aZd0JVoTen, recyaJ3gK4c9Mqcgt, recZXZJndnqrf4Gan, recrdJ5okawTqyvJA, recAXoewKRpFKm2Mx, recDXaZho3FDJlyqY, recEQk08ubhGc8ncQ, recLQiGQaVOgIZZmk, recKqlOmuxQNq3tyF, recFJ0x2GHfXWhHIk, recsRGgKEQ1EfkZM9, recfMlFPp380uNalr, recub2Lmwjp4jLbh3, recZSGGQ1nI5MMumk, recaDBYvaaYNIbSkX, recC94COPTaYgO9Gx, recFxp7wcZax2Q9Mx, rectuUhaE0PFABumL, recjp8Ay89URfxXIt, recnIyHFOYdBWlHO6, recTnEh3iUAYiEe14, recC6URNCqKQ5cXpg, recS2ksfR1nrENr0V, recOWhxpklTDtxDoq, recu9OQeWmoUDhZho, recXHlZEw7tLWMQZ2, rec5iZXSbkXpSkf9j, recTChFDBWiuByczv, recuTEUsMnOR1kw0R, reckvyFTqtkTWuAda, recGTWyjBxULiybxT, recMUTK91sFdl4Dbt, receq8NxUDVvGiZee, recge3nGXrJqtdbG1, recizBiCmfYAS8g79, recUDMYau0e9NbKqC, recQp2vzTuGkVxTnM, reccqVlDYnVER76Qm, recC5r4OdGEAEmDsh, recMXpUoEfenPXQmN, rec3aOmRdrG0X60fw, recTju6zHWbs48eFF, recN18P2VFbVj8GNs, recyifjAZZrXijUrN, recEOwIop20ubZ94S, receMvOOJ20uyYLC3, recV8DziWBWIeyOdN, recJciqqJ83lWZnRR, recf2cIIkOq60bwQz, recrJcoLXewlz2ZFd, recApSzYgTlTxSLWi, recRat35d87MoTYLj, recAsbFSWWJLmloAW, reciot77lGeJMNgAo, recF8gf7PmLsK1t5S, recxLJJ5dniA3Zm2w, recLUSWDVBKJZ0tg4, recsHbplfC5uAsOFt, recDgp0HiSeFsuoXI, recpScErRzuNI1Lix, recJI48VG8mBogMp7, rec6dwdbSxhUqsTx9, recZvlcoaCM5NhdGc, rechmoEUhdivcH9Ao, recnotuDMpvrXxdSj, recitkfifb1Mc7PXS, recO1DGjC86qoTA8L, rec4IVPUOtgafVcTa, recUb3NDosYz7LNXt, recmHRjpuEnm0kGWY",2025-09-02T13:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Daily,Simple data entry check-ins for logging tracked metrics. Direct UI link for quick entry.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-05T00:31:09.000Z,Basic Data Entry,data-entry,CT001
recfEGcwLtIdTkrU3,"recHjr94nc54qJ8sC, recTZUp6I0ucEoiYD",2025-09-02T13:01:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Weekly,Multi-question reflective check-ins for insight generation and behavior change support.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-06T00:54:34.000Z,Weekly Reflection,reflection,CT002
recP4pqCkbzejOVaA,,2025-09-02T13:01:05.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Weekly,Check-ins focused on identifying what helped or hindered adherence to recommendations.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-02T13:01:05.000Z,Barrier Analysis,insight-generation,CT003
reclQedELupF3pViJ,"recfiUljCC65tTqC8, recGwo7MlZZVUClyN, recuHpQcZI7u7gl0M, recI6zQhkD0qnqMCy, recIh66M78fhYHGMP, recmJyddCjEmWqIo5, recUYqq7U5Lvt6LLJ, recpWDK0O9nqwiFYg, rechrNZkTSeJuY8CI, recNGGIoO5Ij2SPel, recEFB83m4voBWlVG, recKm1S8Ra7Y001ZU, recockk2pa2yUT4mF, reczVPTi4GM6oKRsr, recNCORpWpdhImUgz, recN5WDK3xoIGoEPF, rec71eepkC65JnwRB, recC82G8KAHoE4MDq, reckkRmtAtO41WRMM, recBBzfMv7o8hxmFR, recr0Inv65yWC7iC3, recgIxwq5tyX3XxCp, reczw3O8l45TbyY9u, recggFDM0NNZ8AKpQ, rec9SMqWj9HPtsj0r, recFFUCqZ6M67TH8Z, recMxfvxDxZRU0a2H, rectDKBnwS2fCHuOJ, rectIaryN5izWQHUA, recvlHnloytxIfXJd, rec6lTU2UJmMCIBkG, recD3tgF2feWwuGTQ, recx86AQPOeYNhTtY, recAa8kQg0qZR4J9H, recZ4mEIQOqtROWLW, recPFGgGubBUPlOsG, rec9dJWp62DF7pYlY, reckxRkPXDdluf1fR, rec62NOf90O7kCj35, recXP6ocSNCZdjUrl, recqr8KWOQ4sdASu6, recgcGsz86OntSxWJ, recnK7NQMo43hKQrp, recFtJrfZ0DfMTa1P, rec0n2CDSyA2sM1sP, recQsVwGr98mLP1LV, recHhdSMkJO6iJs9i, reclnrUrzYaKRZzpK, recYiHRgCRjLVnhoC, recHQQ3qm9I1xd40Z, recBeua8irlCpcZaP, recWPf6I7CkJi11Bh, recoK5GvN0fK3PPBQ, recZMRQEfKBwyRihA, recaoZ6F2gd5KxziJ, rec9EQER2VHUB9yeB, recvvZ1fw5oNGVVF1, rec3ZWHgTk4i5Lee3, rec19OztwGpnz42EC, rec4O5Wn8tmGxkLuG, recnKg631GmMyJDFl, recc9Yj35ulb4y4pT, recf52GcIrlJOsBs2, recJk32Z7niUwWe9I, reckQr8ekOa1R2yWL, rec4QNKpN1Mm4aHg7, recwEzJIUyQeiM6DX, recVqBL8gVRsnS5rY, recLkPucQsMx0ykId, recoLdjGvKttwUfVn, recoAOv0nREi4k6Zx, recTeVzxQKFTtZilC, recYjtb7COfXapKw7, recIkYm3iAuxEcQTb, recopVvMxRWn9vrtD, recviMdMUq6kL3tvD, rec2r1px0F2cJkecg, recE7mkwo3NjD7ygz, recXGqruMWbznz7CB, rec9NoAGjJKHFv6Lq, rec1B8Vu1AsPKYPKa, recTFURSeSGweibJh, recBtgm6FiJK1jrOj, recdh8C7y67nbtSO8, recJrQoAxw02iNTFD, rec0ddOba40EomBgu, recIbn5XYseHZaFMn, recIGjZ7I2w1JjA1O, recaiRO4sCD5mk3gh, recBKz0KLNfLPkMEL, recTQtetas1Bsv8KM, recaRDnkE9HTDMtC2, recLeaB4pbesbnDCj, recwDRZQcOnxBurX0, recdsQZRD0zBksVEn, recC7K2nz4N9hauhl, rec0cqvWKYMCZioAU, recD5tjhbdTR1jFLZ, recK96y7dou04HjGf, recEPqsXspUOCmzOa, recqiec0tCKeZ0Dbp, recfjpZIOOuHknwME, recKiUvTvk3B8iYiQ, recVCvZ0CQwoCPFXh, recgj8iLCwvr8x15N, recoIReiFVGtpfcpA, recBP67gLPOcrgcLn, recvsLqJQdPaXRZkF, recr3H7MMRF8lyBBV, recGt3z4bWig0jBN0, recdgqNJaGUsIT40B, recUadhGCyyH2N70W, recwcTbu8WfqvT8gl, recCRjOP154FGWDvg, recrepGRRmvlvRrqP, recBnO3qNuRCDkndv, recZgBMeQueKfXmcm, recdFBxqFFYm3JZ1M, recLJVr3tMBkZIvwj, rec8yPJar9QR9li7O, recg1uzaNeMqttWDH, recysQPbc409Qmiri, recCUl8gTPviz1b6x, recMKT6UWnqNdSMdu, recnoWHzbeGmwed8B, rec1vyXhDr6ugQKVN, recr3UkXHEGbKvWNy, rec1YST0AoIC0dgZA, recpPUmzWWjNQGmSV, recaEWEhFP6mVW9ok, recsNCXYJOdmi4QSf, recqsLjdTnNMkiACP, recEFG1ARBev9OHUt, recxr3K7YZbfM2w3P, recEhXY9MYMp4oVqb, recpaEeKMGoCU6Tzq, recYKHkFhTajR0Mmf, recbqO1Pf5HvcHDDQ, rec9ICT4HAvQDtQq8, rec1lKvymsChJ0YCg, recsOiVFRrKeltW8L, recaW9v7yqSvc97vf, recUuU7kIALSFFL7C, recmGznwYmbh8LHck, recfgE6oZ2IkFy3Bp, recRupQw0ckOwvqCa, recK6USo8474dSY3g, reccQA8HCfyUO2zSJ, recHSa4ASrWnbl2nz, reck7APl5ZrOgWzWe, rec4Oqol1GduDjkFj, recJ35CUm6snsVWia, recYMvfTMQ9DZNQ72, recYSZWswoe1jGFzI, recEiW7xEBkdd1wYS, recmxAp8TNdOpoXNX, recSWdGuwktknDPbw, recbSaxX7oeqcUsF5, recrwK4TBcCwJmZ4f, rec5GeyNKnEY86ZIv, recqb6EkmcyurIK7y, rece54yjxZKkT6wZw, recrjlbPueYnHcYYH, recZPori1qdgOxY7x, rec1QgvWC6hzpOI85, recsHWD7lfBntXdP5, recvfMvVfnFGFWgQG, recEuxCGI8hLhFnJL, recsAyLPNekc8WtZQ, recHpYknaPJzpqfo6, recj7I06cAxG9rFTK, recrwxiSNqgCSNTPU, recdoifGDFldnV2mB, recn9QhovTOdvwmDP, recCWql6EUcRsvTJ6, recf9qW2o3olSzbOa, rec185dSVJUswNYA8, recfnbtLgY3FQNoJL, recy4zkCwKYkHQrV2, recJoWIspERQ1DCvj, recTsBdfU9LwsMU8r",2025-09-02T15:03:17.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Mid-Challenge,Progress assessment and course correction check-ins triggered at the midpoint of behavior change cycles. Helps identify barriers and adjust strategies for better adherence.,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T18:04:55.000Z,Mid-Cycle Reflection,reflection,CT004
rec7xAP4LnZ0yx2j5,"recgVnhQlXv7nKh8Q, recT3Ms6i0E6fFNfQ, rec3sGrhKe9WxvOF6, recttnsZ3QxLancUf, rec4b3y9mOGlI8enV, recZeEUFguR0iEYPR, recP4eDb2NKTETEvN, recOxXSXu1RDzfHBV, recC5xu6mLQv79lNw, reca4Jfp3oh3ZV9qA, recjaDr8TUHzXcD4P, recyn2g017MJpPd6K, recib3ZXh1Ckg9aDy, recNCegLEltnxiHuA, rec0baUU3jukvwTuW, reca91yVOhy53GhBW, recblhA76hnXaOgcD, recNFjrBKQYngSeZA, recduhjOkQyuKLin9, recTW0NzUzSJ6QCR8, recPKI4ngwC4uI9YY, recefVN2mbNiC8AC5, recH5VCbvT5gdSdN9, recwozmSdsSDN7veZ, recFiQL6kttOmAC11, receRGUVDQEK1rrhR, recAXVXscsB27Aeov, recUYBsAxEMwP8i0t, recdASNmoDVVcFIkT, recQsiQvtjts7rKa8, recyRIwouhWnBAva5, rec7JgayIN3USkRoa, rech3uM7jYxeGe8KC, recvs31s3wU8tUNmc, recYScyJwzLgBpxC8, recfIsyssh1MSmMZV, recZvjZNXkJBSvVcu, recooos15eAdFs9HM, recxmGqxigRcCfbkA, recu4GJAweXBDjcqX, recsT7IiomBolO8ER, recXFDxsXvq21UHiu, rec7AjpZ29NUmi0uE, recBPkRxBWPP3YWMg, recCMBUOmMnsElot4, recZCXZT7uJcFCqrt, recRDAeIKsgHDITku, recjZU5AenJOOfpho, recq1OOZp54h6HI4n, recv1mJfiKAUJUZPC, recVoXEIWGm1itPnV, recyyFrKQP6loAHW5, recwIeK1VkS3Mkf7a, recSwS6e1mgW5f39X, recCv8F1GOFHPJHzQ, recDvebCM5UvdGyA2, recnP2nplgxP7MZ5m, rec8y7EBzG3Wp1ksb, rec9Q8djA3qpDqkc3, rec2c5TxUaXxqqXcn, recuC4eFokFbdrl0J, recXk1FPvTJaTxRXr, recHJJvUxND0szSGY, recIXF1PHyVxqADDZ, recCNpETkiiIbPCwy, rec8oZKIpioUJHWtm, rec4bDklhUlCQEZ0n, recmmNCgxTfV33Ekc, reckXMhreOBE7bas9, rec4zh1Qe2IGR7J8f, rec4f9nzMDiXuXH4P, recTikhFKV2ZXB8c8, recL70aQTtNQELg4t, recDhITmdRCehzdAD, recqPQrwKnEWGWaTs, rec15ZWVvlPwFpPWU, rec4bIzuzGvFfak5p, recsDKGUoA0VLuPzE, rec3fFSNto9UvKueD, rec0zt17Q9V6MIu5P, recyb3ifz91oB9jGa, rec1u9VfLShyZdvlh, recTTc1z8XW9uTFHE, recqSXO5QzmYk9MNh, recRFYUfkOFiwy9XQ, rec0iVHsfCRHGe29k, recH5WHzcxPNBg1J7, recZyYDutYvQcSeHF, recaZEp6mSHEBPY8c, recoxwttjJsFwlpUu, rec3JZWXjzqNHHzPL, recYt0LDinL0cMcJb, recBEMaVrbNiL76Ts, recBnghW01syKQFI3, recPtDDWx6Pl8Z5Bk, recb6WosstNdPTdr1, recwKmgYTGeRISD2N, recQnETSTwA9L11on, recTl49SpERVzetiC, recLBhZXIuwYJSo5H, rec2fLxxaHyp4bZ8F, recv8MH4h9sTe6O02, rec97ZmP02OCjbRfY, recIleMQVUfCwf63G, recHEHG3iMo0HVB4F, reczr29DNNci3dIRN, reckjl0hbmWnWQg4R, recBKO9NZJylJKYYy, recvBXTvFi83BRfIa, rectqhuq6FjGelDMY, recmDbP6rhC0Rn3QV, rechMTtodn9XHTQ4Z, reckB2kTkJlnBei88, recCMB7ckIjGbTmcq, recFaSMeRCXf8ikSD, rectM8LC2kAYZYCsf, rec8BNBATlc3HZ7z5, recj9PCbKaqdHo3xh, recdED7XSZGuxjLf7, rec7CArqyAqQe0XJK, recAB0HSBQEqqsg1f, recIafNTSmQC3WbJS, recDOhaI7m2pW67a1, recNbqLySQU8VcHNo, recsih5SHmGQAp6gj, rectLt03mNYCCJ4H7, rec0lyjyTgVMD89h1, recv35UnyO0xhxKiy, reclLXNaVgFOo2dfi, rec1OkvZ8j83j8eq3, recFumzbmaGQXcdcF, recS1EJQANNicqraa, recPwocHFVswBttvK, rec8GzcEw5G7rzKA3, recGmgYQG5t48hjhz, recSqZMSKm9nq3Tc1, recZZngCIZxB5LpAG, recP8eKmM6MtUpgi7, recnL4s4GdA6gKegM, rec8aPd4MQLFDiZqE, recMAW7W1LgQYdbWL, recxoa9qFIaN3hqJI, recCmagfWFvCujwB4, recylhXsBHP1xIOOg, rec8idVOSoXzEqvlY, recWSZorj1bRidgEe, recaw0w3Ct4PVqSAr, recMNH5j7TCQvCh4t, rec7RpBsjDquGcZnc, rec2gyHDYCyCIXeR4, reciCQRwYDG1fEEXz, recvzM7MeDO2I0zLj, recynS6EOdykFr7RE, recVFdoHSRdfuDXDo, recqFvTtIJq5PQfYF, recXWe8u6EzeIWgdk, rec6aDJTGmUAIUbZl, recF76NxPMbKiJuCd, recgIsX9hLdBHJHGe, recARsdS4rLSCfm1T, recokU3whbEgDKU42, recrU5aYCbxKOG5RZ, rec9m6Nsx6FQ1dSrS, recNUBHZ30WpP8Ry3, reck9QLIfqPpWyquG, recnyUtVnqJYEz2bI, recWBkX3ftBkeMoTa, rechOSuJs08JKtPPb, recB7AqP1FCN5btg9, rechHdL6fl24nzy6G, reclU5HeQjiJhzBYp, recqudnHS5yFTBLKK, recWXk2jtRVgNGTmp, recujC9nZ4VuukXIG, rec6xjfZCrjfar7Rp, recz3dpvRHwr3EdhZ, recwSCW92OpRAHzmt, rec4EmFrxbhmK03dC, recw9nG8U7RcBEtZk, reccaeTNjWyXAfUDh, recYrt6nSNworMNwB",2025-09-02T15:03:22.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",End-of-Challenge,"Completion reflection check-ins for celebrating achievements, capturing successful strategies, and planning next steps. Triggered at the end of behavior change cycles.","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T18:05:00.000Z,End-of-Cycle Celebration,insight-generation,CT005
rec2memDvuNg5Mmey,,2025-09-04T19:36:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Daily,"Evening check-ins focused on capturing behavioral context that might affect outcomes (sleep, stress, etc.)","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T21:07:41.000Z,Evening Context Capture,insight-generation,CT006
rec2nyq8P9vmgnmOZ,recAaTJAR1IClfZwF,2025-09-04T19:36:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Daily,"Morning check-ins focused on assessing quality and satisfaction of overnight outcomes (sleep, recovery, etc.)","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-05T00:31:09.000Z,Morning Quality Assessment,insight-generation,CT007
recje72Xs0eBkhQs1,recyfttRpmO2cj1ZK,2025-09-04T20:01:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Daily,"Daily check-ins to assess cognitive performance, mental clarity, and brain function patterns","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T22:03:12.000Z,Daily Cognitive Assessment,insight-generation,CT008
recpkmhHkfFABxxLp,reclWmjxAuJ35aQKj,2025-09-04T20:23:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Daily,"Evening check-in to capture behavioral context affecting sleep quality (screen time, stress, environment)","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T22:02:49.000Z,Sleep Evening Context,insight-generation,CT009
rec0hqfV4oHCHMMpW,"recVmmIpCRuj6eBaA, recAEkNG4wDg3hxPD",2025-09-04T20:23:32.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Daily,Morning check-in to assess sleep quality perception and recovery feelings,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-05T00:31:09.000Z,Sleep Morning Quality,insight-generation,CT010
