record_id,Pillar_raw,checkin_id,checkin_questions,checkin_type,created,created_by,description,frequency,last_modified_by,last_modified_time,pillars,recommendations_scorched_earth,recommendations_targeted,response_Types,response_options,title,tracked_metrics,trigger_conditions
recD1poTH4Ra365NJ,,CK001-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:27:04.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Count how many servings of fiber-rich foods you had today. Think beans, lentils, whole grains, fruits, and vegetables. Each serving helps keep your digestive system healthy and your energy levels stable.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,Healthful Nutrition,,rec51TDeLYX6vOI1v,RT001,recKFvqs6chl75esq,Track Your Fiber Intake Today,recEQJIHSBn0dbAsE,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recXgq6x7xN7dfmbC,,CK002-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:27:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Track the variety in your fiber intake. Count each different type of fiber-rich food you ate - beans, oats, berries, broccoli, quinoa. Different sources feed different beneficial bacteria in your gut, so variety matters just as much as quantity.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,Healthful Nutrition,,recj4S8iGZ5mXx4NS,RT001,recKFvqs6chl75esq,How Many Different Fiber Sources Today,recXGAU9Qi5e8bKSW,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recWE1tQGIXAHtxug,,CK003-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:27:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Record your total fiber intake in grams for today. Aim for 25-35g daily for optimal digestive health and blood sugar control. Don't worry about being exact - a good estimate works perfectly. This is the gold standard measurement for fiber tracking.,Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition,Healthful Nutrition,Healthful Nutrition",,"recu8nVY5FrP2YCVR, recMfTk8ITmrFJowR, recz8gAMEHUAYrsVo, recvv2HVgKwsoHdQD",RT001,recKFvqs6chl75esq,Log Your Total Fiber Grams,recgyE3iWXP2ccYEx,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recDWOysJk6f3kLJ9,,CK004-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:27:18.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Record if you made at least one healthy fat substitution today. Think olive oil instead of butter, avocado instead of mayo, or nuts instead of chips. Small swaps like these make a big difference for heart health over time.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,Healthful Nutrition,,recHzb6cKfnSgyEzu,RT001,recKFvqs6chl75esq,Did You Make a Healthy Fat Swap,recjmkU2nIaeSH2XZ,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
rec6n9XmdympJeVUr,,CK005-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:27:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Track whether you consistently used healthy fats as your default choice today. This means reaching for olive oil, avocado, nuts, and seeds instead of butter, margarine, or processed oils for cooking and meals.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,Healthful Nutrition,,rec949y9L8RuJ25yP,RT001,recKFvqs6chl75esq,Check Your Healthy Fat Usage Today,recWRDVKJz69pZhYp,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recONnuogTqTDEYXl,,CK006-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:27:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Estimate what percentage of your daily calories came from saturated fat today. Keeping this under 10% of total calories supports heart health. Think about butter, cheese, red meat, and processed foods when making your estimate.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,Healthful Nutrition,,recIRf5TBEMboKqVm,RT001,recKFvqs6chl75esq,Track Your Saturated Fat Intake,recKArUE41uHphWb9,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
rec4dNYpCcEyv5lOQ,,CK007-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:27:35.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Record how many grams of protein you consumed from all sources today. Include meat, fish, eggs, dairy, beans, nuts, and plant proteins. Adequate protein supports muscle health, metabolism, and keeps you feeling satisfied.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,Healthful Nutrition,,recnSEMu0buoaCSvm,RT001,recKFvqs6chl75esq,Log Your Total Protein Today,recfE9BcGPHq9cPDZ,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
rec2CCOP2crBquoFk,,CK008-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:27:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Track how many distinct protein servings you had today. Count each serving of eggs, poultry, fish, legumes, tofu, or other protein sources. Spreading protein throughout the day helps with muscle maintenance and stable energy.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition",,"recMV3jzfb4sKW5vY, receDJo2S8FqzNOrm",RT001,recKFvqs6chl75esq,Count Your Protein Servings,recKLAs4h7IGRfWda,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recgPn51sAak5gUgV,,CK009-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:27:46.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Track how many servings of vegetables you ate today, excluding starchy ones like potatoes or corn. Each serving supports your immune system, provides essential nutrients, and helps with overall health. Aim for variety in colors and types.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition,Healthful Nutrition",,"rec3vdJyRz5x9yYJ6, recMWhvrT57rQOSyU, recTnxfnpWuWO6CRg",RT001,recKFvqs6chl75esq,Count Your Vegetable Servings,recMRSL40KDppZ8IJ,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
recnmd3THtzCvTgZi,,CK010-TM,receOW3ruPDJdEhjj,recBNichFpix9gw86,2025-09-02T13:27:52.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Count how many different types of vegetables you ate today. Different vegetables provide different nutrients and antioxidants. Whether it's spinach, carrots, broccoli, or peppers - each unique vegetable counts toward your variety goal.",Daily,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-18T17:36:16.000Z,"Healthful Nutrition,Healthful Nutrition",,"recTnxfnpWuWO6CRg, recMWhvrT57rQOSyU",RT001,recKFvqs6chl75esq,Track Your Vegetable Variety,recmrxrBzd9TFYnvB,"recm1jq2UqVHfegWv, recRaSDTuNo2S2b01, rec0ZucJ0mQiHRkKP"
