record_id,count_intake_markers_raw,count_intake_metrics_raw,count_survey_questions,created,created_by,intake_markers_raw,intake_metrics_raw,last_modified_by,last_modified_time,marker_metric_total,normalized_weight,question_complex_count,question_from_survey_questions,raw_weight,survey_questions,survey_total
recNyHEYDSYmXJyzR,0,0,0,2025-06-19T23:06:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T18:25:29.000Z,0,0,0,,0,,0
reciMfODfBbxmyn3Y,0,0,0,2025-09-11T19:29:24.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:29:26.000Z,0,0.0047169811320754715,0,,1,,0
recB0pYWtYJI6JZ7I,0,0,1,2025-06-19T20:04:21.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-19T23:06:00.000Z,0,0.009433962264150943,0,What are your primary sources of caffeine (select all that apply)?,2,recZMkfFgsK7AeyJv,2
recpOktD5ZjjIiSpX,1,0,0,2025-06-19T14:25:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recTTucmjMGfWunuf,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-19T20:04:19.000Z,3,0.014150943396226415,0,,3,,0
reckfStVVCweTuHOf,1,2,0,2025-06-19T14:25:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recUkIxIOnGBQsC1n,"rec0v0JrVS6xu5Dcj, recbIfUESzC18eAIL","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T18:28:16.000Z,12,0.018867924528301886,0,,4,,0
reccGv90xf1b3HW11,4,2,0,2025-06-19T14:25:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","receYj9nbAEGPBxFl, reccHPJ5bLiHkc845, recf4HtvFUqMhyhdh, recdABLj65LlSCrvr","recVHWlB26jWt9Ij9, recHOTAk6Lpmb9uUz","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-19T16:13:48.000Z,30,0.02358490566037736,0,,5,,0
recFPkW9x50vH9M5q,4,2,0,2025-06-19T14:25:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recAAuZFrdsqJW3yd, recierVNozpgZdLZH, recr9ZjdfpVef9KJR, recwtXkPSEQgyddmt","reccxH7AESy9vvBPo, rec8o1wlo0olBMl8A","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-19T23:28:48.000Z,36,0.02830188679245283,0,,6,,0
recpChcFgF7OhB4ae,5,1,0,2025-06-19T14:25:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recw2hqgZfllcjFso, recbYuWTuZJPZwFNc, recC0mB1LyNGjDyld, recAdUWMgWMZS3qKI, recTyoThcQqCihtey",recXiq3Os05QJJki4,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-19T23:28:47.000Z,42,0.0330188679245283,0,,7,,0
recPwf57YPv35DmjI,2,0,5,2025-06-19T14:25:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recDwWAHjdIXhMhSV, recLJcUUTL1szyE8Z",,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T18:28:19.000Z,16,0.03773584905660377,0,"How would you rate your current cognitive function (e.g., memory, attention, problem-solving, etc.)?, Do you have any concerns about your current cognitive function?, How often do you engage in activities that challenge your brain (e.g. puzzles, reading, learning new skills, etc.)?, What types of cognitive activities do you regularly participate in (select all that apply)?, How often do you eat fatty fish (e.g., salmon, sardines, mackerel) rich in omega-3s?",8,"rec4GIvD4kEmXxMqV, receQcqooMLH2BxMi, recqIF9JESGtmu3qC, reciaIJviV002AFB1, rec0xj5dsI5vV2jGZ",40
recMuaZXnxENAZKXZ,0,0,0,2025-09-11T19:29:26.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:29:37.000Z,0,0.04245283018867924,0,,9,,0
reccBIbR7VG7mwLg9,0,0,0,2025-09-11T19:29:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:29:37.000Z,0,0.04716981132075472,0,,10,,0
recnkspjQMu5FRV9l,0,0,0,2025-09-11T19:29:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:29:38.000Z,0,0.05188679245283019,0,,11,,0
recNWeYYxFEXTkCCY,0,0,0,2025-09-11T19:29:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:29:38.000Z,0,0.05660377358490566,0,,12,,0
recGqK3uotS8glgLO,0,0,0,2025-09-11T19:29:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:29:39.000Z,0,0.06132075471698113,0,,13,,0
recJ9nj2FyKvcA8wP,0,0,0,2025-09-11T19:29:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:29:40.000Z,0,0.0660377358490566,0,,14,,0
rec1zlEVRAHIU6u3P,0,0,0,2025-09-11T19:29:30.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:29:40.000Z,0,0.07075471698113207,0,,15,,0
recFDFJCbXpyIUg7K,0,0,0,2025-09-11T19:30:35.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:30:59.000Z,0,0.07547169811320754,0,,16,,0
recORHMupIpOuolAe,0,0,0,2025-09-11T19:30:35.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:30:59.000Z,0,0.08018867924528301,0,,17,,0
reckFHU38nItzrvgU,0,0,0,2025-09-11T19:30:36.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:30:59.000Z,0,0.08490566037735849,0,,18,,0
rec6lVCp5cdyXoCAg,0,0,0,2025-09-11T19:30:36.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:30:59.000Z,0,0.08962264150943396,0,,19,,0
recsnGaqMXyT7M2ez,0,0,0,2025-09-11T19:30:36.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:30:59.000Z,0,0.09433962264150944,0,,20,,0
