record_id,categorical_description_from_screening_compliance_matrix,config_id,config_name,created,created_by,id_start,last_modified_by,last_modified_time,overview_from_screening_compliance_matrix,schema_calculated_metric,schema_daily_limit,schema_progress_direction,schema_required_days,schema_total_days,schema_tracked_metrics,scoring_method,screening_compliance_matrix,type_from_screening_compliance_matrix,ui_display_from_schema_calculated_metrics,ui_display_from_schema_tracked_metrics,unit_identifier_from_schema_calculated_metrics,units_from_schema_tracked_metrics
recsWuS6ZcRkjbaYe,Gender: male_female | Age: Any | Risk Level: Any,SCREEN-001: Dental Exam-COMPLETION-BASED,Completion Based - dental cleaning,2025-09-26T22:54:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",COMPLETION-BASED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T13:12:09.000Z,"Essential preventive care for oral health, systemic inflammation reduction, and cardiovascular disease prevention. Poor oral health is linked to increased mortality and chronic disease risk.",recjbSWMBqWaynFJQ,1,completion,1,90,reclIACOAoPgkxf1c,recKyShU34YoMZYkJ,recAkzxNeE75B95ae,Dental Exam,Yes/No,MM/DD/YYYY,rec7pF1npMWC9gCoM,rec1YWXt84b8K9d7v
rechyyS1CM3DMCDjM,Gender: male_female | Age: Any | Risk Level: Any,SCREEN-002: Physical Exam-COMPLETION-BASED,Completion Based - physical,2025-09-26T22:54:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",COMPLETION-BASED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T13:12:09.000Z,"Comprehensive health assessment for early disease detection, risk factor identification, and preventive care optimization. Critical for longevity and health span maximization.",recmEwolBmYixKs71,1,completion,1,90,rec7M0BSOQF0Fzboh,recKyShU34YoMZYkJ,recqpqGVvQNCWh9mu,Physical Exam,Yes/No,MM/DD/YYYY,rec7pF1npMWC9gCoM,rec1YWXt84b8K9d7v
recTQmDuiWXF36HVP,Gender: male_female | Age: Any | Risk Level: AVG,SCREEN-003(i): Skin Check (avg risk)-COMPLETION-BASED,Completion Based - skin check (avg risk),2025-09-26T22:54:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",COMPLETION-BASED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T13:12:09.000Z,"Eye health assessment for early detection of vision-threatening conditions, glaucoma, macular degeneration, and systemic diseases manifesting in the eyes.",recmj64n7Kbt7c66T,1,completion,1,90,rechAZqsAO4Uhkfxf,recKyShU34YoMZYkJ,recH7Hu122MMrz7Cx,Skin Check (avg risk),Yes/No,MM/DD/YYYY,rec7pF1npMWC9gCoM,rec1YWXt84b8K9d7v
recu8DDAU1HdG1AOg,Gender: male_female | Age: Any | Risk Level: HIGH,SCREEN-003(ii): Skin Check (high risk)-COMPLETION-BASED,Completion Based - skin check (high risk),2025-09-26T22:54:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",COMPLETION-BASED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T13:12:09.000Z,Dermatological examination for melanoma and skin cancer detection in individuals with standard risk factors. Early detection dramatically improves outcomes.,recfwGl0541VuBYDx,1,completion,1,90,rechAZqsAO4Uhkfxf,recKyShU34YoMZYkJ,rec6LZCGkwEXnrHlh,Skin Check (high risk),Yes/No,MM/DD/YYYY,rec7pF1npMWC9gCoM,rec1YWXt84b8K9d7v
reckcyjm7uKe2edea,Gender: male_female | Age: Any | Risk Level: Any,SCREEN-004: Vision Check-COMPLETION-BASED,Completion Based - vision check,2025-09-26T22:54:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",COMPLETION-BASED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T13:12:09.000Z,"Intensive dermatological surveillance for individuals with elevated melanoma risk (family history, multiple moles, fair skin, sun exposure history). Melanoma mortality risk requires aggressive monitoring.",recnFPsFwhY5iwRM5,1,completion,1,90,rectuoyPRl4n3B1Ja,recKyShU34YoMZYkJ,recnkWbUR6uBtqwlX,Vision Check,Yes/No,MM/DD/YYYY,rec7pF1npMWC9gCoM,rec1YWXt84b8K9d7v
recyt2k8AOCicD2lR,Gender: male_female | Age: Any | Risk Level: AVG,SCREEN-005(i): Colonoscopy-COMPLETION-BASED,Completion Based - colonoscopy (avg risk),2025-09-26T22:54:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",COMPLETION-BASED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T13:12:09.000Z,Gold standard colorectal cancer screening with therapeutic potential. Colorectal cancer is highly preventable with screening and represents significant mortality risk if undetected.,recnrCnZw0eLsTrqh,1,completion,1,90,recBH6gBVH3HmK0ys,recKyShU34YoMZYkJ,recuIHfxffyARrIa0,Colonoscopy,Yes/No,MM/DD/YYYY,rec7pF1npMWC9gCoM,rec1YWXt84b8K9d7v
recVKCEu7R9tucMSU,Gender: male_female | Age: Any | Risk Level: HIGH,SCREEN-005(ii): Colonoscopy-COMPLETION-BASED,Completion Based - colonoscopy (high risk),2025-09-26T23:00:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",COMPLETION-BASED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T13:12:09.000Z,"Intensive colorectal surveillance for individuals with elevated risk (family history, inflammatory bowel disease, genetic syndromes). High-risk individuals face substantially increased cancer mortality without frequent screening.",rec6XqppkTF35stEV,1,completion,1,90,recBH6gBVH3HmK0ys,recKyShU34YoMZYkJ,recyLabrx05P4iIna,Colonoscopy,Yes/No,MM/DD/YYYY,rec7pF1npMWC9gCoM,rec1YWXt84b8K9d7v
recWQDwOb3iWvh0xi,Gender: female | <50 | Risk Level: AVG,SCREEN-006(i): Mammogram-COMPLETION-BASED,Completion Based - mammogram (under 50 avg risk),2025-09-26T23:00:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",COMPLETION-BASED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T13:12:09.000Z,Breast cancer screening for younger women at standard risk. Earlier screening may detect aggressive cancers but with higher false positive rates. Individualized decision-making recommended.,recpihoFk1Oil2Zj0,1,completion,1,90,recx47dxhGwUUIhla,recKyShU34YoMZYkJ,rec7c3kDYdBrgxoDC,Mammogram,Yes/No,MM/DD/YYYY,rec7pF1npMWC9gCoM,rec1YWXt84b8K9d7v
recjVX2AZtj4R5zpu,Gender: female | >50 | Risk Level: AVG,SCREEN-006(ii): Mammogram-COMPLETION-BASED,Completion Based - mammogram (over 50),2025-09-26T23:00:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",COMPLETION-BASED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T13:12:09.000Z,"Standard breast cancer screening for postmenopausal women. Age >50 represents significantly increased breast cancer risk, making screening highly cost-effective for mortality reduction.",recActJ3sF8kbburU,1,completion,1,90,recx47dxhGwUUIhla,recKyShU34YoMZYkJ,rec9rVMKtwyOX413J,Mammogram,Yes/No,MM/DD/YYYY,rec7pF1npMWC9gCoM,rec1YWXt84b8K9d7v
recVRcsrTieDPQioS,Gender: female | <50 | Risk Level: HIGH,SCREEN-006(iii): Mammogram-COMPLETION-BASED,Completion Based - mammogram (under 50 high risk),2025-09-27T00:17:12.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",COMPLETION-BASED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T13:12:09.000Z,"Intensive breast cancer screening for younger high-risk women (BRCA mutations, strong family history, chest radiation). High-risk status overrides age considerations due to elevated mortality risk.",reco96aJYzJadCR5x,1,completion,1,90,recx47dxhGwUUIhla,recKyShU34YoMZYkJ,recH8igf1nUvgACut,Mammogram,Yes/No,MM/DD/YYYY,rec7pF1npMWC9gCoM,rec1YWXt84b8K9d7v
rec9KcBnEspHzuc9N,Gender: male_female | <50 | Risk Level: VERY HIGH,SCREEN-007: Breast MRI-COMPLETION-BASED,Completion Based - breast MRI (very high risk),2025-09-26T23:00:24.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",COMPLETION-BASED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T13:12:09.000Z,"Advanced breast imaging for individuals with extremely elevated risk (BRCA1/2 mutations, Li-Fraumeni syndrome). MRI provides superior sensitivity for early cancer detection in high-risk tissue.",recpo90msSdH76ZT7,1,completion,1,90,recSYc1LTY0BHWXTT,recKyShU34YoMZYkJ,recwfCJXDvYl5nGX9,Breast MRI,Yes/No,MM/DD/YYYY,rec7pF1npMWC9gCoM,rec1YWXt84b8K9d7v
