record_id,Created By,check_weights,component_1_calculated_metric,component_1_comparison_operator,component_1_daily_limit,component_1_frequency_requirement,component_1_progress_direction,component_1_required_days,component_1_schema_unit,component_1_scoring_method,component_1_target,component_1_total_days,component_1_ui_display,component_1_weight,component_2_calculated_metric,component_2_comparison_operator,component_2_daily_limit,component_2_frequency_requirement,component_2_progress_direction,component_2_required_days,component_2_schema_unit,component_2_scoring_method,component_2_target,component_2_total_days,component_2_ui_display,component_2_weight,component_3_calculated_metric,component_3_daily_limit,component_3_frequency_requirement,component_3_operator,component_3_progress_direction,component_3_required_days,component_3_schema_unit,component_3_scoring_method,component_3_target,component_3_total_days,component_3_ui_display,component_3_weight,component_4_calculated_metric,component_4_daily_limit,component_4_frequency_requirement,component_4_operator,component_4_progress_direction,component_4_required_days,component_4_schema_unit,component_4_scoring_method,component_4_target,component_4_total_days,component_4_ui_display,component_4_weight,config_id,config_name,created,evaluation_pattern,id_start,last_modified_by,last_modified_time,level_description_from_recommendations_v2,overview_from_recommendations_v2,recommendations_v2,schema_required_days,schema_total_days,schema_tracked_metrics,scoring_method,title_from_recommendations_v2,ui_display_from_schema_tracked_metrics,units_from_schema_tracked_metrics
recs4sb1aR6o8MzKU,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",0.9999999989999999,rec71BD8UohNw7mTL,>=,99,daily,buildup,7,recZBMdCzE5sRxqOQ,binary,1,7,Servings,0.233333333,recwpzjlVmB8XGaiq,>=,99,daily,buildup,7,recZBMdCzE5sRxqOQ,binary,1,7,Servings,0.233333333,recBwvFfJzV6wHkew,99,daily,>=,buildup,7,recZBMdCzE5sRxqOQ,binary,1,7,Servings,0.233333333,recZuFwAE8HANtMy8,99,daily,>=,buildup,7,recLchvv5oHiyA236,proportional,2,7,Sources,0.3,REC0007.2-COMPOSITE-WEIGHTED,Composite Weighted - dietary_vegetables,2025-09-23T00:40:49.000Z,daily,COMPOSITE-WEIGHTED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:54.000Z,"Include at least 1 serving of vegetables at every main meal (breakfast, lunch, dinner), with at least 2 different vegetable sources per day","Regular vegetable intake supports metabolic health, cardiovascular resilience, and digestive function. Vegetables provide essential micronutrients, fiber, and phytonutrients linked to healthy aging, inflammation reduction, and chronic disease risk reduction.",recQnFBImbyfJswIb,7,7,"rec0rSFQ8gP9rPSup, reckKP7lbdTDlCEeQ",rec3KbLLN9jmOyoBd,Increase Vegetable Intake,"Servings, Sources","recZBMdCzE5sRxqOQ, recLchvv5oHiyA236"
rec06BiEK4RqHdPHW,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",1,receP0uJG8ReWogvl,>=,99,daily,buildup,7,recZBMdCzE5sRxqOQ,proportional,5,7,Servings,0.7,recZuFwAE8HANtMy8,>=,99,daily,buildup,7,recLchvv5oHiyA236,proportional,3,7,Sources,0.3,,,,,,,,,,,,,,,,,,,,,,,,,REC0007.3-COMPOSITE-WEIGHTED,Composite Weighted - dietary_vegetables,2025-09-23T00:40:49.000Z,daily,COMPOSITE-WEIGHTED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:54.000Z,"Reach 5 or more servings of vegetables daily, with at least 3 different vegetable sources per day","Regular vegetable intake supports metabolic health, cardiovascular resilience, and digestive function. Vegetables provide essential micronutrients, fiber, and phytonutrients linked to healthy aging, inflammation reduction, and chronic disease risk reduction.",recXOVlES2VKHKg1x,7,7,"rec0rSFQ8gP9rPSup, reckKP7lbdTDlCEeQ",rec3KbLLN9jmOyoBd,Increase Vegetable Intake,"Servings, Sources","recZBMdCzE5sRxqOQ, recLchvv5oHiyA236"
recEt9gRQeDUN7lVd,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",0.9990000000000001,recLiyx9n4sjxZFI1,>=,99,daily,buildup,7,recZBMdCzE5sRxqOQ,binary,1,7,Servings,0.233,recQdU3aMAVBH4CsO,>=,99,daily,buildup,7,recZBMdCzE5sRxqOQ,binary,1,7,Servings,0.233,recrE8ZPjgqmWUN0M,99,daily,>=,buildup,7,recZBMdCzE5sRxqOQ,binary,1,7,Servings,0.233,rec4SIuNTsoKcIYwj,99,daily,>=,buildup,7,recLchvv5oHiyA236,proportional,2,7,Sources,0.3,REC0008.2-COMPOSITE-WEIGHTED,Composite Weighted - dietary_fruits,2025-09-23T00:40:49.000Z,daily,COMPOSITE-WEIGHTED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:54.000Z,"Include at least 1 serving of fruit at every main meal (breakfast, lunch, dinner), with at least 2 different fruit sources per day","Regular fruit intake provides essential vitamins, minerals, antioxidants, and fiber. Eating a variety of fruits supports metabolic health, immune function, healthy aging, and helps lower risk of chronic diseases.",recQ5dwrOfm4ecogb,7,7,"recMi1W2H0fBc2kdF, rec89pI1KfH6tF8Yo",rec3KbLLN9jmOyoBd,Increase Fruit Intake,"Servings, Sources","recZBMdCzE5sRxqOQ, recLchvv5oHiyA236"
recmn2tdbViA3inje,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",1,recHDABFxYSwsWiIP,>=,99,daily,buildup,7,recZBMdCzE5sRxqOQ,proportional,5,7,Servings,0.7,rec4SIuNTsoKcIYwj,>=,99,daily,buildup,7,recLchvv5oHiyA236,proportional,5,7,Sources,0.3,,,,,,,,,,,,,,,,,,,,,,,,,REC0008.3-COMPOSITE-WEIGHTED,Composite Weighted - dietary_fruits,2025-09-23T00:40:49.000Z,daily,COMPOSITE-WEIGHTED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:54.000Z,"Reach 5 or more servings of fruit daily, with at least 3 different fruit sources per day","Regular fruit intake provides essential vitamins, minerals, antioxidants, and fiber. Eating a variety of fruits supports metabolic health, immune function, healthy aging, and helps lower risk of chronic diseases.",recl0pPXLWaqoNCTF,7,7,"recMi1W2H0fBc2kdF, rec89pI1KfH6tF8Yo",rec3KbLLN9jmOyoBd,Increase Fruit Intake,"Servings, Sources","recZBMdCzE5sRxqOQ, recLchvv5oHiyA236"
recjTeDN2HEne4ipu,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",1,recbhvuUmr944Cq4w,>=,99,daily,buildup,7,recZBMdCzE5sRxqOQ,proportional,3,7,Servings,0.7,recGiUiUaID7mAdo0,>=,99,weekly,buildup,7,recLchvv5oHiyA236,proportional,2,7,Sources,0.3,,,,,,,,,,,,,,,,,,,,,,,,,REC0011.3-COMPOSITE-WEIGHTED,Composite Weighted - dietary_whole_grain_servings,2025-09-23T00:40:49.000Z,daily,COMPOSITE-WEIGHTED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:54.000Z,"Reach 3 or more servings of whole grains daily, with at least 2 different whole grain sources across the week","Whole grains are rich in fiber, vitamins, and minerals that support metabolic, digestive, and cardiovascular health. Regular intake is linked to longevity and reduced risk.",recMPjln8Ubt5yBiG,7,7,"recwPxK8MnKe5NICN, recFc0mIL0x0jFNbf",rec3KbLLN9jmOyoBd,Increase Whole Grain Intake,"Servings, Sources","recZBMdCzE5sRxqOQ, recLchvv5oHiyA236"
recqKsbiDN4yjoM4k,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",1,reclpXrHPKzZjgU7G,>=,99,daily,buildup,7,recZBMdCzE5sRxqOQ,proportional,2,7,Servings,0.7,recWQ5WqXRynWx7hM,>=,99,weekly,buildup,7,recLchvv5oHiyA236,proportional,2,7,Sources,0.3,,,,,,,,,,,,,,,,,,,,,,,,,REC0012.2-COMPOSITE-WEIGHTED,Composite Weighted - REC0012.2 Legumes,2025-09-23T00:40:49.000Z,daily,COMPOSITE-WEIGHTED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:54.000Z,"Include 2 servings of legumes daily, with at least 2 different legumes per week","Legumes provide plant-based protein, fiber, and micronutrients that promote metabolic, digestive, and cardiovascular health. Regular intake supports longevity and gut health.",recEQ5aKxt6Z10OEG,7,7,"recOGyfPPsAJH0a1z, recZb4SQfXZb0tMcT",rec3KbLLN9jmOyoBd,Increase Legume Intake,"Servings, Servings","recZBMdCzE5sRxqOQ, recZBMdCzE5sRxqOQ"
recrJi4XhS5cEywjX,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",1,reclpXrHPKzZjgU7G,>=,99,daily,buildup,7,recZBMdCzE5sRxqOQ,proportional,3,7,Servings,0.7,recWQ5WqXRynWx7hM,>=,99,weekly,buildup,7,recLchvv5oHiyA236,proportional,3,7,Sources,0.3,,,,,,,,,,,,,,,,,,,,,,,,,REC0012.3-COMPOSITE-WEIGHTED,Composite Weighted - REC0012.3 Legumes,2025-09-23T00:40:49.000Z,daily,COMPOSITE-WEIGHTED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:54.000Z,"Reach 3 or more servings of legumes daily, with at least 3 different legume sources across the week","Legumes provide plant-based protein, fiber, and micronutrients that promote metabolic, digestive, and cardiovascular health. Regular intake supports longevity and gut health.",recocDwlTbpvWgVtb,7,7,"recOGyfPPsAJH0a1z, recZb4SQfXZb0tMcT",rec3KbLLN9jmOyoBd,Increase Legume Intake,"Servings, Servings","recZBMdCzE5sRxqOQ, recZBMdCzE5sRxqOQ"
recKl9SuZUIJ1rfDB,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",1,recGpA90JnwA5Lwwi,>=,99,daily,buildup,7,rec9OxY60mezaCp2J,proportional,3,7,Meals,0.9,rec39ViJ5ctW3CQJF,>=,99,daily,buildup,7,recO4L9TssiVxosxO,binary,1,7,Snacks,0.1,,,,,,,,,,,,,,,,,,,,,,,,,REC0016.3-COMPOSITE-WEIGHTED,Composite Daily - meal frequency plus healthy snack,2025-09-23T00:40:49.000Z,daily_composite,COMPOSITE-WEIGHTED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:54.000Z,"Eat 3 or more meals per day every day of the week, with at least 1 healthy snack","Regular meal frequency supports stable energy, muscle maintenance, metabolic health, and balanced nutrient intake. Eating too few meals can increase fatigue and undernutrition risk.",rec1pZRqnJsEPgjdK,7,7,"recVBnB9mNNstK4qa, rectFqhMxxcMQiOEd",rec3KbLLN9jmOyoBd,Daily Meal Frequency,"Meals, Snacks","rec9OxY60mezaCp2J, recO4L9TssiVxosxO"
rec0Z7xfFrt3pFS3O,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",1,rec9UyPB9IH6JVY1S,>=,99,daily,buildup,7,recyl9Pa45s71Mrs8,proportional,5,7,Sessions,0.8,recMKXJdq99o40g1C,>=,99,daily,buildup,7,recyl9Pa45s71Mrs8,proportional,2,7,Sessions,0.2,,,,,,,,,,,,,,,,,,,,,,,,,REC0037.2-COMPOSITE-WEIGHTED,Composite Weighted - REC0037.2,2025-09-23T00:40:49.000Z,daily,COMPOSITE-WEIGHTED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:54.000Z,"Complete at least 5 exercise snacks per day, including 2 after meals","“Exercise snacks”—short bursts of movement—improve metabolic health, mood, and energy, and make movement more achievable in busy schedules.",recXhidANaW6zTqf2,7,7,"recr27cK81GMzEumi, recVBnB9mNNstK4qa",rec3KbLLN9jmOyoBd,Weekly Exercise Snacks,"Time of Day, Meals","recv2GuhbmM9UdNDp, rec9OxY60mezaCp2J"
recw9wMrHuZm3xyAG,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",1,rec9UyPB9IH6JVY1S,>=,99,daily,buildup,7,recyl9Pa45s71Mrs8,proportional,8,7,Sessions,0.8,recMKXJdq99o40g1C,>=,99,daily,buildup,7,recyl9Pa45s71Mrs8,proportional,3,7,Sessions,0.2,,,,,,,,,,,,,,,,,,,,,,,,,REC0037.3-COMPOSITE-WEIGHTED,Composite Weighted - REC0037.3,2025-09-23T00:40:49.000Z,daily,COMPOSITE-WEIGHTED,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:54.000Z,"Complete at least 8 exercise snacks per day, including after every meal
","“Exercise snacks”—short bursts of movement—improve metabolic health, mood, and energy, and make movement more achievable in busy schedules.",recm1y0FhNqxNPSp0,7,7,"recr27cK81GMzEumi, recVBnB9mNNstK4qa",rec3KbLLN9jmOyoBd,Weekly Exercise Snacks,"Time of Day, Meals","recv2GuhbmM9UdNDp, rec9OxY60mezaCp2J"
