record_id,confidence_level,created,created_by,description,id,last_modified,last_modified_by,linked_evidence,source_type
recRIfCU2PF5bhkmW,High,2025-06-03T21:20:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Summary of multiple randomized controlled trials with consistent findings,E001,2025-07-30T20:05:54.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recFgfMdD7fP1FoFl, recJwR1IJSbmAV5Pu, rec22M6G8mG8TZ46c, recA4Hpf2p4NtBNvL, recqBdEjgop9phdvP, recTiKjrzULUKQ5KR, recSt0kpdic90vIRf, rec194G0qZ9wySSrU, recVJ94O76ZoE8v54, recvtmz36mUxThUpc, rec0v741flomoT38y, recqngw2TdjzBdBGQ, recpicUapbnuS1yzI, recHqDbS86331GBBd, recfnNXFUSSo7MKze, recQqC977SU1fqMpF, recfUyUU5uBf7lhug, recT48LgHRU99I98j, recpm16Bx8TW3s09V, recazXCH83ljjJoLr, recMJH9tTOHPdM5CJ, recsdPLR5Wpx2F4fl, recqns27bBblGOhy5, recXEZ94kHXkuwW9j, recaje3Tkx97MUsCG, recLMoXQhF63THQM6, rec3MI6XxARP9QXwq, recvIILjA2Bl1u16j, reciu7VbN4NRqCzkf, recIgrU7fy9VPAMwu, recVAW8Oobp853XGn, recO2sTC2EBHxLWg4, reci85XjmgHjnCB9m, recPHOP0KcGMI5EqS, recqrlUH0j4GXytz8, recfqVDl2MWUTUOzI, recNdboQ8rDmirQpT, recNIM5X6p8K0Ed1p, recLqVjeoctsCwdvB, reckzygPmlvVZEX2N, recNhs2QUHpqqExiT, recR3kn2j2mAsoctc, recjsF4imkG9TJdRP, rec8GtJTGvnWfUkd2, recYmQgtaxPq2hr8E, recifkDoAK6SpqKRg, recpk94bx9h2yF8kg, recNsLEd8OK0CV41T, recNFfE7J6CWtND2E, recsoirZvg4rd5TzE, recuO8HIkLptcwOvr, reccKgRDlI1Yvws8H, rec8UBpydQNaepBKH, recAfRFPxiGksF2xo, recRMGlu5v14IiJPC, recC2T3geyYzsz5PS, recX8KN2ikIkgzo31, recFS5EjfrlSANMMV, recBzTPsUezn2YNQR, recyOdJVziH7kO0FW, recE9Oy4W7gXbcL6D, recD9UGIHUya8rfNC, recso9zXOo912RbtR, recW7gsTuR8iw6vgm, recTKZUuAmd0vSFA2, recVIz2DLtMd5nFkl, recuhuSKqYPYRLv4u, recpLdrqJSvVSBVCO, recMCPGkmAWQblSzH, recknf96vG7MNJk8O, recwrrDrEtAWj5CoE, recxMyoacAK9nW7RP, recG2YPtI4HrOdIcA, recxQcrGwH2rN75mN, recQ16WxffJJMNw73, recYV0O6IHyUJ4MA8, rectbr6ELMPtm0bh1, recyg29GsWSt4QG8G, recc9ADDeUjVjJp2a, recCnC0Tz1QziFnHI, recdzbFxUH0HFKBrQ, recgPD6lsU4UDplyt, recYFEOsw5tCCvoW3, recusPbh4HcnplmLm, rec7iKKqi5yaT4ikE, rec15PVPvMr0rsgO0, rec95nJH33r5g51tA, recp76FjLVXuwgRdd, recTxQ5eLX0TvgYqM, recrfrHwRzPtJ5W77, recKvSITqNCLchBqU, recBdHkYbv2njsIkC, rec46ZfA0RvwImmfK, rec1Xa5ezJi0owtmj, reciFTkZ7S2D842Ta, recufc5ahhDnhUVRp, recE2Z0KjDI4l2nuX, rec0bDSq0Cd3LWTIe, recmcPYpzZCIXbbcv, reclg2oZBQ7LqvMSU, recU15R9UzQGL0IzN, recSRdihQKpHrDOIa, recsQQl4cRWa9BANA, rec5nmyogy4RG53Lo, recJniegrW816o3gQ, recWupLTL0rvNFpr7, recQjt0RqlVLhQp6A, rec2wgpap3Uph2ZDK, recSM3DZQDNGKvl4s, recC4qu2BH3nRj3Sv, reclDPDNkNK7zcSmQ, recQM8JCLmb2Dv29H, rec1j4kGtt8DMLYFO, recMD0Aty33OBhyak, recjSzlhtOL89izWO, rec25h3FHNaUByXvS, recybnvVRi3uqaDzK, recZZu138im52nLvU, recixL7mBSTqhNkna, recBPXoMeDMgGmUVn, recjIxKcwovfF1VuR, recCeCFvuxsKWtuKQ, reciiD6NLX5kDO0oq, recAFagYc3JaYmpog, rec9cRiTfek7FNtol, rec3sb24qz5xilbj0, recIHIxgXQE6NBA0m, rec4cF6tYEK95ruyo, recDB0nqXJftzQi9R, recFcpuijUskcqZtV, recJIujgpWIaEhAAA, recUWOuxNHAntuSCB",Meta-analysis of RCTs
reclYXy0udvjr66Xa,High,2025-06-03T21:20:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Well-powered randomized trial conducted in target population with clear endpoints,E002,2025-07-28T15:51:32.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","rec5OI0Ed5fbJiJeC, rec6u1FM84A2jUPIM, rech8FSHZDSWHSEZp, recdnrJtTA8PQt7QS, rec2GcaMk0aHmqTtN, recE0U3SFy6Axtnr8, recMgAfNHQysFM3lG, rec1q2DG3EF9Gv6o8, recS0KcnINWKIWpM7, recughuAlrMC7JFIv, recI5veyTjeePIjpt, recpt8wrIagokmykq, recmg81rbVOQE2fsX, recnJyCczaWwIv9m1, recml5YqTJh38k8fE, recomiQmSMTzoVqGs, rec81RyQOt80X8tdv, recBFu5ba1vaqbnzm, reccJPHtH90pdldDh, recl9KPdT7iNcK2IH, recEt4TOJso8MbJ0A, rec1rFWWTKeohQDSh, reczJ8DoV5MnM5fKw, recvcrchJO7J57m2b, rectczJLrnIi1EITi, recFhon7ePAPWTucC, recRcCaWssPsYOamj, recH2mI5BxEt2rOtW","Large RCT (e.g., PREDIMED)"
rec4qqncSQrMbfAph,High,2025-06-03T21:20:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Aggregated structured evidence across trial types, showing directional consistency",E003,2025-07-30T20:04:16.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recNVh2E7o0SHwcbc, reciiXKaAhqxRnkw5, recbFt8PUUzhXoC6K, rec1lk6xXygU3EpSK, recT56eCMlF2NZwyV, recqYoT6BrH46hN1v, recOR8MxVdNG9casD, recWsw1cXDUXxR4YM, recKDvqA0ynihOEwS, recLpnOL8eVCpReto, recZnyV1f2VKB30nn, recqLHIDvca3ySHXH, recjaU19uq6iX1B6H, rec29C6EG0oJi4t8D, recpfzo6K2xgUGkwa, rec48lDE1Od38Cr8U, recbMkErzhbnbV1lU, recMePg5yjVvB1dgc, recewCukHUSLwZfCl, recEqOiR22IGSgLjR, recNL9LuPn7qj08wG, rec2Jy46MxJci7Ixw, recL9srK0ySlyshNB, recvslo3KUvZqwuD2, recBUmAn8hrxlm48a, recem1dsaoeWjKqGZ, recY1vdUqN18YkcMf, recYDmBfi9e3ajb7k, recFBI5gaQoMCzBJD, recwyAHuSPh9Wym00, recHG33xSFrAb1gEd, recBq26uKb3AVSBC4, rec6NK7KjzP7sziwa, rec1QjfWhAnvBCLBH",Systematic Review (RCT + Obs)
recODsYatCgd7j2Vr,Moderate,2025-06-04T02:30:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Longitudinal population-level study showing consistent associations, often dietary",E004,2025-07-30T19:07:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recg7RJzhF6WymPkz, recC3okDrcVSiD8Ip, rec32XOJvmFahyakJ, rechL5NBoM9vKcEFf, rec1sX1mavklMg1wp, rec6HyxnNrzXlL9ol, recvH9g8RTwBxBeOZ, rectQ6EQcf0thMVjR, recKM7biSYWjqhqIX, rechiGENwhETGS6Iu, rec2QJ84MfF1qyLVk, recMccCaCE86qRIN7, reccedv3yoEzB5ahQ, rech0uhKe0jdMkr5I, reckgmoubE1WPxWuX, rec4dcu2mt298Spa8, rec68ty0sGlzd10Dn, recgP5dXz1DG8BZZb, recK7Kf6MjF1gBkw0, recfRZ11HgBdonY0b, recwYoKb0RExY2J5A, rec6HACtkZ38m5uHB, rec0DgRMKqdf1UCmp, rec8xcMUoMbwmIEOU, recyahLHeYG3YVAYL, rectlrtDa4BxjJNuZ, recwJWe4j2RVf7H7h, rec3QLNdZXGoZETdE, recY6gGKYVDFrx9xT, rec6Qz0pryMiwkMIY, recL0UGyxRMh5d7NO",Prospective Cohort Study
recBpomWCuwL7QzeH,Low,2025-06-04T02:30:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Population-based comparison using medical records or recall; potential for bias,E005,2025-06-08T19:58:16.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,Retrospective/Case-Control Study
recW2EC7hY2K4pp0I,Moderate,2025-06-08T19:56:38.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Small trials or lab-controlled studies showing biochemical pathways or surrogate endpoints,E006,2025-07-24T21:09:53.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recYI4TAnlYTTNwNx, recSlYOSuk79wZOXJ, recwLUGPJyY8uSH8p",Mechanistic Study (in humans)
recAjhPjSxQfUW5QQ,Low,2025-06-08T19:56:38.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Preclinical or mechanistic evidence; not yet validated in human populations,E007,2025-06-08T19:58:16.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,Animal or in vitro study
recYhFTRFUPeMb1fL,Anecdotal,2025-06-08T19:56:38.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Based on clinical experience or professional guidelines, without formal study design",E008,2025-08-06T13:56:46.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","rec03Pz5MWKx6RTtA, rec1iL7XB1jUTohEX, recGJY1un7AAAGhBy, recNAA8F1W5cTM6Jd, recVTb17HRPx1rtBv, rec6WdSiOY2f3CmQe, recdQsJFFTK7zZFmm, rec4FGgf9RNdUhODC, recMC5jrkGqHlfSwv, recnOfXJOhXcqWRlh, recAJyQN5fsVxIQhx, recjDcjOFVdna0Obz, recShlUPa5BzDuZC1, recApcukx2cgnxbka, recgLINzrBvSzjc3r",Expert Opinion / Clinical Consensus
recbhAp1V3dncb7ny,Emerging,2025-06-08T19:56:38.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Early findings presented at conferences, preprints, or pilot programs with no replication",E009,2025-06-08T19:58:16.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,Emerging but unpublished data
reccTfrcrIEsBwBO4,High,2025-06-09T00:27:42.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Synthesizes findings across multiple meta-analyses of randomized controlled trials (RCTs), offering one of the highest levels of aggregated evidence. Especially valuable for determining consistent, generalizable effects across populations and interventions.",E010,2025-07-30T15:38:38.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recZ6C0tsTPiDOfwE, rec9pHx0ga9pUgV1o, recJ4vL5VemVMA5VN","Umbrella Review of
  Meta-Analyses (RCTs)"
