record_id,created,created_by,description,id,last_modified,last_modified_by,min_engagement_seconds,pillars,title
recYFTwnURAbmNQgW,2025-10-08T16:44:54.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Evidence-based cognitive exercises to maintain mental sharpness,cognitive-health-brain-training,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recIdXMUiA9tWGVL8,Brain Training Exercises That Work
rec20kd4sSbqZRQAr,2025-10-08T16:44:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",How continuous learning keeps your mind sharp,cognitive-health-lifelong-learning,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recIdXMUiA9tWGVL8,The Power of Lifelong Learning
recBvwDZF9zgImGyI,2025-10-08T16:44:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Nutritional strategies to support cognitive function,cognitive-health-nutrition,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recIdXMUiA9tWGVL8,Foods That Boost Brain Power
recQgZNp69c8IImK9,2025-10-08T16:44:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Learn about the crucial connection between quality sleep and brain health,cognitive-health-sleep-quality,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recIdXMUiA9tWGVL8,How Sleep Impacts Cognitive Function
recW6Uj8CxFal3HOp,2025-10-08T16:44:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",How community involvement enhances wellbeing,connection-community,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recWHZ0F3RQskqHtH,The Power of Community Engagement
rec9SejnUQO8xopmX,2025-10-08T16:44:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Strategies to discover and live your purpose,connection-purpose-finding,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recWHZ0F3RQskqHtH,Finding Your Life Purpose
recVGXdfhleONeZX8,2025-10-08T16:44:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Building and maintaining strong bonds,connection-relationships,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recWHZ0F3RQskqHtH,Nurturing Deep Relationships
receHtiCY9we10g61,2025-10-08T16:44:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",The health benefits of strong relationships,connection-social-bonds,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recWHZ0F3RQskqHtH,Building Meaningful Social Connections
reci21n994tJcxEUD,2025-10-08T16:44:59.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Best practices for medication adherence,core-care-medications,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recOT0nP41iwVDLKR,Managing Medications Safely
recnD6uop9OZjK2rP,2025-10-08T16:44:59.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Why regular screenings and check-ups matter,core-care-preventive,2025-10-08T17:08:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",30,recOT0nP41iwVDLKR,The Importance of Preventive Care
