record_id,Created By,count_intake_markers_raw,count_intake_metrics_raw,count_survey_questions,created,intake_markers_raw,intake_metrics_raw,last_modified_time,marker_metric_total,normalized_weight,question_complex_count,question_from_survey_questions,raw_weight,survey_questions,survey_total
reckxhHwH11gGjHL8,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",0,0,0,2025-06-19T23:06:44.000Z,,,2025-09-11T18:24:29.000Z,0,0,0,,0,,0
recwSG0k42wC8IlAr,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",3,0,2,2025-06-19T14:20:58.000Z,"recL8dpnjNSzBJp2L, recyUWBp7cedeahQO, rec78IoEbAaGCIfPe",,2025-06-23T16:12:26.000Z,3,0.002652519893899204,0,"Do you track your daily protein intake?, Do you track your daily caloric intake?",1,"recb9sXEhzdtAr8O0, recW50txvajhijEQM",2
rec8iWXMP6hefaBfP,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",14,4,2,2025-06-19T14:19:41.000Z,"recTTucmjMGfWunuf, recx8nMW7TjR18ZJv, recVAfZIHmVof1Bmj, recVhxrj1lPj9iYBc, recPDAl8akGkZng3A, rec4HrV6IpswwrF1u, recyAXip0DWF9Lp1S, recsIZzvXU1VCDEpy, recUzK4L9enpnuWG8, recHikXLmHS0a08lF, recdABLj65LlSCrvr, recwIwB9znK0kB3Xg, recZd7qSsYU2dqSw0, recBA3iQ4lGJtC2nM","recLuAlDIETnvUUtO, recoiAahhmbWcaNoa, rec8o1wlo0olBMl8A, recXiq3Os05QJJki4",2025-08-28T17:28:10.000Z,36,0.005305039787798408,0,"How many snacks do you typically eat per day?, How much caffeine do you typically consume per day?",2,"recB3XpknCEyoZi3Y, recWPv6mU44m5CIaU",4
recaGPj5KkdevNbIn,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",11,0,2,2025-06-19T14:19:41.000Z,"recierVNozpgZdLZH, recfQt6B5C5wmZDqn, rec0mt0T6zXGg2XeQ, recp5z4Yutaf7CDEX, recrdgjigS4nlwmx8, recALCA8WP3CwReZz, recGspbHqQAWDMXpQ, rec07hP2wtWOA81Db, recDUx81XNYUkBLRH, recX6IiQRem8pQ14z, recuJaoMbqZ3GOYdw",,2025-08-28T17:44:52.000Z,33,0.007957559681697613,0,"How often do you consume healthy fats such as olive oil, avocados, nuts, etc.?, What are your primary sources of caffeine (select all that apply)?",3,"recVgJPCjl6bFrxTF, recZMkfFgsK7AeyJv",6
recbuvg3Haiqchgrb,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",12,0,4,2025-06-19T14:19:41.000Z,"reccHPJ5bLiHkc845, recf4HtvFUqMhyhdh, rec93yl8sjy6vTsht, rec6V13cha6oovOXX, recDwWAHjdIXhMhSV, recr9ZjdfpVef9KJR, recTyoThcQqCihtey, rec7lljffINZr7vSi, recVZYWGkdqlDhEL9, recStFWPU3NCH9loj, rec1DXEBKaRkramqH, recZa2jX2ZfsZQr47",,2025-09-18T12:42:07.000Z,48,0.010610079575596816,0,"How often do you eat out or order takeout/delivery?, How often do you consume whole grains (e.g., oats, barley, brown rice, whole wheat)?, How often do you consume seeds such as flaxseed, chia, or hemp?, How often do you consume red meat (such as beef, pork, lamb, veal, or goat)?",4,"recB9bksOtUK6I6K5, rec7TtBEMJX8jXWpl, rec5Za4ACS5koKKAA, rec698T3pwcdOdVMZ",16
recRBV8s964uViTxC,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",9,3,1,2025-06-19T14:20:58.000Z,"recq0JX3QgFBo5mm4, recDBJLAkc5CAfBm3, recbYuWTuZJPZwFNc, rec7uKDm1ll1XGOqk, reckGxzoaJGEmBptC, recAdUWMgWMZS3qKI, recLJcUUTL1szyE8Z, recHHlPLn8pdw89yH, recEf9Re7uOBSjPbu","recyKRTIlX4Jux2W0, recELBnyZAf0mIQH6, recSy02sgRnjfOkHE",2025-09-11T19:01:56.000Z,60,0.013262599469496022,0,How much of your protein comes from plant-based sources in a typical week?,5,rec5b6PQnoGPoajbd,5
recEjiAD2JY78ffJ7,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",0,1,6,2025-06-19T14:19:41.000Z,,recbIfUESzC18eAIL,2025-09-17T22:05:00.000Z,6,0.015915119363395226,0,"How many full meals do you typically eat per day?, How often do you consume processed meat (such as bacon, sausages, hot dogs, ham, salami, pepperoni, deli meats, or canned meats)?, How many total servings of fruit do you consume daily?, How often do you consume legumes (e.g., lentils, chickpeas, black beans)?, How many grams of protein do you typically consume per day?, How many total servings of vegetables do you consume daily?",6,"rec0kjPRRttBlPtbN, reca3iswGajoVcX6m, recnBW6AfULBOdTRn, recQn4yhFGXABX037, recPkLqmb216mf1qR, rec0qPVrC24aXdNBE",36
rec8upzby6AMpc8So,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",0,2,2,2025-06-19T14:19:41.000Z,,"recVHWlB26jWt9Ij9, reccxH7AESy9vvBPo",2025-06-23T16:43:36.000Z,14,0.01856763925729443,0,"How often do you eat fatty fish (e.g., salmon, sardines, mackerel) rich in omega-3s?, How much water do you drink daily?",7,"rec0xj5dsI5vV2jGZ, rec03yyLVOhKfTU0h",14
recRigMBzU7ep4DoY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",5,0,0,2025-06-19T14:19:41.000Z,"recw2hqgZfllcjFso, recAAuZFrdsqJW3yd, recmyyZam7oYaGnDd, recPiW3K4dhWi31Xh, recC0mB1LyNGjDyld",,2025-06-19T23:25:00.000Z,40,0.021220159151193633,0,,8,,0
recUnhbbMamFIe9Fp,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",0,0,0,2025-06-19T14:19:41.000Z,,,2025-06-19T20:06:58.000Z,0,0.023872679045092837,0,,9,,0
