record_id,category,created,created_by,description,healthkit_identifier,last_modified,last_modified_by,object,subcategory,tracked_metrics,units_primary
recdK2SMHFrYzzjLe,recE2PB2VecvX5LYs,2025-06-07T16:09:16.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",A characteristic identifier for the user’s activity mode.,static let activityMoveMode: HKCharacteristicTypeIdentifier,2025-09-15T15:47:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Activity Move Mode,recgs52vEIc2LueyO,,
recGVJo8c3QNZDgAt,recE2PB2VecvX5LYs,2025-06-07T16:09:16.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",A characteristic type identifier for the user’s sex.,static let biologicalSex: HKCharacteristicTypeIdentifier,2025-06-07T21:21:30.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Biological Sex,recY4mdyIHPzcG6c5,,"recrxYRWE9H8FjM5z, recEuo7wnODEON8yI"
receSoPedzCJCH7DG,recE2PB2VecvX5LYs,2025-06-07T16:09:16.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",A characteristic type identifier for the user’s blood type.,static let bloodType: HKCharacteristicTypeIdentifier,2025-06-07T19:57:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Blood Type,recY4mdyIHPzcG6c5,,
recyFrD26MRqpUHT1,recE2PB2VecvX5LYs,2025-06-07T16:12:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",A characteristic type identifier for the user’s date of birth.,static let dateOfBirth: HKCharacteristicTypeIdentifier,2025-06-07T21:21:34.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Date of Birth,recY4mdyIHPzcG6c5,,recu9BN4ZNbFJCh7F
recBI2g6hLsLbTlFh,recE2PB2VecvX5LYs,2025-06-07T16:12:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",A characteristic type identifier for the user’s skin type.,static let fitzpatrickSkinType: HKCharacteristicTypeIdentifier,2025-06-07T19:57:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fitzpatrick Skin Type,rechVMBRfj4VY8Fnp,,
recxHAlCTggsrmtgT,recE2PB2VecvX5LYs,2025-06-07T16:12:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",A characteristic identifier for the user’s use of a wheelchair.,static let wheelchairUse: HKCharacteristicTypeIdentifier,2025-06-07T19:57:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Wheelchair Use,recgs52vEIc2LueyO,,
recp6hE7CAeKbqNjf,recF0AV8cgVasb0m3,2025-06-07T16:12:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",A quantity sample type that measures the number of steps the user has taken.,static let stepCount: HKQuantityTypeIdentifier,2025-06-11T18:59:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Step Count,rec9y6uZO3IqnzLxB,recNlALYqbdTE9AfY,recrG6e9x5tzQHXJc
recintWQGAmnh2fYM,recF0AV8cgVasb0m3,2025-06-07T16:12:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",A quantity sample type that measures the distance the user has moved by walking or running.,static let distanceWalkingRunning: HKQuantityTypeIdentifier,2025-06-09T20:08:54.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Distance Walking + Running,rec9y6uZO3IqnzLxB,,rec7Tm4UTHn6ZVqIX
rect9e0O2CWh6aG7T,recF0AV8cgVasb0m3,2025-06-07T16:12:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",A quantity sample type that measures the runner’s speed.,static let runningSpeed: HKQuantityTypeIdentifier,2025-09-08T21:40:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Running Speed,rec6eXiXIvRtoKYUS,,recUw2FsJ2E9ebSTt
recQBjJFrzDXIbiDl,recF0AV8cgVasb0m3,2025-06-07T16:12:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",A quantity sample type that measures the distance covered by a single step while running.,static let runningStrideLength: HKQuantityTypeIdentifier,2025-06-07T20:45:33.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Running Stride Length,rec6eXiXIvRtoKYUS,,rec2grR1Wr3CMeAP6
recMaGAG1PywGoCVF,recF0AV8cgVasb0m3,2025-06-07T16:12:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",A quantity sample type that measures the rate of work required to maintain speed.,static let runningPower: HKQuantityTypeIdentifier,2025-06-07T21:19:36.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Running Power,rec6eXiXIvRtoKYUS,,
recdw4oOD5Z6kkKkl,recF0AV8cgVasb0m3,2025-06-07T16:12:32.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",A quantity sample type that measures how long the foot is in contact with the ground.,static let runningGroundContactTime: HKQuantityTypeIdentifier,2025-06-07T21:19:36.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Running Ground Contact Time,rec6eXiXIvRtoKYUS,,
recHMwKEVQnGZetpY,recF0AV8cgVasb0m3,2025-06-07T16:12:34.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",A quantity sample measuring pelvis vertical motion during a stride.,static let runningVerticalOscillation: HKQuantityTypeIdentifier,2025-06-07T20:46:04.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Running Vertical Oscillation,rec6eXiXIvRtoKYUS,,recVxlPeS8mor47Iu
recqUXqqnCW9ddeku,recF0AV8cgVasb0m3,2025-06-07T16:12:34.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",A quantity sample type that measures the distance the user has moved by cycling.,static let distanceCycling: HKQuantityTypeIdentifier,2025-06-09T20:09:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Distance Cycling,rec2M4SKWKp58GzVe,,rec7Tm4UTHn6ZVqIX
recUgXlHo6hBvmd4W,recF0AV8cgVasb0m3,2025-06-07T16:12:34.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",A quantity sample type that measures the number of pushes while using a wheelchair.,static let pushCount: HKQuantityTypeIdentifier,2025-06-07T19:57:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Push Count,rectacNcC22WBcvDb,,
