record_id,age_high,age_low,category,created,created_by,cycle_stage,directionality,format,frontend_display_specific,gender,id,label,last_modified,last_modified_by,marker_name,menopausal_status,name_backend,operator,range_high_backend,range_high_frontend,range_low,range_low_frontend,range_name,range_name_backend,range_score,unique_condition,units,units_vfinal
recWBj4nFbMMx6sfu,150,0,recaW2jvtHhtuCC7d,2025-06-03T21:10:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,<200,All,optimal_total_cholesterol,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recBA3iQ4lGJtC2nM,,total_cholesterol,<,200,200,0,,Optimal,optimal,10,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recUlhEzQRqPXFFKd,150,0,recaW2jvtHhtuCC7d,2025-06-03T21:10:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,200 - 240,All,borderline_high_total_cholesterol,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recBA3iQ4lGJtC2nM,,total_cholesterol,<>,239.99,240,200.01,200,Borderline High,borderline_high,linear:7-0,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
rec8dLnK1QihQIKsk,150,0,recaW2jvtHhtuCC7d,2025-06-03T21:10:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,>240,All,high_total_cholesterol,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recBA3iQ4lGJtC2nM,,total_cholesterol,>,720,,240,240,High,high,0,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
rec2CudLKiRKP0HsE,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,<70,All,optimal_ldl,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recw2hqgZfllcjFso,,ldl,<,70,70,0,,Optimal,optimal,10,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recXrmJurVSoWKgZw,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,70 - 99,All,near-optimal_ldl,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recw2hqgZfllcjFso,,ldl,<>,99.99,99,70,70,Near-Optimal,near-optimal,linear:7-5.25,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recYoVY3DxvxLp63J,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,100 - 129,All,borderline_high_ldl,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recw2hqgZfllcjFso,,ldl,<>,129.99,129,100,100,Borderline High,borderline_high,linear:5.25-3.5,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recDnLb3CM0Lrx7Jq,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,130 - 159,All,high_ldl,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recw2hqgZfllcjFso,,ldl,<>,159.99,159,130,130,High,high,linear:3.5-1.75,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recgXRpp5Nl17dYfn,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,160 - 190,All,very_high_ldl,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recw2hqgZfllcjFso,,ldl,<>,189.99,190,160,160,Very High,very_high,linear:1.75-0,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recvdl6qhK5ggXsr7,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,lower_better,Integer,>190,All,critically_high_ldl,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recw2hqgZfllcjFso,,ldl,>,570,,190,190,Critically High,critically_high,0,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
recAHKZvEn3FoIsAg,150,0,recaW2jvtHhtuCC7d,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,optimal_range,Integer,<40,Male,critically_low_hdl_male,"Nutrition, Movement",2025-09-24T21:22:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recq0JX3QgFBo5mm4,,hdl,<,40,40,0,,Critically Low,critically_low,0,,rec8diZFrQR8ia31V,recDJU7aNl5DcFbwD
