record_id,created,created_by,description,last_modified,last_modified_by,linked_markers,linked_metrics,name
recaW2jvtHhtuCC7d,2025-06-03T23:20:48.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Cardiovascular markers like cholesterol and triglycerides are critical for assessing heart and vascular health—leading predictors of longevity. Optimizing these markers reduces risk of heart disease, stroke, and systemic inflammation.",2025-06-19T00:47:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recBA3iQ4lGJtC2nM, recw2hqgZfllcjFso, recq0JX3QgFBo5mm4, recUkIxIOnGBQsC1n, recDBJLAkc5CAfBm3, receYj9nbAEGPBxFl, recAAuZFrdsqJW3yd, recTTucmjMGfWunuf","recLuAlDIETnvUUtO, recJtLXdXFGC13wyd",Cardiovascular Health
recEqL5L6dmm3aPmV,2025-06-03T23:20:48.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Sleep-related nutrients and inflammation markers affect circadian rhythm regulation, recovery, and hormonal balance. Poor sleep quality is directly linked to shorter lifespan and increased disease risk.",2025-06-19T00:46:45.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recbYuWTuZJPZwFNc, recmyyZam7oYaGnDd, rec7uKDm1ll1XGOqk, recPiW3K4dhWi31Xh, recx8nMW7TjR18ZJv, recVAfZIHmVof1Bmj, recdABLj65LlSCrvr, recEf9Re7uOBSjPbu","rec8o1wlo0olBMl8A, recXiq3Os05QJJki4, recxJqmq5ipZMLJsj",Sleep
recYvPDeHjJACXCRq,2025-06-03T23:21:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Chronic low-grade inflammation accelerates aging and underlies most age-related diseases. Monitoring white blood cells and inflammation ratios helps detect early immune dysfunction and systemic stress.,2025-06-11T17:22:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recPiW3K4dhWi31Xh, reckGxzoaJGEmBptC, recVhxrj1lPj9iYBc, recPDAl8akGkZng3A, reccHPJ5bLiHkc845, rec4HrV6IpswwrF1u",,Inflammation
recURu4vUTINmFeRW,2025-06-03T23:21:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Markers such as glucose, insulin, and liver enzymes reflect how efficiently your body processes energy. Metabolic dysfunction is one of the earliest signs of accelerated aging and chronic disease risk.",2025-06-11T17:22:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recC0mB1LyNGjDyld, recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recfQt6B5C5wmZDqn, recL8dpnjNSzBJp2L, recyAXip0DWF9Lp1S, recsIZzvXU1VCDEpy",,Metabolism
recwKMzDmYVcEroSn,2025-06-03T23:21:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","These markers assess immune resilience and kidney function—both of which decline with age. Maintaining strong immune and filtration systems is essential for detoxification, nutrient balance, and disease defense.",2025-06-19T00:45:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recTTucmjMGfWunuf, reckGxzoaJGEmBptC, recsIZzvXU1VCDEpy, recp5z4Yutaf7CDEX, recrdgjigS4nlwmx8, rec93yl8sjy6vTsht, rec6V13cha6oovOXX, recDwWAHjdIXhMhSV, recyUWBp7cedeahQO, rec78IoEbAaGCIfPe, recRgCjpkw99U68vD, recr9ZjdfpVef9KJR, recTyoThcQqCihtey, recStFWPU3NCH9loj, recuJaoMbqZ3GOYdw",,Immune/Renal
recabIclHbDf5dKZt,2025-06-03T23:21:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Cognitive biomarkers, including homocysteine and cortisol patterns, are linked to memory, mood, and long-term brain health. Optimizing these supports neuroplasticity and reduces dementia risk with age.",2025-06-11T17:22:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recAAuZFrdsqJW3yd, recC0mB1LyNGjDyld, recDwWAHjdIXhMhSV, recr9ZjdfpVef9KJR, recTyoThcQqCihtey, recLJcUUTL1szyE8Z, recwtXkPSEQgyddmt",,Cognition
recuhffPddJmoutdd,2025-06-03T23:21:24.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Hormones influence metabolism, mood, energy, and cellular repair. Balanced hormonal rhythms promote vitality, slow age-related decline, and support quality of life across all life stages.",2025-06-11T17:22:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recwtXkPSEQgyddmt, recUzK4L9enpnuWG8, recHikXLmHS0a08lF, recdABLj65LlSCrvr, rec7lljffINZr7vSi, recVZYWGkdqlDhEL9, recAm1sha0xsNnVoG",,Hormone Balance
recnkVBnbVHXGYAZG,2025-06-03T23:21:24.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Recovery markers, such as liver enzymes and electrolyte levels, reflect how well your body bounces back from stress, workouts, or illness. Enhancing recovery helps maintain resilience and performance over time.",2025-06-11T17:22:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","rec0mt0T6zXGg2XeQ, recsIZzvXU1VCDEpy, recp5z4Yutaf7CDEX, recHHlPLn8pdw89yH, recntmFnf3bSSe2DB, recALCA8WP3CwReZz, recGspbHqQAWDMXpQ",,Recovery
rec12RiJhEwS1xpNw,2025-06-03T23:20:48.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Red blood cell and oxygen-carrying capacity markers support stamina and cardiovascular efficiency. Higher endurance capacity is strongly correlated with increased lifespan and healthspan.,2025-06-11T17:22:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recTTucmjMGfWunuf, rec7uKDm1ll1XGOqk, recx8nMW7TjR18ZJv, recVAfZIHmVof1Bmj, recStFWPU3NCH9loj, recEf9Re7uOBSjPbu, rec1DXEBKaRkramqH, rec07hP2wtWOA81Db, recZa2jX2ZfsZQr47, recwIwB9znK0kB3Xg, recDUx81XNYUkBLRH",,Endurance
recUXbxRWHq0iYQsr,2025-06-03T23:22:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fitness-related hormones and VO₂ max reflect your physical capacity and cardiorespiratory health. These are among the strongest predictors of all-cause mortality and aging resilience.,2025-06-19T00:46:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recL8dpnjNSzBJp2L, recX6IiQRem8pQ14z, recZd7qSsYU2dqSw0","rec0v0JrVS6xu5Dcj, recHOTAk6Lpmb9uUz, recqea20SA5Y5BaIw, recJtLXdXFGC13wyd",Fitness
