record_id,age_high,age_low,category,created,created_by,directionality,format,frontend_display_specific,gender,id,id_general,label,last_modified,last_modified_by,menopausal_status,metric_name,name_backend,operator,range_high_backend,range_high_frontend,range_low_backend,range_low_frontend,range_name,range_name_backend,range_score,units
recH7xzbPz34c384j,29.99,20,recUXbxRWHq0iYQsr,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",higher_better,1 decimal,<35.0,Male,critically_low_vo2_max_male_20s,vo2_max_male_20s,Movement,2025-09-24T18:01:31.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,rec0v0JrVS6xu5Dcj,vo2_max,<,34.99,35.0,0,,Critically Low,critically_low,0,rec45frpbX1A9jS2n
recQTOv9M42EDfS9a,29.99,20,recUXbxRWHq0iYQsr,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",higher_better,1 decimal,35.0-42.0,Male,low_vo2_max_male_20s,vo2_max_male_20s,Movement,2025-09-24T18:01:12.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,rec0v0JrVS6xu5Dcj,vo2_max,<>,41.99,42.0,35,35.0,Low,low,linear:0-3.5,rec45frpbX1A9jS2n
recoWnl4SvLOiQ7R4,29.99,20,recUXbxRWHq0iYQsr,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",higher_better,1 decimal,42.0-50.0,Male,suboptimal_vo2_max_male_20s,vo2_max_male_20s,Movement,2025-09-24T18:01:15.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,rec0v0JrVS6xu5Dcj,vo2_max,<>,49.99,50.0,42,42.0,Suboptimal,suboptimal,linear:3.5-7,rec45frpbX1A9jS2n
recFyafS12En5DMyI,29.99,20,recUXbxRWHq0iYQsr,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",higher_better,1 decimal,>50.0,Male,optimal_vo2_max_male_20s,vo2_max_male_20s,Movement,2025-09-24T18:01:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,rec0v0JrVS6xu5Dcj,vo2_max,>,100,,50,50.0,Optimal,optimal,10,rec45frpbX1A9jS2n
recbJTXQSB4eRwW2J,39.99,30,recUXbxRWHq0iYQsr,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",higher_better,1 decimal,15.0-32.9,Male,critically_low_vo2_max_male_30s,vo2_max_male_30s,Movement,2025-09-24T18:01:15.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,rec0v0JrVS6xu5Dcj,vo2_max,<>,32.99,32.9,0,15.0,Critically Low,critically_low,0,rec45frpbX1A9jS2n
recILBmYS57FiXOug,39.99,30,recUXbxRWHq0iYQsr,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",higher_better,1 decimal,33.0-40.0,Male,low_vo2_max_male_30s,vo2_max_male_30s,Movement,2025-09-24T18:01:15.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,rec0v0JrVS6xu5Dcj,vo2_max,<>,39.99,40.0,33,33.0,Low,low,linear:0-3.5,rec45frpbX1A9jS2n
reckoX2stDoGWgCYc,39.99,30,recUXbxRWHq0iYQsr,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",higher_better,1 decimal,40.0-47.0,Male,suboptimal_vo2_max_male_30s,vo2_max_male_30s,Movement,2025-09-24T18:01:15.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,rec0v0JrVS6xu5Dcj,vo2_max,<>,46.99,47.0,40,40.0,Suboptimal,suboptimal,linear:3.5-7,rec45frpbX1A9jS2n
receb0pvbNbcTCsq5,39.99,30,recUXbxRWHq0iYQsr,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",higher_better,1 decimal,>47.0,Male,optimal_vo2_max_male_30s,vo2_max_male_30s,Movement,2025-09-24T18:06:40.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,rec0v0JrVS6xu5Dcj,vo2_max,>,100,,47,47.0,Optimal,optimal,10,rec45frpbX1A9jS2n
recOJYku1u4NVLzPi,49.99,40,recUXbxRWHq0iYQsr,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",higher_better,1 decimal,<30.0,Male,critically_low_vo2_max_male_40s,vo2_max_male_40s,Movement,2025-09-24T18:06:40.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,rec0v0JrVS6xu5Dcj,vo2_max,<,29.99,30.0,0,,Critically Low,critically_low,0,rec45frpbX1A9jS2n
recH4IBOuxgWOwO4N,49.99,40,recUXbxRWHq0iYQsr,2025-06-04T01:02:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",higher_better,1 decimal,30.0-35.9,Male,low_vo2_max_male_40s,vo2_max_male_40s,Movement,2025-09-24T18:01:15.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,rec0v0JrVS6xu5Dcj,vo2_max,<>,35.99,35.9,30,30.0,Low,low,linear:0-3.5,rec45frpbX1A9jS2n
