record_id,baseline_consistency,binary_threshold,calculated_metrics_map,categorical_filter_threshold,completion_based,composite_weighted,constrained_weekly_allowance,created,created_by,data_entry_type,description,healthkit_data_type,healthkit_equivalent,identifier,intake_metrics_map,last_modified_by,last_modified_time,minimum_frequency,name,proportional,proportional_frequency_hybrid,sleep_composite,sleep_composite_metric_2,source_options,time_fields_entry,ui_display_from_units,units,validation_schema,weekend_variance,weekly_elimination
recVBnB9mNNstK4qa,,,"recGpA90JnwA5Lwwi, rec3MnwprrNx5WqqN, rechX2ebh9btNOQLX, recpkhgT0fFuQl1NF, recxYTpaPnpi3YurX, recLdjNNDgqCo8nvF, recMKXJdq99o40g1C, reckgVaoYaTigGhS1, recYK1q7YWBttAaaL",,,"recKl9SuZUIJ1rfDB, rec0Z7xfFrt3pFS3O, recw9wMrHuZm3xyAG",,2025-09-12T15:14:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",time_only,Each time a user logs a meal entry,wellpath,,meal_logged,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:38:59.000Z,"rec8tHQvChqhDAxNv, recV0EXf6ENNU7on5, receJx5zPurbEpftQ, recywBWt93G5dsWy0, rec1nS4kOT1vqBT1I, rectWgPNzJ29KFNQV, recgWb2RPnFakG08M, receqilunCEHdpH2U, reclsKtd5yaU7VjYH, recB7Fbmgc0DZBU0r, recNYvHTnutdT4Wmk, recZWBMurnczhPE41, rec9I85lNAdesXqtS, rec2rWC5a6TvkvodL",Meal Logged,"recLdJBzEKaotGSXO, reco6lcsASIJDvVVR, recmXLDC3zHqE5CNY, recl7hAIzVX7LWcBU, recs3l1M08S2QIaVw, recVjXMo2ZdG8BqTE",,,,,recQUkAvCWmbG4NmB,Meals,rec9OxY60mezaCp2J,"{""range"": {""min"": 1, ""max"": 1}}",,
recTy6nZTnoUljJQs,,,"recohknaonBXz95CD, recr2lQOJlE6bX0b5, recuQwNjwhazRCEVh, recEinzDZKYXXpn2Z, recYfwbTR5ffyPtJ5",,,,,2025-09-12T15:35:19.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",time_only,Large meal consumed,wellpath,,large_meal,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T15:51:26.000Z,"recBXlawzmeL7MIPh, reczcxHbAiU1A9cGQ, recdhR7C7JjKSf2p7, rec8tHQvChqhDAxNv, recV0EXf6ENNU7on5, receJx5zPurbEpftQ",Large Meal,,,,,,recQUkAvCWmbG4NmB,Meals,rec9OxY60mezaCp2J,"{""range"": {""min"": 1, ""max"": 1}}",,
recftlzJ5y399ZpGW,recXNTO7o2pBdsmEA,recECXXi2VsEtwzBX,"recuYoFcLSUuqXnvi, recOb7Wmk2eWh8YNl, recKUsJsFjKfnr6bK, rechM9DcA8o7EqgtX, recnvkyseBO820wgy, rechBpq61GFZyiRsy",,,,,2025-09-12T15:34:55.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",time_only,Time of waking up,category,HKCategoryTypeIdentifierSleepAnalysis,wake_time,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-09T21:33:53.000Z,"reclsKtd5yaU7VjYH, recB7Fbmgc0DZBU0r, recNYvHTnutdT4Wmk",Wake Time,"recifwcDcioU9rGNu, recNT53TktWEF9j4i, recufP08Ew54jrpIn",,recRscVZwiKZuzGvF,"recfSdSNEnIfqsy26, recAsn9VgdueQ7hk1",,recQUkAvCWmbG4NmB,Time of Day,recv2GuhbmM9UdNDp,"{""range"": {""min"": 0, ""max"": 23}}",rec6F7H4KJTx5bfWm,
rec0yBwRZHjQDKI8w,,,"recuUjz6JHSSuU8js, recNSnIxYyYcb7ITc, recjKCkbzkzu3Zy41, recryCTgMZ3E2TQ1J",,,,,2025-09-12T15:22:33.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",time_only,Mindful eating practice episode,wellpath,,mindful_eating_episode,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Mindful Eating Episode,,,,,,recQUkAvCWmbG4NmB,Episodes,rec1ZZgOZq5zX0ECi,"{""range"": {""min"": 1, ""max"": 1}}",,
recnQIsdQFp3wedHR,,,"recYiJzYAm3QkH9y9, recP3CxAEVfjLlerO, recb56iG9mIphT8lA, recbsCAVwtKNgsDYv",,,,,2025-09-12T15:32:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",time_only,Meal consisting primarily of whole foods,wellpath,,whole_food_meal,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,"recLD9AKRpHv8MRio, recEqSFc9tugpyqD5",Whole Food Meal,,recZXI3wUwVhHJtiX,,,,recQUkAvCWmbG4NmB,Meals,rec9OxY60mezaCp2J,"{""range"": {""min"": 1, ""max"": 1}}",,
recIXNrpx6Ku5QYSI,,,"rec3WXBXeF91098Gc, recD4Y8yazQwqi57U, recFkrVkLWVS674KK, recofKP9v9uZrPBLw",,,,"rec7c88VWzUgZMx3c, recwVnILNqlDZ8xL5",2025-09-12T15:21:30.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",time_only,Meal sourced via carryout/delivery,wellpath,,takeout_delivery_meal,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Takeout/Delivery Meal,,,,,,recQUkAvCWmbG4NmB,Meals,rec9OxY60mezaCp2J,"{""range"": {""min"": 1, ""max"": 1}}",,recSZbCWiHj6tRe3c
recyPHEwuVedxPxh6,,,"reczkGnRKXr1kt8GO, recOCavZ1WHCXyUnE, recSS7uhpgcZj6pPq, reca3uTcKsyxmurqf",,,,,2025-09-12T15:21:35.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",time_only,Meal that is primarily or entirely plant-based,wellpath,,plant_based_meal,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,"recSD2rhH8qPy3AMa, recy82LqRwPXyQNgP, rec4fGAMESXGyZkt7",Plant-Based Meal,,,,,,recQUkAvCWmbG4NmB,Meals,rec9OxY60mezaCp2J,"{""range"": {""min"": 1, ""max"": 1}}",,
rectFqhMxxcMQiOEd,,,rec39ViJ5ctW3CQJF,,,recKl9SuZUIJ1rfDB,,2025-09-12T15:14:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",time_only,Each time a user logs a snack entry,wellpath,,snack_logged,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:53:40.000Z,"rec8tHQvChqhDAxNv, recV0EXf6ENNU7on5, receJx5zPurbEpftQ",Snack Logged,,,,,,recQUkAvCWmbG4NmB,Snacks,recO4L9TssiVxosxO,"{""range"": {""min"": 1, ""max"": 1}}",,
recMi1W2H0fBc2kdF,,,"recHDABFxYSwsWiIP, recLiyx9n4sjxZFI1, recQdU3aMAVBH4CsO, recrE8ZPjgqmWUN0M",,,"recEt9gRQeDUN7lVd, recmn2tdbViA3inje",,2025-09-12T15:16:59.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",quantity,Each serving of fruit consumed,wellpath,,fruit_serving,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Fruit Serving,recUCzLe68dm7KpQk,,,,,recQUkAvCWmbG4NmB,Servings,recZBMdCzE5sRxqOQ,"{""range"": {""min"": 0.5, ""max"": 2.0}}",,
rec89pI1KfH6tF8Yo,,,rec4SIuNTsoKcIYwj,,,"recEt9gRQeDUN7lVd, recmn2tdbViA3inje",,2025-09-12T15:25:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",category_select,Different fruit source types consumed,wellpath,,fruit_source_type,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T00:39:04.000Z,,Fruit Source Type,,,,,"recMuqzcPv9HKv3Mv, recfBhGLscLfx7UZh, recsMolHrD8Rpa3TZ, recLRfB5jrWbs6EA7, recjAWBMxEil2oCgK, rectNA7odycM8vadR, recPtswu1akd3vSQl, recNeivbAedK0QPI4",recQUkAvCWmbG4NmB,Sources,recLchvv5oHiyA236,"{""values"": [""berries"", ""citrus"", ""apples_pears"", ""stone_fruits"", ""tropical"", ""grapes"", ""melons"", ""dried_fruits""]}",,
