record_id,algorithm_type,config_id,config_name,created,created_by,formula,id_start,last_modified_by,last_modified_time,level_description_from_recommendations_v2,recommendations_v2,schema_calculated_metrics_1,schema_calculation_method,schema_daily_comparison,schema_daily_limit,schema_daily_threshold,schema_evaluation_period,schema_progress_direction,schema_required_days,schema_total_days,schema_tracked_metrics,schema_units,scoring_method,title_from_recommendations_v2,ui_display_schema_calculated_metrics,ui_display_schema_tracked_metrics,unit_identifier_1,units_schema_tracked_metrics
recaVsF3EDH8sQey3,binary_frequency,REC0013.1-MINIMUM-FREQUENCY,Binary Frequency - dietary_caffeine_amount,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",(days_meeting_threshold / required_days) * 100,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Reduce caffeine intake to ≤400mg per day on at least 2 days per week,reczcZcT5i4xa0FPO,rec5IeICLAinb5el7,daily_binary_frequency,<=,,400,rolling_7_day,reduction,2,7,rec33hAbT2CCCkxB4,milligram,recrszdeQRK91Ju5g,Reduce Caffeine Intake,Milligrams,Milligrams,recBxCQOAdMmOV1Hi,recBxCQOAdMmOV1Hi
recV2rj0dy2ReX9iy,binary_threshold,REC0013.2-MINIMUM-FREQUENCY,Minimum Frequency - caffeine limit 400mg 5 days/week,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",if (days_meeting_threshold >= required_days) then success_value else failure_value,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Reduce caffeine intake to ≤400mg per day on at least 5 days per week,reck6gezGPsFsMqCL,rec5IeICLAinb5el7,daily_threshold_frequency_count,<=,,400,weekly_minimum_frequency,countdown,5,7,rec33hAbT2CCCkxB4,milligram,recrszdeQRK91Ju5g,Reduce Caffeine Intake,Milligrams,Milligrams,recBxCQOAdMmOV1Hi,recBxCQOAdMmOV1Hi
recmBxmLeAu65RLBx,binary_threshold,REC0015.1-MINIMUM-FREQUENCY,Minimum Frequency - caffeine timing cutoff 2pm 2 days/week,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",100 if days_meeting_threshold >= required_days else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Finish all caffeinated beverages by 2pm on at least 2 days per week,recVC73ovc4Syfdxd,recEs3iBq3EP4d3yM,daily_threshold_frequency_count,<=,,840,weekly_minimum_frequency,measurement,2,7,rec33hAbT2CCCkxB4,minutes_since_midnight,recrszdeQRK91Ju5g,Optimize Caffeine Timing,Time of Day,Milligrams,recv2GuhbmM9UdNDp,recBxCQOAdMmOV1Hi
rec2bctnSMa0OpN5W,binary_threshold,REC0015.2-MINIMUM-FREQUENCY,Minimum Frequency - caffeine timing cutoff 2pm 5 days/week,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",100 if days_meeting_threshold >= required_days else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Finish all caffeinated beverages by 2pm on at least 5 days per week,recG1S3EdZ536zea7,recEs3iBq3EP4d3yM,daily_threshold_frequency_count,<=,,840,weekly_minimum_frequency,measurement,5,7,rec33hAbT2CCCkxB4,minutes_since_midnight,recrszdeQRK91Ju5g,Optimize Caffeine Timing,Time of Day,Milligrams,recv2GuhbmM9UdNDp,recBxCQOAdMmOV1Hi
recywBWt93G5dsWy0,minimum_frequency,REC0016.1-MINIMUM-FREQUENCY,Minimum Frequency - daily_meals,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",if (qualifying_days >= required_days) then 100 else (qualifying_days/required_days)*100,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Eat at least 2 meals per day every day of the week,rechfHe4UeeCUja1n,recGpA90JnwA5Lwwi,frequency_count,>=,,2,weekly,buildup,7,7,recVBnB9mNNstK4qa,meal,recrszdeQRK91Ju5g,Daily Meal Frequency,Meals,Meals,rec9OxY60mezaCp2J,rec9OxY60mezaCp2J
rec1nS4kOT1vqBT1I,minimum_frequency,REC0016.2-MINIMUM-FREQUENCY,Minimum Frequency - daily_meals,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",if (qualifying_days >= required_days) then 100 else (qualifying_days/required_days)*100,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Eat at least 3 meals per day on at least 5 days per week,recyo7UyrZuNO5spU,recGpA90JnwA5Lwwi,frequency_count,>=,,3,weekly,buildup,5,7,recVBnB9mNNstK4qa,meal,recrszdeQRK91Ju5g,Daily Meal Frequency,Meals,Meals,rec9OxY60mezaCp2J,rec9OxY60mezaCp2J
rectWgPNzJ29KFNQV,binary_threshold,REC0017.1-MINIMUM-FREQUENCY,Minimum Frequency - 10-hour eating window 2 days/week,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",100 if days_meeting_threshold >= required_days else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,"On at least 2 days per week, keep all eating within a 10-hour window (e.g., finish dinner by 7pm, eat breakfast after 9am)",rec1J3jFsVfW3V9Xb,rec2vrtjlYXnqlvpr,daily_threshold_frequency_count,<=,,10,weekly_minimum_frequency,measurement,2,7,recVBnB9mNNstK4qa,hours,recrszdeQRK91Ju5g,Time Restricted Eating,Hours,Meals,reckolm0WELYWYy5d,rec9OxY60mezaCp2J
recgWb2RPnFakG08M,binary_threshold,REC0017.2-MINIMUM-FREQUENCY,Minimum Frequency - 8-hour eating window 5 days/week,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",100 if days_meeting_threshold >= required_days else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,"On at least 5 days per week, keep all eating within an 8-hour window (e.g., first meal at 10am, last meal by 6pm)",rec7uKzibhvOoWo4b,rec2vrtjlYXnqlvpr,daily_threshold_frequency_count,<=,,8,weekly_minimum_frequency,measurement,5,7,recVBnB9mNNstK4qa,hours,recrszdeQRK91Ju5g,Time Restricted Eating,Hours,Meals,reckolm0WELYWYy5d,rec9OxY60mezaCp2J
receqilunCEHdpH2U,minimum_frequency,REC0017.3-MINIMUM-FREQUENCY,Minimum Frequency - 8-hour eating window daily,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","min((successful_days / required_days) * 100, 100)",MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,"Every day of the week, keep all eating within an 8-hour window (e.g., first meal at 10am, last meal by 6pm)",recQ3pTTvENbpI2mh,rec2vrtjlYXnqlvpr,daily_threshold_achievement,<=,,8,daily,measurement,7,7,recVBnB9mNNstK4qa,hours,recrszdeQRK91Ju5g,Time Restricted Eating,Hours,Meals,reckolm0WELYWYy5d,rec9OxY60mezaCp2J
reclsKtd5yaU7VjYH,binary_threshold,REC0018.1-MINIMUM-FREQUENCY,Minimum Frequency - first meal within 2 hours 3 days/week,2025-09-23T00:42:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",100 if days_meeting_threshold >= required_days else 0,MINIMUM-FREQUENCY,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:43:16.000Z,Eat your first meal of the day within 2 hours of waking at least 3 times a week,recYoFXNhHErfamJh,recuYoFcLSUuqXnvi,daily_threshold_frequency_count,<=,,2,weekly_minimum_frequency,measurement,3,7,"recVBnB9mNNstK4qa, recftlzJ5y399ZpGW",hours,recrszdeQRK91Ju5g,First Meal Timing,Hours,"Meals, Time of Day",reckolm0WELYWYy5d,"rec9OxY60mezaCp2J, recv2GuhbmM9UdNDp"
