record_id,count_intake_markers_raw,count_intake_metrics_raw,count_survey_questions,created,created_by,intake_markers_raw,intake_metrics_raw,last_modified_by,last_modified_time,marker_metric_total,normalized_weight,question_complex_count,question_complex_questions,question_from_survey_questions,raw_weight,survey_questions,survey_total
recCYqZebkEjDxSuK,0,0,0,2025-06-19T23:09:15.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:19:45.000Z,0,0,0,,,0,,0
recfFrISXZw4syvpy,3,0,0,2025-06-19T14:36:21.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recVhxrj1lPj9iYBc, recPDAl8akGkZng3A, rec4HrV6IpswwrF1u",,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:19:48.000Z,3,0.0035087719298245615,1,4.17,,1,,1
recgJsCcOOtcE1H7Y,2,3,0,2025-06-19T14:36:21.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recUkIxIOnGBQsC1n, recwtXkPSEQgyddmt","recqea20SA5Y5BaIw, rec8o1wlo0olBMl8A, recXiq3Os05QJJki4","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-08-28T17:28:11.000Z,10,0.007017543859649123,0,,,2,,0
recjF6m91Rda7wYtA,5,1,0,2025-06-19T14:36:21.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recw2hqgZfllcjFso, reckGxzoaJGEmBptC, reccHPJ5bLiHkc845, recX6IiQRem8pQ14z, recRgCjpkw99U68vD",recLuAlDIETnvUUtO,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-19T16:13:17.000Z,18,0.010526315789473684,0,,,3,,0
recDpVuNbJH5NDzmp,2,1,0,2025-06-19T14:35:48.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recq0JX3QgFBo5mm4, receYj9nbAEGPBxFl",recyKRTIlX4Jux2W0,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-08-28T17:44:52.000Z,12,0.014035087719298246,0,,,4,,0
recjgPkbeJXy9Srcl,3,2,0,2025-06-19T14:35:48.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recDBJLAkc5CAfBm3, recC0mB1LyNGjDyld, recntmFnf3bSSe2DB","recELBnyZAf0mIQH6, recSy02sgRnjfOkHE","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-08-28T17:47:16.000Z,25,0.017543859649122806,0,,,5,,0
recHWCRXTjfFLIAck,0,2,1,2025-06-19T14:35:48.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"recVHWlB26jWt9Ij9, recbIfUESzC18eAIL","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-23T16:25:17.000Z,12,0.021052631578947368,0,,How many grams of protein do you typically consume per day?,6,recPkLqmb216mf1qR,6
recaupCOFgjCqQLHA,4,2,0,2025-06-19T14:36:21.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recL8dpnjNSzBJp2L","reccxH7AESy9vvBPo, recHOTAk6Lpmb9uUz","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-19T16:13:17.000Z,42,0.02456140350877193,0,,,7,,0
reclGcFPhtoCJBEXS,0,1,1,2025-06-19T14:35:48.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,rec0v0JrVS6xu5Dcj,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-23T16:25:21.000Z,8,0.028070175438596492,0,,How many steps do you typically take per day?,8,recaSgqI22ql0NcAN,8
recqZ4Ois0ztm8htj,0,0,0,2025-06-19T14:35:48.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-08-28T17:44:55.000Z,0,0.031578947368421054,0,,,9,,0
