record_id,active,category,created,created_by,description,display_name,last_modified_by,last_modified_time,operator_id,parameter_schema,trigger_conditions
recxm5sb3ZWa0ghnJ,True,Input Detection,2025-09-05T21:19:22.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fires when no tracked input has been logged within the specified time window,No Input Detected,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-19T20:49:54.000Z,no_input_detected,"{
  ""time_window"": ""string (today|trailing)"",
  ""threshold_hours"": ""number (default: 24)""
}","rec0ZucJ0mQiHRkKP, recRaSDTuNo2S2b01, recm1jq2UqVHfegWv, recd890MA0zIuPHeO, rec7ifIJExQs9jN3l"
reczANhrZZaEKRUxI,True,Input Detection,2025-09-06T00:21:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Fires when manually triggered by user action (button press, intervention initiation, etc.). No automatic timing - requires user interaction.",User Initiated,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-19T20:50:12.000Z,user_initiated,"{
  ""trigger_context"": ""string (optional)"",
  ""intervention_type"": ""string (optional)""
}","recd6mt5QBCeU7r2x, recorsloOGzlzbWZi, recVFsMmKOU1nDRrf, recwJitsQkdj3H7Nw"
rechzGQi6FiUtvq3E,True,Input Detection,2025-09-05T21:19:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fires when a user logs their first entry for a specific behavior or metric,First Time Entry,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-19T20:50:19.000Z,first_time_entry,"{
  ""tracked_metric_type"": ""string (required)"",
  ""entry_count_threshold"": ""number (default: 1)"",
  ""time_window_minutes"": ""number (default: 30)"",
  ""evaluation_trigger"": ""string (immediate|delayed)""
}","recg5xmDT3IWwTWvV, recF85EOYwDYEqbM9"
recs544iwKK6GI4xO,True,Input Detection,2025-09-05T21:19:31.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fires when a scheduled check-in is missed or not completed within the expected timeframe,Check-in Missed,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-19T20:50:38.000Z,check_in_missed,"{
  ""check_in_type"": ""string (required)"",
  ""scheduled_time"": ""string (HH:MM format)"",
  ""grace_period_hours"": ""number (default: 2)"",
  ""evaluation_frequency"": ""string (hourly|daily)"",
  ""missed_threshold_hours"": ""number (required)""
}",recBDSqGMG9H1j0Pj
recWRhwLnzs6mLlPW,True,Input Detection,2025-09-05T23:30:04.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Screening condition that fires weekly if cumulative missing weeks since program start exceed threshold. After week 1: checks for 1+ missing weeks, after week 2: checks for 2+ missing weeks, etc. One-time satisfaction per week.",Cumulative Missing Input Screening,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-19T20:51:26.000Z,cumulative_missing_input_screening,"{
  ""current_week"": ""number (required)"",
  ""missing_threshold_weeks"": ""number (required)"",
  ""assessment_period"": ""string (cumulative_from_start)"",
  ""evaluation_day"": ""string (sunday)"",
  ""evaluation_time"": ""string (evening)""
}","recaxktfT0MaDR7AZ, recK9Eo2EYrtBEgcG, recXdsSQn1y3BlhSv, recyM78ZBkdNoXCR2, rec0hzvrdNFL1JJSp, recVmwZ3xwJeBqzbk, reccyKX7lAkSKktah, recerltOexfnwc5YZ, rec2NZheWNBonj30t, recYHWxhi5SsfL2l6, recPLcCEcAvwfRQWh, recrWVQnB0x2oC9QL, rec36Ji3phXLGQow8"
recgOFLci9c6RWtL1,True,Performance,2025-09-05T21:19:36.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fires when a user achieves a consecutive streak of hitting their target,Streak Achievement,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-19T23:34:49.000Z,streak_met,"{
  ""streak_length"": ""number (required)"",
  ""target_metric"": ""string (required)"",
  ""criteria"": ""string (required)""
}",
recCZ25sWrhG2vHlE,True,Performance,2025-09-05T21:19:40.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fires when performance is below the defined target threshold,Below Target,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-19T20:51:36.000Z,below_target,"{
  ""threshold_percentage"": ""number (0-100)"",
  ""measurement_window"": ""string (today|trailing|recent)"",
  ""target_metric"": ""string (required)"",
  ""criteria"": ""string (required)""
}","recPURoXbgq039HUd, recEP3BexJngy0ScD, recNmleNVg1xR0NAO, recZ0rIB5IoVDbArD, recojy8HsmYk98WtQ, recxHSVMkmpv1qMik, reco6uoR0msdBqzIA, recN5IveC2YaeIVUk, recTKIfTUyWWofRRa, rectUErZllUmvojdg, recPr1dmrMbis798S, rec7ZgsdEfpWwkxCV, recgQn9sqJgasv1QO"
reczKTHW90wrGYVyy,True,Performance,2025-09-05T21:19:45.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fires when performance is close to but not quite meeting the target,Near Target,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-19T20:51:43.000Z,near_target,"{
  ""proximity_percentage"": ""number (80-99)"",
  ""target_value"": ""number"",
  ""target_metric"": ""string (required)"",
  ""criteria"": ""string (required)""
}","recB4EUJGhV04YAqv, reczjDImvA0FfWpx0, recazbRZ8dUgYzbm5, rec1pb5qU9gJcjGvs, rec1sXECZ3A0D9JzK, recN8KhDv4ZvIpWer, recviE7CHdsEjI6SQ"
recOx78tsZLdL4Tly,True,Performance,2025-09-05T21:19:49.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fires when performance exceeds target value by 20%,Above Target,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-22T15:21:06.000Z,above_target,"""{
  """"threshold_percentage"""": """"number (101-999)"""",
  """"measurement_window"""": """"string (today|trailing|recent)"""",
  """"target_metric"""": """"string (required)"""",
  """"criteria"""": """"string (required)""""
}""","recgAwnR2TD4U0PfJ, recJT20tNjykvCEie, recz0YgLYcxE1mgQx, recvQBUkcQMImYbNv, rechUBpgc8h8L1pxK, recJ4nyX1Xbnnn9gD, rec2RFCAh8SDNVoZw, recvUDTk7gSz2A64k, recpi715DPeXa8ihf, recrZtdNQLrhA80cF"
recNRauRLbdciqJpR,True,Performance,2025-09-05T21:19:54.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fires when there's a significant decline in performance from previous periods,Performance Regression,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-19T20:51:56.000Z,regression_detected,"{
  ""decline_percentage"": ""number (10-50)"",
  ""comparison_window"": ""string (7d|14d|30d)"",
  ""target_metric"": ""string (required)"",
  ""baseline_period"": ""string (required)""
}",recIkLKgQNjclL0Dp
recxKspV5uVIsr3gx,True,Mathematical,2025-09-05T21:20:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fires when the count of days meeting criteria is below a threshold over a rolling window,Count Below Threshold,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-20T01:48:39.000Z,count_below_threshold,"{
  ""threshold_count"": ""number (required)"",
  ""window_days"": ""number (required)"",
  ""criteria"": ""string (required)""
}","rec7q3B1tby7yzQQS, recW6UbqZK8YEDYEJ, recm69ZYiwwwC8bfx, recWQEnT0iUpVIGAu, recSWb6zwzXuKfozB, recnUn30VYM2vZqOD, recofnr99PPmS2YBS, recLtqjObpAQkLU5G"
rec5ldNxoaki7x0uD,True,Mathematical,2025-09-05T21:20:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fires when rolling average falls below a percentage of target,Average Below Percentage,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-19T20:52:22.000Z,average_below_percentage,"{
  ""percentage_threshold"": ""number (50-99)"",
  ""window_days"": ""number (7|14|30)"",
  ""target_metric"": ""string (required)"",
  ""criteria"": ""string (required)""
}",rec707rPfUGbvMrJa
