record_id,category,created,created_by,description,last_modified,last_modified_by,object,oura_identifier,subcategory,tracked_metrics,units_primary
recADDvy2ZQfEz4hM,recS3x4hqxdgtJfe4,2025-06-07T16:09:30.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Start of time in bed for sleep,2025-06-11T21:40:38.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Bedtime Start,bedtime_start,recfXsZbEvBUsCoa3,"recFreByeShGraal0, rec0nsL37Ihw1mkM0",recJrNIL5Ft3i4FRT
recTjBhbsZpkby61h,recS3x4hqxdgtJfe4,2025-06-07T16:09:30.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",End of time in bed for sleep,2025-06-11T19:00:16.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Bedtime End,bedtime_end,recfXsZbEvBUsCoa3,"recFreByeShGraal0, rec0nsL37Ihw1mkM0",recJrNIL5Ft3i4FRT
recf0Uycpk78YYiHT,recS3x4hqxdgtJfe4,2025-06-07T16:09:30.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Total time spent asleep,2025-06-11T19:00:16.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Total Sleep Duration,total,recfXsZbEvBUsCoa3,"recY75tn39AEXKwbl, recFreByeShGraal0, rec0nsL37Ihw1mkM0",rec9x2cf6XhNVKYNn
rec9BiO45Oy2JVqn2,recS3x4hqxdgtJfe4,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Total time spent awake in bed,2025-06-10T21:05:35.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Time Awake,awake,recfXsZbEvBUsCoa3,,rec9x2cf6XhNVKYNn
rec96GNDvJY3YtfKB,recS3x4hqxdgtJfe4,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Time spent in light sleep stage,2025-06-07T21:35:05.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Light Sleep Duration,light,recfXsZbEvBUsCoa3,,rec9x2cf6XhNVKYNn
recZnU66f6Ymo8rXE,recS3x4hqxdgtJfe4,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Time spent in deep sleep stage,2025-06-07T21:35:05.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Deep Sleep Duration,deep,recfXsZbEvBUsCoa3,,rec9x2cf6XhNVKYNn
recgV1MPnqA4iHUZg,recS3x4hqxdgtJfe4,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Time spent in REM sleep stage,2025-06-07T21:35:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REM Sleep Duration,rem,recfXsZbEvBUsCoa3,,rec9x2cf6XhNVKYNn
recCehAlWoqxwfc8e,recS3x4hqxdgtJfe4,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Time taken to fall asleep,2025-06-07T21:35:08.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Sleep Latency,latency,recfXsZbEvBUsCoa3,,rec9x2cf6XhNVKYNn
recb5C4tF4FLPLBOD,recS3x4hqxdgtJfe4,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Percentage of time in bed spent asleep,2025-06-07T21:35:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Sleep Efficiency,efficiency,recfXsZbEvBUsCoa3,,recbr6G7O5LsA88v5
recwVShZTnqNCQWrM,recS3x4hqxdgtJfe4,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Average heart rate during sleep,2025-06-07T21:35:18.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Average Heart Rate (Sleep),hr_average,recZO4fCiocrvFBbz,,recYXpdHEr2ssGfnV
rec4pJIHNT6QU5OFC,recS3x4hqxdgtJfe4,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Lowest heart rate during sleep,2025-06-07T21:35:21.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Lowest Heart Rate (Sleep),hr_lowest,recZO4fCiocrvFBbz,,recYXpdHEr2ssGfnV
recc71mdVj2yDyWW3,recS3x4hqxdgtJfe4,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Change in skin temperature during sleep compared to baseline,2025-06-07T21:35:26.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Temperature Deviation (Sleep),temperature_delta,recpkTWdPhuy0Ginn,,recpPF7GBM8oVdBBs
rec9PtVegbqFEYmZC,recS3x4hqxdgtJfe4,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Composite score reflecting sleep quality,2025-06-07T20:14:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Sleep Score,sleep_score,recfXsZbEvBUsCoa3,,
recsfosnwv3B57vVT,rec6ttHcg0to86SuQ,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Overall readiness to perform physically and mentally,2025-06-07T20:15:08.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Readiness Score,readiness_score,recIWYhvHgvdBhb4Q,,
reczYQvFvAsy495nv,rec6ttHcg0to86SuQ,2025-06-07T19:53:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Heart rate while at complete rest,2025-06-11T21:41:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Resting Heart Rate,resting_heart_rate,recZO4fCiocrvFBbz,recjgSgnrdLSBJBZe,recYXpdHEr2ssGfnV
