record_id,additional_markers,cost_retail_minus_physician_service_fee,cost_retail_test,cost_retail_total,created,created_by,last_modified,last_modified_by,markers,test_name
rec8PGiP2OXUwMVM2,"rec0dF059ZVhgw3gD, recMH783TfRnC1iWP, recjtFtO1nI3Xdatx",6,215,221,2025-06-20T14:15:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-20T16:46:22.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Total Cholesterol, HDL, Triglycerides, LDL, ApoB, Lp(a), hsCRP",Advanced Heart Health Test Panel (with ApoB)
recgNTi8sw0CSYh63,,6,39,45,2025-06-20T14:15:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-20T16:46:22.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Total Cholesterol,Total Cholesterol Test
recYJCTtEPZgLNBcf,"rec0dF059ZVhgw3gD, recMH783TfRnC1iWP",6,59,65,2025-06-20T14:46:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-20T16:46:22.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Total Cholesterol, Triglycerides, HDL, LDL",Cholesterol (Lipid) Panel
recgl4f0Gms4qYnJq,"rec0dF059ZVhgw3gD, recMH783TfRnC1iWP",6,85,91,2025-06-20T14:50:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-20T16:46:22.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Total Cholesterol, Triglycerides, HDL, LDL, Lp(a)",High-Risk Heart Health Lipid and Lp(a) Test Panel
recCzIfXggBDSRUUt,,6,45,51,2025-06-20T14:15:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-20T16:46:22.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Lp(a),Lipoprotein(a)/Lp(a) Test
recc3golDixu3eCBE,,6,,6,2025-06-20T14:17:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-20T14:58:46.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,
recRLcIqPn6PSQtXm,,6,,6,2025-06-20T14:17:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-20T14:58:46.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,
recuXSAYYtYJBOClr,,6,,6,2025-06-20T14:17:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-20T14:58:46.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,
receMm1OGHm4DWegT,,6,,6,2025-06-20T14:17:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-20T14:58:46.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,
recEKPB53ENATBMs0,,6,,6,2025-06-20T14:17:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-20T14:58:46.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,
