record_id,Created,Created By,ID,Last Modified,Last Modified By,calculation_target_value,calculation_type,challenges_v3,dependency_logic,dependency_tracked_metric,frequency,level_description (from linked_recommendations) (from challenges_v3),operator,scoring_frequency,scoring_minimum_frequency,scoring_target_value,scoring_target_value_2,scoring_type,target_quantity,target_value,times,tracked_metric,tracked_metric_unit,unit,weightage
rectI4pcBZ4f110rA,2025-06-04T23:24:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0003.1,2025-09-19T20:21:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"rec9LhJfkCqvTln12, rec0NTwL92ocACo68, recQvCbXn4VXeF0P1, reczK4XrJlwlg9mmw, recDrUggrwc9qDZaa",,,per week,"Complete at least 90 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities., Complete at least 90 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities., Complete at least 90 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities., Complete at least 90 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities., Complete at least 90 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities.",>=,weekly,daily,≥90 minutes,,proportional_frequency,≥90 minutes,90,1,recV6TvniDSNrmCPt,minutes,minutes,
reclpTXOnufXV3Yfy,2025-06-04T23:44:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0003.2,2025-09-19T20:21:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"recAcguXnbmAE21TG, recpg7ewfSdLgVzoK, recFjCxo7Xv4TjaWT, rec4WCpavQWCo1szO, rec2fGsw2SxUvhs7C",,,per week,"Complete at least 120 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities., Complete at least 120 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities., Complete at least 120 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities., Complete at least 120 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities., Complete at least 120 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities.",>=,weekly,daily,≥120 minutes,,proportional_frequency,≥120 minutes,120,1,recV6TvniDSNrmCPt,minutes,minutes,
recsauKTPFiPKHHUV,2025-06-04T23:44:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0003.3,2025-09-19T20:21:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"recDGo8Dx9cQXfzJR, recrQmmEUB0DwcnNF, recIRG07q9MUJbCiV",,,per week,"Complete at least 180 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities., Complete at least 180 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities., Complete at least 180 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities.",>=,weekly,daily,≥180 minutes,,proportional_frequency,≥180 minutes,180,1,recV6TvniDSNrmCPt,minutes,minutes,
rec6hqs0pLPpP1jzP,2025-06-04T23:44:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0004.1,2025-09-19T20:23:10.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,difference,"reckpIHGrdiT7tvLh, recgphte1jJXqMIOk, rec90qu7zvh2BORSC, recLXuM6yDAlDzzCE, recCfkIAbCyzkDiU8",,,per_day,"Get 7–9 hours of sleep on at least 3 of 7 nights each week. Focus is on building baseline sufficiency., Get 7–9 hours of sleep on at least 3 of 7 nights each week. Focus is on building baseline sufficiency., Get 7–9 hours of sleep on at least 3 of 7 nights each week. Focus is on building baseline sufficiency., Get 7–9 hours of sleep on at least 3 of 7 nights each week. Focus is on building baseline sufficiency., Get 7–9 hours of sleep on at least 3 of 7 nights each week. Focus is on building baseline sufficiency.",><,weekly,5 of 7 days per week,7-9 hours,,proportional_frequency,7-9 hours,7.0-9.0,3,recY75tn39AEXKwbl,hours,hours,
recSAzt40UH0MMppd,2025-06-04T23:44:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0004.2,2025-09-19T20:23:10.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,difference,"recis5nuv85bpyJec, recJhFGguSUcLpeJc, recbqqrmxObrK7Pid, reczklZVgCKt0yd8o, rec4g0NHp1SiBEvC4",,,per_day,"Get 7–9 hours of sleep on 5 of 7 nights of the week, building towards full consistency in sleep duration., Get 7–9 hours of sleep on 5 of 7 nights of the week, building towards full consistency in sleep duration., Get 7–9 hours of sleep on 5 of 7 nights of the week, building towards full consistency in sleep duration., Get 7–9 hours of sleep on 5 of 7 nights of the week, building towards full consistency in sleep duration., Get 7–9 hours of sleep on 5 of 7 nights of the week, building towards full consistency in sleep duration.",><,weekly,daily,7-9 hours,,proportional_frequency,7-9 hours,7.0-9.0,5,recY75tn39AEXKwbl,hours,hours,
recwavm7ZvlOvGpB1,2025-08-18T15:59:41.000Z,"{""id"": ""usrHQfgDi28DDluHj"", ""email"": ""akhlaq.ahmad@kiwitech.com"", ""name"": ""Akhlaq Ahmad""}",REC0004.3-G2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"recP8VNRnxg4DDLiE, recRZ5IyiIiRvKkjF, recHxW92OmPn3a4hI",,,per_day,"Get 7–9 hours of sleep on all nights, plus maintain a consistent sleep and wake schedule (≤60 min variation in both bedtime and wake time over 7 days)., Get 7–9 hours of sleep on all nights, plus maintain a consistent sleep and wake schedule (≤60 min variation in both bedtime and wake time over 7 days)., Get 7–9 hours of sleep on all nights, plus maintain a consistent sleep and wake schedule (≤60 min variation in both bedtime and wake time over 7 days).",<=,weekly,daily,7-9 hours,≤60 minutes variance on 7-day average,proportional_frequency,"7-9 hours, ≤60 minutes",60,1,recFreByeShGraal0,minutes,minutes,50
recXPwCZovkYLo8GT,2025-06-04T23:44:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0005.2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"recYA0cSgsmx1aGgZ, recEEkPDLI2ImEEQW, rec5Jc3Z56Atu8sS7, recIc2DJK0hNkLQmi, recXPSJ8vA4WLn4Gw",,,per week,"Limit alcohol consumption to no more than 3 drinks per week across 2 days, Limit alcohol consumption to no more than 3 drinks per week across 2 days, Limit alcohol consumption to no more than 3 drinks per week across 2 days, Limit alcohol consumption to no more than 3 drinks per week across 2 days, Limit alcohol consumption to no more than 3 drinks per week across 2 days",<=,weekly,weekly,≤4 drinks,,proportional_frequency,≤4 drinks/week,4,1,recqjvztOuYRXj3Sm,drinks,drinks,
recvgJftM5jTiph67,2025-06-04T23:44:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0005.3,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"recU02RuJkiFYJFiv, rec9wuvk9qejG2Ghf, rec75nMKWEpXQGeJ7",,,per week,"Eliminate alcohol consumption entirely, with exception of rare social event if desired, Eliminate alcohol consumption entirely, with exception of rare social event if desired, Eliminate alcohol consumption entirely, with exception of rare social event if desired",<=,weekly,weekly,0 drinks,,binary_frequency,0 drinks/week,1,1,recqjvztOuYRXj3Sm,drinks,drinks,
recZndDktwvR8rvCv,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0009.2-G1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"rec8Fqaluom2Mhk5r, recrLqknASd36tA49, recGmDCOLTiv4xrsH, rechDD6bXUIy7j8sF, recCOPLfaaqEQYM5i",,,per week,"Limit added sugar to no more than two servings - any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda) per week, Limit added sugar to no more than two servings - any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda) per week, Limit added sugar to no more than two servings - any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda) per week, Limit added sugar to no more than two servings - any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda) per week, Limit added sugar to no more than two servings - any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda) per week",<=,weekly,weekly,≤2 servings,,proportional_frequency,2 servings,2,1,recgumU8bXrsl54Ed,servings,servings,
rec0YpTxiYAXQKofr,2025-08-18T18:22:21.000Z,"{""id"": ""usrHQfgDi28DDluHj"", ""email"": ""akhlaq.ahmad@kiwitech.com"", ""name"": ""Akhlaq Ahmad""}",REC0009.2-G2,2025-09-19T19:19:19.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"recNrixoupL8hewBJ, recAep578GhaaclV6, recngX3ZrCgW6nW13, rech2ku0Ru7uHVG2G, recMHUpmhzK36bkdY",,,per week,"Limit added sugar to no more than two servings - any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda) per week, Limit added sugar to no more than two servings - any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda) per week, Limit added sugar to no more than two servings - any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda) per week, Limit added sugar to no more than two servings - any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda) per week, Limit added sugar to no more than two servings - any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda) per week",><,weekly,weekly,≤2 servings,,proportional_frequency,2 servings,8.0-15.0,1,recGPPDd5i4uun3oa,grams,grams,
recKtn6kfkjkVvsxT,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0010.1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"rec3V4DYC5UMy4t17, recmzj9LkL2WPLcgJ, recaxKLldcDELWnV4, reczR6oouATok8sTg, reciN3G9IiL9df7C1",,,per week,"Limit processed meat to no more than 3 servings per week, Limit processed meat to no more than 3 servings per week, Limit processed meat to no more than 3 servings per week, Limit processed meat to no more than 3 servings per week, Limit processed meat to no more than 3 servings per week",<=,weekly,weekly,≤3 servings,,proportional_frequency,3 servings,3,1,rec0Bp07c21sb2Ref,servings,servings,
recafPtmUoDa5WHOs,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0010.2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"recmz4EAiq6312Q3z, rec9eqX51P3q9yN8c, recZyF3Z3m0XYqs3P, recLCcJjMpJkuwCLs, recPgcVo5cbemTvmc",,,per week,"Limit processed meat to no more than one serving per week and aim for a diversity of unprocessed protein sources, Limit processed meat to no more than one serving per week and aim for a diversity of unprocessed protein sources, Limit processed meat to no more than one serving per week and aim for a diversity of unprocessed protein sources, Limit processed meat to no more than one serving per week and aim for a diversity of unprocessed protein sources, Limit processed meat to no more than one serving per week and aim for a diversity of unprocessed protein sources",<=,weekly,weekly,≤1 serving,,proportional_frequency,1 serving,1,1,rec0Bp07c21sb2Ref,servings,serving,
recqRmDhhYWij8kAp,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0013.1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"recML4E01QSpVbTHL, rec6RHMiSOloOWXtk, recHeG5qeVbmXS8jn, recAzzbmD35ioP6Ow, rec3RTaAwZY4IJJyV",,,per week,"Reduce caffeine intake to ≤400mg per day on at least 2 days per week, Reduce caffeine intake to ≤400mg per day on at least 2 days per week, Reduce caffeine intake to ≤400mg per day on at least 2 days per week, Reduce caffeine intake to ≤400mg per day on at least 2 days per week, Reduce caffeine intake to ≤400mg per day on at least 2 days per week",<=,weekly,2 of 7 days,≤400mg,,binary_frequency,≤400mg x 2,400,2,reclDxNnJwcuQSYak,mg,mg,
