record_id,age_max,age_min,baseline_consistency,binary_threshold,categorical_description,categorical_filter_threshold,challenges_v3,composite_weighted,configuration_status,constrained_weekly_allowance,contraindications,created,created_by,frequency,gender,id,intake_markers_raw,intake_metrics_raw,last_modified_by,last_modified_time,level_description,linked_evidence,minimum_frequency,nudges_v2,order,overview,patient_type_qualifiers,primary_markers,primary_metrics,proportional,proportional_frequency_hybrid,raw_impact,recommendation_type,secondary_markers,secondary_metrics,sleep_composite,t_shirt_sizes,tertiary_markers,title,weekend_variance,weekly_elimination,zone_based
rec9shJve4oUosmbM,150,0,,recv1qU9xyEXBapcq,Gender: male_female | Age: Any | Risk Level: Any,,"rec8V7XvZjuwVd5XZ, recHVsdSAzjNVL7DG, recIBSvumCV3KfEPF, rechCDB3dJyzPuhWV, recCCom3Txl9ryoPI",,configured,,,2025-06-03T21:09:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",per_day,male_female,REC0001.1,"recw2hqgZfllcjFso, receYj9nbAEGPBxFl, recC0mB1LyNGjDyld, recf4HtvFUqMhyhdh",,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T23:28:28.000Z,"Add one daily serving of fiber-rich food (e.g., oats or beans)","recZ6C0tsTPiDOfwE, rec2IGmKG5X9WXA7w, recf93QJMEMOKjUWm",,"recj7fujBzlr2iixD, receleaZl0i5TzZEf, receLyCRcrv7NR3Za, recuvgZUQUqafJlq0, recW6E16nzfTyyiQG, recQiYyLQFu0aSR4y, rec35kfagCbSlcYBz, rectn96SE9gZXnXtr, recSVFrEoW78JEUpn, recCSsBKf7PkKDwz4, rec9vuQnNEwTh1Hud, reci8rbgPODNFnnoj, reciABt03hv6qeg8r, recY5306A7NWgD4sN, rectwIXBGfUDhH5QK, rec5vPHaZG5OuS0yV, recutIbg9rsGqQN2v, recM576jAARsEIkis, rec6mvAHbrQw5WrBW, recNxIyO25yPSqAte, recQlOT5J1z1x5YQv, recX6emQtC9FsQYDZ, recwrcptua1JN6XMn, recJrnrwyU4RCxaKK, rec48zOQYSJlY91pg",1,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",,"receYj9nbAEGPBxFl, recC0mB1LyNGjDyld, recw2hqgZfllcjFso, recf4HtvFUqMhyhdh",,,,75,recqHQHN1HyB2bYIb,"recierVNozpgZdLZH, recAdUWMgWMZS3qKI",,,recnPuigKFAPBECE6,,Increase Fiber Intake,,,
recnvgez95waQbIX9,150,0,,,Gender: male_female | Age: Any | Risk Level: Any,,"recJzYZ1hQNlM7UCv, recwkbTRBPkqCPA8p, recN7zCvxwWZd59uj, rec70784BbB1sr8H0, reck6zRZOOYl4YkP6",,configured,,,2025-06-03T21:09:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",per_day,male_female,REC0001.2,"recw2hqgZfllcjFso, receYj9nbAEGPBxFl, recPiW3K4dhWi31Xh, recC0mB1LyNGjDyld, recf4HtvFUqMhyhdh, recAdUWMgWMZS3qKI",reccxH7AESy9vvBPo,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Include two distinct sources of fiber each day,"recZ6C0tsTPiDOfwE, rec2IGmKG5X9WXA7w, recf93QJMEMOKjUWm",,"recj7fujBzlr2iixD, receleaZl0i5TzZEf, receLyCRcrv7NR3Za, recuvgZUQUqafJlq0, recW6E16nzfTyyiQG, recQiYyLQFu0aSR4y, rec35kfagCbSlcYBz, rectn96SE9gZXnXtr, recSVFrEoW78JEUpn, recCSsBKf7PkKDwz4, rec9vuQnNEwTh1Hud, reci8rbgPODNFnnoj, reciABt03hv6qeg8r, recCpkycKMPER3zvX, rec6oDdGBTfKGcY4N, recvRW6GMim70W5LV, recMb7bYKEFXl6R70, recp1mcINW3i9h3pf, recBFJpl0lGNndQHO, rec9LVRb7F4tQ1twT, recbxsGQiZruG3cPF, rectKUrBqFhkQ2S1s, recRUEJLfc8DmTvKT, recujgQtmaZ5DDYzj, recG8ovONRd5zGPeh",2,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",,"receYj9nbAEGPBxFl, recC0mB1LyNGjDyld, recw2hqgZfllcjFso, recf4HtvFUqMhyhdh",,recupGiYbvfw5ZAah,,75,recqHQHN1HyB2bYIb,"recf4HtvFUqMhyhdh, recAdUWMgWMZS3qKI, recPiW3K4dhWi31Xh","reccxH7AESy9vvBPo, recVHWlB26jWt9Ij9",,recI81s1wiUEzLscQ,,Increase Fiber Intake,,,
recyzL1fyLSDVCg58,49.9,0,,,Gender: female | <50 | Risk Level: Any,,"recioSn18g1UoXn1e, rec5r7ZFm4Mn2dMdl, recTw05kIsLlWyofa, recloqTF4RPHAFKU7, recFct6WhaL27Et0H",,configured,,,2025-06-03T21:09:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",per_day,female,REC0001.3 (i),"recw2hqgZfllcjFso, receYj9nbAEGPBxFl, recPiW3K4dhWi31Xh, recC0mB1LyNGjDyld, recf4HtvFUqMhyhdh, recAdUWMgWMZS3qKI","recVHWlB26jWt9Ij9, reccxH7AESy9vvBPo, recELBnyZAf0mIQH6, recSy02sgRnjfOkHE","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-08T16:28:43.000Z,Reach 25g of fiber daily with consistent adherence,"recZ6C0tsTPiDOfwE, rec2IGmKG5X9WXA7w, recf93QJMEMOKjUWm",,"recj7fujBzlr2iixD, receleaZl0i5TzZEf, receLyCRcrv7NR3Za, recuvgZUQUqafJlq0, recW6E16nzfTyyiQG, recQiYyLQFu0aSR4y, rec35kfagCbSlcYBz, rectn96SE9gZXnXtr, recSVFrEoW78JEUpn, recCSsBKf7PkKDwz4, rec9vuQnNEwTh1Hud, reci8rbgPODNFnnoj, reciABt03hv6qeg8r, recTEtfuf4lI3csHr, rec6I4IoFtoogy4K9, recNYbmroy9ktuFHY, recIKudhFBpxj3Ems, recqjavJWvSZZ9zRd, recRcjo7vb4b9Lfim, recQDwLrlR1sTy56G, recqC1333UEWgckOR, reczgKKvZgINtZl3Q, rec5r4ZvSvPFvs5jD, recHOoYlNDaMyfcuS, recXjkZYIB6SVzlAD",3,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.","recqZdQVAP3HNCphs, rec3Mb1qeHKE1eh6l","receYj9nbAEGPBxFl, recC0mB1LyNGjDyld, recw2hqgZfllcjFso, recf4HtvFUqMhyhdh, recAdUWMgWMZS3qKI",,recVj9wa8QIA3KJYS,,75,recqHQHN1HyB2bYIb,recPiW3K4dhWi31Xh,"recVHWlB26jWt9Ij9, recSy02sgRnjfOkHE, recELBnyZAf0mIQH6, reccxH7AESy9vvBPo",,recsORWYSS9P3wSZ7,,Increase Fiber Intake,,,
recQGhqpbZNfyn2G8,49.9,0,,,Gender: male | <50 | Risk Level: Any,,"recRWHqakpr6M7nvv, recHEiHCpVw9d49Lj, rec5ckY0oKlMloo9y, recS8kgqvoa1JPgdi, recctkjXkSf8j7Hk0",,configured,,,2025-07-22T15:19:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",per_day,male,REC0001.3 (ii),"recw2hqgZfllcjFso, receYj9nbAEGPBxFl, recPiW3K4dhWi31Xh, recC0mB1LyNGjDyld, recf4HtvFUqMhyhdh, recAdUWMgWMZS3qKI","recVHWlB26jWt9Ij9, reccxH7AESy9vvBPo, recELBnyZAf0mIQH6, recSy02sgRnjfOkHE","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-08T16:29:19.000Z,Reach 38g of fiber daily with consistent adherence,"recZ6C0tsTPiDOfwE, rec2IGmKG5X9WXA7w, recf93QJMEMOKjUWm",,"recj7fujBzlr2iixD, receleaZl0i5TzZEf, receLyCRcrv7NR3Za, recuvgZUQUqafJlq0, recW6E16nzfTyyiQG, recQiYyLQFu0aSR4y, rec35kfagCbSlcYBz, rectn96SE9gZXnXtr, recSVFrEoW78JEUpn, recCSsBKf7PkKDwz4, rec9vuQnNEwTh1Hud, reci8rbgPODNFnnoj, reciABt03hv6qeg8r, recWK17guIQVpH9zB, rec1xT9csc2br37Ru, recLfdi6BKlOeOVSk, recA8P5ripMeflWWW, recYPLGyQtGFWseDZ, recCMOcvV42sMf6EM, recQDOMj4KnuPcQR5, recNdVaSp96RotfPX, recJHbTa7aElveXu0, recEaykqL6WdfODU5, reczzERB0UZGOL2XR, rec08ksMQFpHTJNhA",4,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.","recqZdQVAP3HNCphs, rec3Mb1qeHKE1eh6l","receYj9nbAEGPBxFl, recC0mB1LyNGjDyld, recw2hqgZfllcjFso, recf4HtvFUqMhyhdh, recAdUWMgWMZS3qKI",,recXlD0eVvP6yY5tn,,75,recqHQHN1HyB2bYIb,recPiW3K4dhWi31Xh,"recVHWlB26jWt9Ij9, recSy02sgRnjfOkHE, recELBnyZAf0mIQH6, reccxH7AESy9vvBPo",,recsORWYSS9P3wSZ7,,Increase Fiber Intake,,,
recDzEG37NloR565F,150,50,,,Gender: female | >50 | Risk Level: Any,,"recvCgzNHm2yAoHju, reciCrys5esGp6A8B, rec35itRFwfQpVhGe, recJVKqmDfPcPHxCk, reck2mL4aJw5rjxzj",,configured,,,2025-07-22T16:03:34.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",per_day,female,REC0001.3 (iii),"recw2hqgZfllcjFso, receYj9nbAEGPBxFl, recPiW3K4dhWi31Xh, recC0mB1LyNGjDyld, recf4HtvFUqMhyhdh, recAdUWMgWMZS3qKI","recVHWlB26jWt9Ij9, reccxH7AESy9vvBPo, recELBnyZAf0mIQH6, recSy02sgRnjfOkHE","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-08T16:29:19.000Z,Reach 21g of fiber daily with consistent adherence,"recZ6C0tsTPiDOfwE, rec2IGmKG5X9WXA7w, recf93QJMEMOKjUWm",,"recj7fujBzlr2iixD, receleaZl0i5TzZEf, receLyCRcrv7NR3Za, recuvgZUQUqafJlq0, recW6E16nzfTyyiQG, recQiYyLQFu0aSR4y, rec35kfagCbSlcYBz, rectn96SE9gZXnXtr, recSVFrEoW78JEUpn, recCSsBKf7PkKDwz4, rec9vuQnNEwTh1Hud, reci8rbgPODNFnnoj, reciABt03hv6qeg8r, rec4sSN02vj9jIX9d, recH7HtbI58728WwI, rec6o2xLCIOz0GWor, recdP0z2vctGrfEJG, recD5OywqqBSSKRCM, recdpaWAqIdkKTMXd, recqvCQaQhYtoGUQo, recpURXAvUjbG9UIy, recv8d2c0RUUBbIwy, recJE3pA1UoXJ5y79, rec7uFgeWkOPo3ucI, recu6enh3G2AE25Xn",5,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.","recqZdQVAP3HNCphs, rec3Mb1qeHKE1eh6l","receYj9nbAEGPBxFl, recC0mB1LyNGjDyld, recw2hqgZfllcjFso",,recfy5CnBacmgvO5L,,75,recqHQHN1HyB2bYIb,"recf4HtvFUqMhyhdh, recAdUWMgWMZS3qKI, recPiW3K4dhWi31Xh","recVHWlB26jWt9Ij9, recSy02sgRnjfOkHE, recELBnyZAf0mIQH6, reccxH7AESy9vvBPo",,recsORWYSS9P3wSZ7,,Increase Fiber Intake,,,
reczWqNcJQXghlR0U,150,50,,,Gender: male | >50 | Risk Level: Any,,"recYQu5bs0jmC9ZR8, rectHaslOiH9iPeLW, recaVvQTVPtNu6IOE, recx867xojmXjDSEJ, recmQC7riCnJ0QbKV",,configured,,,2025-07-22T16:03:40.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",per_day,male,REC0001.3 (iv),"recw2hqgZfllcjFso, receYj9nbAEGPBxFl, recPiW3K4dhWi31Xh, recC0mB1LyNGjDyld, recf4HtvFUqMhyhdh, recAdUWMgWMZS3qKI","recVHWlB26jWt9Ij9, reccxH7AESy9vvBPo, recELBnyZAf0mIQH6, recSy02sgRnjfOkHE","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-08T16:29:19.000Z,Reach 30g of fiber daily with consistent adherence,"recZ6C0tsTPiDOfwE, rec2IGmKG5X9WXA7w, recf93QJMEMOKjUWm",,"recj7fujBzlr2iixD, receleaZl0i5TzZEf, receLyCRcrv7NR3Za, recuvgZUQUqafJlq0, recW6E16nzfTyyiQG, recQiYyLQFu0aSR4y, rec35kfagCbSlcYBz, rectn96SE9gZXnXtr, recSVFrEoW78JEUpn, recCSsBKf7PkKDwz4, rec9vuQnNEwTh1Hud, reci8rbgPODNFnnoj, reciABt03hv6qeg8r, recgMyqs71l1autao, recZfYKGzGWQf1CXL, rec1lStRUCUgCTTJU, recmIPUD3d8BqoeXY, recMZpTYZ37j3B69S, recBHeepAMSzps8sW, rec1xRLnjeGGud8aE, rec1iXgjknY7J9708, recNrSclvLyEHib60, recMvtno7EY5knHSu, recETvaNSGmjvFD6K, recR5TWdkOJaPa8JH",6,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.","recqZdQVAP3HNCphs, rec3Mb1qeHKE1eh6l","receYj9nbAEGPBxFl, recC0mB1LyNGjDyld, recw2hqgZfllcjFso",,reckfiBYyh17qezTD,,75,recqHQHN1HyB2bYIb,"recf4HtvFUqMhyhdh, recAdUWMgWMZS3qKI, recPiW3K4dhWi31Xh","recVHWlB26jWt9Ij9, recSy02sgRnjfOkHE, recELBnyZAf0mIQH6, reccxH7AESy9vvBPo",,recsORWYSS9P3wSZ7,,Increase Fiber Intake,,,
recL0zctdlOG9ciJL,150,0,,recvDHuDqvfNkflNw,Gender: male_female | Age: Any | Risk Level: Any,,"recuwBHuOPm4D43w7, recAzbxqWVelNG8a0, reccmhEpjHyrX7lYI, recNXJpxOvnyAds8e, recbXOdRxFtsbH502",,configured,,recMORgJhxNNgSxe0,2025-06-04T17:16:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",per_day,male_female,REC0002.1,"recw2hqgZfllcjFso, recq0JX3QgFBo5mm4, recBA3iQ4lGJtC2nM, recierVNozpgZdLZH, recf4HtvFUqMhyhdh, recAAuZFrdsqJW3yd, recPiW3K4dhWi31Xh, recC0mB1LyNGjDyld, recDBJLAkc5CAfBm3","recSy02sgRnjfOkHE, recELBnyZAf0mIQH6, reccxH7AESy9vvBPo, recVHWlB26jWt9Ij9, recyKRTIlX4Jux2W0, recbIfUESzC18eAIL","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Limit saturated fat sources to ≤2 per day,"recFgfMdD7fP1FoFl, rec5OI0Ed5fbJiJeC, recNVh2E7o0SHwcbc",,"recKzdg3qtYeIfCRz, recZooECTXAmvkuxK, recFcjjnb6NlE3p1i, recCGbajqm17OxiGm, recTnKvtTY2f3ZCG8, recKrpOTUrwfQWtdq, recdJlvZrdaXqoZdS, recKIxZnVhBedPmhz, recgtzSUES6QsweDy, reclQ51sCr2Eqi2g3, rec4Ju5GbgKXHQVDR, recDf7U7FpASe6k7q, recBuBW1N3q26FCwN, receZRRi3dCnXH8CE, recy3jGacVwg6coi9, recB123HHOWcSsq3M, recn7OEWlzXK7aOYb, rec1yFoJ6O7YlnAtS, reciyuVAOU2zaUbXo, recad0TsVg0tkymRu, recQrrgGh5ge6pkQw, recxZ4FByeSg730PZ, recMcgGk0mf9XoQT4, recXtqPCax0hCbr8m, rec6niCVoOQ7L1mhb",7,"Swapping saturated fats for healthier fats like olive oil, avocados, nuts, and fatty fish supports heart and brain health, lowers systemic inflammation, and promotes metabolic balance. These fats are core components of dietary patterns linked to increased longevity and reduced chronic disease risk.",,"recC0mB1LyNGjDyld, recw2hqgZfllcjFso, recAAuZFrdsqJW3yd, recBA3iQ4lGJtC2nM, recDBJLAkc5CAfBm3, recPiW3K4dhWi31Xh",,,,70,recqHQHN1HyB2bYIb,"recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recq0JX3QgFBo5mm4, recPiW3K4dhWi31Xh","recVHWlB26jWt9Ij9, recSy02sgRnjfOkHE, recELBnyZAf0mIQH6, reccxH7AESy9vvBPo, recbIfUESzC18eAIL, recyKRTIlX4Jux2W0",,recnPuigKFAPBECE6,,Prioritize Healthy Fats Over Saturated Fats,,,
recdvxEqeeiiCGJI6,150,0,,rectXlgekFeo2vO1K,Gender: male_female | Age: Any | Risk Level: Any,,"recWTaxZl9BjDu6Jz, recNJ73Lvsv7XXSps, recKSFJJvMUEVEudB, rectCFQbNdROt5L9U, rec5lrJhkVl67kjrI",,configured,,recMORgJhxNNgSxe0,2025-06-04T22:55:31.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",per_day,male_female,REC0002.2,"recw2hqgZfllcjFso, recq0JX3QgFBo5mm4, recBA3iQ4lGJtC2nM, recierVNozpgZdLZH, recf4HtvFUqMhyhdh, recAAuZFrdsqJW3yd, recPiW3K4dhWi31Xh, recC0mB1LyNGjDyld, recDBJLAkc5CAfBm3","recSy02sgRnjfOkHE, recELBnyZAf0mIQH6, reccxH7AESy9vvBPo, recVHWlB26jWt9Ij9, recyKRTIlX4Jux2W0, recbIfUESzC18eAIL","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Maintain a 2:1 ratio of healthy to unhealthy fat sources daily,"recFgfMdD7fP1FoFl, rec5OI0Ed5fbJiJeC, recNVh2E7o0SHwcbc",,"recKzdg3qtYeIfCRz, recZooECTXAmvkuxK, recFcjjnb6NlE3p1i, recCGbajqm17OxiGm, recTnKvtTY2f3ZCG8, recKrpOTUrwfQWtdq, recdJlvZrdaXqoZdS, recKIxZnVhBedPmhz, recgtzSUES6QsweDy, reclQ51sCr2Eqi2g3, rec4Ju5GbgKXHQVDR, recDf7U7FpASe6k7q, recBuBW1N3q26FCwN, recmQyfsF1cFWEL3x, rec5WTHV4KZGmmAEk, recnZqEAj65qlV0am, recCX8d10rcPYB5A3, recCtQlWhGFa6uFmQ, recCbSn1tLiPl4PWz, reczQbZYMGoL9LAAM, recwGnQjkocFxHDjj, recBnQ3x8vNUtBPRm, recBqgqoln52oV7PY, reczoMB7XGTGXCdaS, rec7SiY8BTnROzlGr",8,"Swapping saturated fats for healthier fats like olive oil, avocados, nuts, and fatty fish supports heart and brain health, lowers systemic inflammation, and promotes metabolic balance. These fats are core components of dietary patterns linked to increased longevity and reduced chronic disease risk.",,"recC0mB1LyNGjDyld, recw2hqgZfllcjFso, recAAuZFrdsqJW3yd, recBA3iQ4lGJtC2nM, recDBJLAkc5CAfBm3, recPiW3K4dhWi31Xh",,,,70,recqHQHN1HyB2bYIb,"recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recq0JX3QgFBo5mm4, recPiW3K4dhWi31Xh","recVHWlB26jWt9Ij9, recSy02sgRnjfOkHE, recELBnyZAf0mIQH6, reccxH7AESy9vvBPo, recbIfUESzC18eAIL, recyKRTIlX4Jux2W0",,recI81s1wiUEzLscQ,,Prioritize Healthy Fats Over Saturated Fats,,,
recMiDba4KdZho45D,150,0,,reclHuzoq7FdIlFZA,Gender: male_female | Age: Any | Risk Level: Any,,"rec6yG8U1kQKuJoA5, reczOvIjNq6w4xsT7, reczHhm76WZBBb6ea, recQZNy0qB8HEJvGF, rec8S7WHhtj8k0W5I",,configured,,recMORgJhxNNgSxe0,2025-06-04T23:24:12.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",per_day,male_female,REC0002.3,"recw2hqgZfllcjFso, recq0JX3QgFBo5mm4, recBA3iQ4lGJtC2nM, recierVNozpgZdLZH, recf4HtvFUqMhyhdh, recAAuZFrdsqJW3yd, recPiW3K4dhWi31Xh, recC0mB1LyNGjDyld, recDBJLAkc5CAfBm3","recSy02sgRnjfOkHE, recELBnyZAf0mIQH6, reccxH7AESy9vvBPo, recVHWlB26jWt9Ij9, recyKRTIlX4Jux2W0, recbIfUESzC18eAIL","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,Maintain a 4:1 ratio of healthy to unhealthy fat sources daily,"recFgfMdD7fP1FoFl, rec5OI0Ed5fbJiJeC, recNVh2E7o0SHwcbc",,"recKzdg3qtYeIfCRz, recZooECTXAmvkuxK, recFcjjnb6NlE3p1i, recCGbajqm17OxiGm, recTnKvtTY2f3ZCG8, recKrpOTUrwfQWtdq, recdJlvZrdaXqoZdS, recKIxZnVhBedPmhz, recgtzSUES6QsweDy, reclQ51sCr2Eqi2g3, rec4Ju5GbgKXHQVDR, recDf7U7FpASe6k7q, recBuBW1N3q26FCwN, recz1a6HnVP89xggp, rech1do3snbxm25xg, recbzz4mOS7nEniY8, recEbDFdvhUnim1rm, recftsEvXRK1Krg8r, recvbcCmJz3UZUccC, recKsDrDKiSv7FESe, recqHoGiaoiqNafGU, recwhIkEvLPbHazEo, reccFzhjZnOQN1hJL, recquldncVoYKEUXl, recFnb8yUiG0ngLyK",9,"Swapping saturated fats for healthier fats like olive oil, avocados, nuts, and fatty fish supports heart and brain health, lowers systemic inflammation, and promotes metabolic balance. These fats are core components of dietary patterns linked to increased longevity and reduced chronic disease risk.",,"recC0mB1LyNGjDyld, recw2hqgZfllcjFso, recAAuZFrdsqJW3yd, recBA3iQ4lGJtC2nM, recDBJLAkc5CAfBm3, recPiW3K4dhWi31Xh",,,,70,recqHQHN1HyB2bYIb,"recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recq0JX3QgFBo5mm4, recPiW3K4dhWi31Xh","recVHWlB26jWt9Ij9, recSy02sgRnjfOkHE, recELBnyZAf0mIQH6, reccxH7AESy9vvBPo, recbIfUESzC18eAIL, recyKRTIlX4Jux2W0",,recnt65WdXSqW8C0z,,Prioritize Healthy Fats Over Saturated Fats,,,
recC3HYOpjcuSTlGZ,150,0,,,Gender: male_female | Age: Any | Risk Level: Any,,"rec9LhJfkCqvTln12, rec0NTwL92ocACo68, recQvCbXn4VXeF0P1, reczK4XrJlwlg9mmw, recDrUggrwc9qDZaa",,configured,,,2025-06-04T23:24:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",per week,male_female,REC0003.1,"receYj9nbAEGPBxFl, recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recq0JX3QgFBo5mm4, recDBJLAkc5CAfBm3, recPiW3K4dhWi31Xh, recf4HtvFUqMhyhdh, recC0mB1LyNGjDyld, recDwWAHjdIXhMhSV","rec0v0JrVS6xu5Dcj, recELBnyZAf0mIQH6, recSy02sgRnjfOkHE, recLuAlDIETnvUUtO, recqea20SA5Y5BaIw, recVHWlB26jWt9Ij9, recbIfUESzC18eAIL, recXiq3Os05QJJki4, recxJqmq5ipZMLJsj, rec8o1wlo0olBMl8A","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T21:29:18.000Z,"Complete at least 90 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities.","recIAReXwwNzDc7gX, recbJUBCTioWkdQ6B, recn5E9AOd7x4wlxI",,"recXFn7ZIhp2un8u0, rectGkO3quXAaiprV, recQ7GB9G6O2XNSmX, recIoOTaNSqaia6bz, recSEWsrwGCBnsMzI, recs58UhfYr3CG7Uw, recjjNYlu5n6YzhSc, recY2A2TAEi3YcFkD, recdTsFokWaeDy8k4, recXi2BRtoPfIv8DX, recf4uW05IAjPUqEQ, recacK2eybydQkglj, recxZRdm9dOPaa0eS, recKZSooPUe7wBFte, recd5hX9fNgG0JVPl, reccDEg0F8r3QigzE, recOua6nwTlcnXEeV, recnhbZBVx9eraMrw, rec5644du6Phvapx9, recppcOmMXy4hNcHM, recGkS4EQIWVjgJrP, recz4KIg2s4UxqDvo, recGw3sEHHTicCIG9, rec71qKqbQKK8tirF, recpg8FxLbZ7LyzS9, recc2VhQPX1MenxJj",10,"Zone 2 cardio involves sustained, moderate-intensity aerobic exercise that keeps your heart rate within a range that maximizes fat oxidation and mitochondrial efficiency. Training in this zone improves metabolic flexibility, insulin sensitivity, and cardiovascular resilience. It's foundational for longevity, endurance, and energy metabolism. You should be able to maintain conversation, but feel like you’re working.",,"recAdUWMgWMZS3qKI, recPiW3K4dhWi31Xh, recierVNozpgZdLZH","recSy02sgRnjfOkHE, recELBnyZAf0mIQH6, recLuAlDIETnvUUtO, rec0v0JrVS6xu5Dcj, recqea20SA5Y5BaIw",recP0nDW6Lwbp4zcB,,85,recG9fcKb8n1bTqBw,"receYj9nbAEGPBxFl, recf4HtvFUqMhyhdh, recC0mB1LyNGjDyld, recq0JX3QgFBo5mm4, recDBJLAkc5CAfBm3","recVHWlB26jWt9Ij9, recXiq3Os05QJJki4, recbIfUESzC18eAIL, rec8o1wlo0olBMl8A, recxJqmq5ipZMLJsj",,recnt65WdXSqW8C0z,,Incorporate Zone 2 Cardio for Mitochondrial and Cardiovascular Health,,,
