record_id,created,created_by,last_modified_by,last_modified_time,max_value,min_value,name,option_id,questions_using_this,response_choices,response_types,scoring_map
recKFvqs6chl75esq,2025-09-04T19:02:18.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-05T16:39:22.000Z,,,Tracked Metric Link,RO-TM,receOW3ruPDJdEhjj,[Path to Tracked Metric],recyvVVeFVXxoljYl,"{""redirect_to_metric"": true, ""tracked_metric_id"": ""METRIC_ID""}"
recuDaHwQtswQ0P8t,2025-09-02T15:21:31.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-06T00:01:34.000Z,5,1,Progress Rating Scale,RO-PROGRESS-SCALE,"recGMZMljkFbepiE6, recbUiUHteAPpktlC, rec0XvC5Lk369jB4n, receRNQHCnk0Q4aTA, recmyz6jODHepl9cN, rec4nSvhoJsS9g6Gh, recm7SMkkc9xzLF9q, recMXtuwJwWmTywS5, recd7PnrDyxnmxj6u, recrBTGivc1hRoPvQ, recFPuPvRmL0O4Qzk, recrlm8LpCZAWVwsV, recsQ0s8ZqB4v2pev, rec24qIX6zx0vAIdA, rec0MfV2YHFAsWKgH, recgZuq6WLN2p37z6, recm6xID64cNTf3Wp, recao0kSUpVtX7pG7, recPsLnaPkN4BttMt, recybUTbDWg25pgnb, recQBq6HaTH5ibzGw, rec9Vp6TYxmIzhTfu, rec5t1rlkeeKo3LiK, recU6okzGMCZfSsJM, reco7IcUFF2wZTtvk, rec0Rb6cNn8r3tWhC, recfmqvjJVGNiGqHO, recOGcaIRYZGSfEMt, recmV0exbjS3nWfVu, recxIVzyqx98vXWZ5, recXEzaSNlacGf8E9, recoPvrSOhmGHMqma, recPxWfWxX8Kq9Bmc, recy6eReUNuAV8Hfv, recH1U83zcxn3h1KW, rec1gkmEUkLHhxQDo, recehqGB7VoumnSDE, rec82d3jrVV2mWOxr, recJ1cdGqMAy3FS44, reconjTPJ2YXSaysw, rec3Jrg3cXG1N1C2u, recVCeTbdQiHVYgrH, recQt2RNbXJw3SmrU, recAqHBgaMQQq0WFa, reccvVldSqQxJ9sBU, rec46i8DNRAvrUP1m, recx6RvaihNYkgg6k, rec4VftLNBuHSYbfc, recnwFzT5eB0W2NKy, recPQC75BsVJsu4vG, rec1fW6Lg9asafKCH, rec41buctgbXLGPKE, recITsNaI4K0Fs6Yf, recm3GEPprnVa7z8t, recUtv59j84DWBJaZ, recqugxZj9lHLRQRx, recXaH0qD7yfJDz23, recglobM3ejMDBL25, rec7gGtlqwyoxDbEG, rec1NmgeO0mUZ9wK8, recgcOJvGiD9BELXa, recr5R8VO1SIkYKfX, recZtNlc4ShesbIOa, reciLtACrNquQAMtP, recWFic57ZZ922eQn, rec0b2fOVK2eV0slG, recFBDkliH8z9lln3, recS7IgN8X4LOOMy1, recwlkF7cjLLIfxd6, rec2g4v1pnEob5dg5, recN7uzGGvpEpOUNO, reckFP1IvPDhAnYyM, rec0cLs7QX81ijB8u, recZjdLWxOootRnKO, recSdi62v9bfenkU2, recz1kSVHawTFw5CH, reco5sZjhtkMaFpVr, recbLmfURh3ZdEh92, recBfZjgMA72hr4PV, recDsNP7g9rzMYlj0, recOWAMwQJgTGtq6k, recTkb1e2cDMjVUHd, recfcMPLTwPaA2UXR, recFHRLjCN5d4vsZ7, recOsEGcJzCHNUsaX, rec72a4Asc4lFMHrT, recBipIO8dBvH2ehq, recp7sYORCnfGSQWH, recTF9dth6ih072Oh, recD9ZGjz3mxqXJoD, rec8KN9lfY6c48zI2, recYaLQVnBfKwGP5O, rec0pBN5ueg0rzfzH, rec0qLOlXKEFIbN3G, rece0776L0gsqgs0E, recKR7rH19wwRQh6z, rec2Sgx1dylsFn5ID, rec22ssodlMFRwBwN, reco9dfzHgT8fWjrO, rec7fuw4bZzQZ85yt, recfJFV1cwjcQvkIf, recxNjgEO4YsDE5Cq, recEFFgqcPeTI4ZVL, recIyoTee7tJrgMQr, recrVBYpXRguZu3Xx, recJpfIldJqazUgtW, recuUJ8sVjVh6sFjQ, recjH3lxOpF5PUp46, recYACiy5mXJBl6tH, rec96iJ85bQpbw3cb, recCC15dEz6fLfS8h, recgiAAE8ZIh9EhPd, recDkFUg7uuNWi96W, rec6CAJhzmIkYk2Pl, recMuWcZH6CgLhSyi, rec8vWoPTAaSlT1R4, recPHDLznTP1QuECy, recjAdYV64hx7nXfg, recDLkgYxfU0ySsxX, rec0l5EuabwoDpLfi, recTJlqszrmOByItD, rec2aJy6JKzCcOYTT, reci1HiS2OJsoQ7NX, rec295WWJuYQ9iRGN, reca0do3HYOwAo3Ik, recV0eplHNVx9bucR, recjqWoKTc1HIXiFT, recVtFJhE65652p3X, recS5aftCEm7c3WHn, recYd5nd7YbAAQRN7, recIvgnez7tFzFmdT, recUDGHNkqv1xCP1i, recYyIu7Lyez397rk, recMlswm0oIvBRE0p, recQVIHQCNe9X7y6A, recJeodk5AbmP0R6M, recE0RaU6r9kVUjot, recMzITB1BtWXFdYW, recX6K8Tb5EUd49bv, recV3qtd75j5QMHAJ, rec0fthRZuYTuep95, recabL9dgjVsOjHD0, recMNwV9jlrfET7NY, recySEAbzPygciRAp, rec003M5IQ7Q62eOQ, recLzv9MPwejYMlGJ, recdrzyV5q7ctlY2D, recw9NxOW6rtDKRLf, recd8GAQpH0Ao6ZFP, recggBnG8nzF076Rt, recW2tmP3gGthDbfU, recUlLeayRIO7M3CZ, recqp793xN3eD0ibZ, recKYET6tssdiT4ni, recMWxIoTKzhypjm9, recB6rQWkfFatPz6l, recET2dD9jpBy6khz, recFelk9GcFsssjtH, rec8OO4imfVW9ZciY, recBg9NOCKoCK2g2H, recjbj2e6DrgXsuCK, recj76Y71QK1lxZ64, recKT2g8jVnmreLId, rec8CxA5qRF8QFrS8, rechBlofX8urUhlyO, receitbeSNiGHsXox, recrGFQnryC9xBzdI, recRg88c0rskvYItT, rec2k1Kp3Rq5eWKyY","[""Very Poor"", ""Poor"", ""Average"", ""Good"", ""Excellent""]",recm1sVsfEm9YuCyL,"{""Very Poor"": 1, ""Poor"": 2, ""Average"": 3, ""Good"": 4, ""Excellent"": 5}"
recqs2KSWZVLchVHj,2025-09-02T15:21:35.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-06T00:57:37.000Z,,,Free Text Response,RO-FREE-TEXT,"recGx7s85lg2hw7jM, recQDBrHIfb4CNhya, rec4F984q7ss5Jt8H, recnvFGkVfdnEjPPW, recPzKzMOxQ0OOLF2, rec43EnoU5fsPyZZ3, recdQlZp5tQIf4Xtz, recQWc0CWEOKSyaTL, rec4YAnlppuHKhwc2, recp3viG9S8VxPAv4, recE5sJgXMcq1ZjSw, recNCkxFk1YmhC1s0, recKoZwRSgJBsQv6q, receTbdNWeIBLRv5d, recC9P6AnWj3kLeln, recsdLGexeiYtmLNv, recx3FwA1cTJuSmJ1, recM02isw5LQ01J3G, receLCdpRHQAT8LL2, recQvkUYqFiF0Rc1A, recE3WpF4sCgDcyys, recu8gMrLLUXxVRgi, rec2Brnk7RAKxG3Mc, rec3bcSmQ1A8kOh8J, rec1GuPQDO5qKyLM9, reclk2BQ1lgYNMss8, recOvAW10Wdje554H, recer0k4Lr7vuAmZf, recRVT38rhDVutQSt, rec8WJBiEDLT4BVqT, recWtMyU4oem0RfPM, rec01NBxx49sze0yo, recnlYOPEGCSKvX7Z, recOk5EXQY40b480r, recKdbHPpv7OBWaQ7, recIDwyvbPlHSQvgd, rec9DovqxKWIWAzvF, recjKirpFuNWUSVjv, recPejdapiDBm8uHF, receWJNHZV0VwzIQX, reclARlAKv4XqFUe5, reczvTUFK1t6qN1SJ, rectu7AdNG8QimGlj, recxadhM7cbUiAwgz, recPpp84sXeyqrU83, recsFWZ7xPf3eDk28, recUyc5lXjVNWsPwD, rec3B3kuYKEwfUvYW, rec5TQCbBon85R8gq, recVOZiCHF1WMJVh4, recOK3KJs0M9IsYb6, rec2MxOTW3RJqvBdf, reccBb2GT7OmV8fQs, recCVepSfbgfevvHW, recVuuA0sJAucKeIO, recKt2Ard8fdCmVrR, recCZeWsQcoWkt63F, receWkFpddiDQpgyD, recdQsgscxvAKTzg2, recgwZdXTeY7CYcUW, rec2vFN9bLj5uxYpM, recUEo27u0xHjGd1t, recqcSm3bmWfnFtoN, recC6a7B2HMDZ01M1, rec2IYprBg7Jiv70V, rec1BFn1cD5deFPlw, recGVFcKHHPJefJxw, rec6lDBNXwFLE0lFU, recge6lFwIhGwU1Uz, recfwLOULHD0gs3es, recvpt4tCVVRslLsz, recKMJDYYBoFerZrj, recvo2jYtt3ZSNYTj, recyoYasMvpB50sX2, rec6siHdse7CdDYdO, recrnJTgLRah33vCf, recdJgw3EXnMTVMJz, rec9FxMFAxODDwjmJ, recYVYT7xBCMevGym, rec8nQy3bKFz8qCNY, recxiFmzL0fg4tMnB, recEDL3crJiX4lYqy, recFa6F3koV8E1iht, reczT4OKkgcTq79SQ, recT6HZ0CvKArTV45, recSosYJekBO7FXMp, recjmpLGcBavW8UYM, recpAgy9y4C38g0Ex, recEQ3misoHP2ryYJ, recktPNa5uRqo7BjH, recPDjosRQ250TTUq, recsZojJu2vF2CMkL, rec4uLXXjCRl3Hfku, recFRrO1FFOyL3VuG, rec4GG4DnNZLokSwC, recmTnG9f2JF7Id0h, recMP16XjPULl9IDt, recRq4tA3QcqPXapf, recCTJdkSQc2iWfue, rec1lw0CEEEl7Oj3j, recfnSuIk0eKxsUIr, recvNC4iQtdJMDSOl, recaUVHQjfEDrnmZg, reczICCPfAYJP2Hkr, recV58ryyaTXXdNMr, rec3qIJiQx96YXQ1q, recB1bTOp9Qr4OWQ5, recWgW0LUXMxg4LBm, recPw4ZMz8skck6ds, recN7Oj8lbFhUPa6x, recxK3nICaVRifgUL, rec61tWYwRWtpDoB2, rec50qaFrVjlHXhIW, recg3ntSG89GUqOUb, recGs7qTMsh7Fd2hY, recW1R1WBO34si45V, rec4Ak1hHqrdOvMxY, rec1mGetUQhiHD1E8, reckrfWuAByJrgY0I, receuiT7LNjxyxOYP, reczZ3dbXPHoOi4Wf, recoo0xCmQuPcijzM, reccjCONNY6RgmZOx, recFpkGz8O3H3Qtvo, recRN721j0Dyc6wwa, recmw1kDKIEO5i3wL, rec4a4Pc1b8dl6xgS, recLKRVqey4Cl4WWw, recStIq3GYUVdnMd3, recW6rp9aTGlJsKFV, recXeQXdTBNhobKCa, recZoL6AmG0q1h8W8, recPudgvIfNO7sWRu, recjwRspvfZJ1C5ag, rectY9SK9tiXl5uKr, recq5F2MdwPTGN1Dt, recP85c6uljwkPZcY, rec4qdPTc0wM0q884, recOcWsYwWZyp4vPX, recqdpPANLvtWdZ0F, recDNmQ5u0eo1MjuH, recroIO6qTSQAUfxq, rec9OFWVWxVTNR4Oo, rechtkS4RGLNxyZBy, recIRXZIFW3VhP1DC, reckNTO8jPGdjIFJk, recAuq1d92wYrX8Qm, recPfcUbAPKKxrJPQ, recf53mPZpzX3zRaR, recd7tqTlPWOAFVnD, recnyA53SKDrLb6OK, recCMuG3wgOQ65LfD, recKnpnBTHZycfdG8, rec0GigB67X26iJrb, rec1VVWAZKXz0YbSB, recwIrguICPivyBM0, rec8Rq81mdhwUXyWd, recoPyOoW9dLqUScq, recGEQ5xPNM6IsJb0, rec0m5naGzdyi0Vnz, recTVA4RofK5ojqRC, recu9ekwrYwuyKvuc, recO6dQaiqdKOY9fl, recl7ND4k1Y51nOLr, rec5d5bBV6kKiB09a, reccmCDJb9SplJWgt, recJU11kXqPwvKeAn, recgzgHX8U96p3C4K, reclgqBF0U95CxmMn, reca4Fb5TfbcKPkIm, recWZc6De7vyK2ZT7, recUvqVrvsU882ppd, rec6yPHlr6hTJakt0, recqoyEJEmXZkfyiN, recfC1ERTZqNCYkdM, rect10gzytcdzjOTd, recvcjHVIRitSd9fs, recYRDwHGccOjq4T1, rec7dzb0NshiwTTwd, recnOIkWSXEkC1oXK, recHv0E7MIAkLMUdx, recAaUq1Ak7iYW9mZ, rec6ZWABwYWfwhtpJ, recAnCnDXigQU1Gnz, rectqNxY5YDDSiPvY, recsnZ8knaLul8oEp, recsbxLiCwua4Yo5t, recpnQWbXfXKmMYxZ, receNhxo3FsaxY0mZ, recZTj1jEtH0jaeyb, recXS6QUrgas5Nes5, recNTUiS8H46C2oFt, rechlizwj8QhoMnj1, recKEKp34BL5cM6ip, reccwftLE6Z2nHBbz, recFkXuiLU0d3E1MU, recRMnKGsP5MlK0zz, recY6JyGNdNVODJlD, rec3nlzKIOJ9JL0sB, recymZBe983uBH71a, recw6w8mxh6otMfpd, rec4zUbLqbTX2uisE, rec1VRU7tMBe7MOT9, recviYvLiSppRgF4X, rec52GJV7xAzoNp5m, recveaZyV3CilSOAA, recCQuwkgx8KI56Td, recD82TVtyoRrUzYt, recVku70TWJabkAsQ, recXmbgA9Wq3wYXgt, rechpTqfSGBjMj52C, recpKPo0IfPtPWY1o, recJoK0qMOaWLKCeo, recgOTiIAw9uaNslg, recO7Vzh0VZRwJfwq, recnWYql470oaWphc, recozWYZyrXBFagvy, reccQeZ92V8w6nXJ8, recZxNIfoWAVbl26W, reclMzAQzemApZHcz, recJsNFhDjvYs6MCp, rec805vY51iC0xw2U, recXJu2fohBg7hdWs, recgWEl0bfeqjzd6r, recXHAh63fLKuxBFY, recuSRN3CJKKZoIxc, rec9qNw0t8uVhtKw1","[""Open text response""]",rec9FbWNUm7CjzB5A,"{""qualitative_analysis"": true}"
rechG6IQ6nuuxBML4,2025-09-02T15:21:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T18:34:32.000Z,,,Nutrition Barriers,RO-NUTRITION-BARRIERS,,"[""I forgot"", ""Don't like the taste"", ""Too expensive"", ""Takes too much time to prepare"", ""Hard to find when eating out"", ""Family/household doesn't like it"", ""Don't know how to prepare it"", ""Causes digestive issues"", ""Hard to find convenient options"", ""Other""]",recwKcnMBUHT535rJ,"{""analysis_only"": true, ""multiple_select"": true}"
rec9wxNzkCfrd8Zij,2025-09-02T15:21:47.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T18:34:36.000Z,,,Exercise Barriers,RO-EXERCISE-BARRIERS,,"[""No time"", ""Too tired"", ""Lack of motivation"", ""Physical discomfort/pain"", ""Don't have equipment/gym access"", ""Weather prevented it"", ""Work schedule conflicts"", ""Family responsibilities"", ""Don't know proper form/technique"", ""Self-conscious about exercising"", ""Other""]",recwKcnMBUHT535rJ,"{""analysis_only"": true, ""multiple_select"": true}"
recmyP7qq7w1R6UhC,2025-09-02T15:21:52.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T18:34:38.000Z,,,Sleep Barriers,RO-SLEEP-BARRIERS,,"[""Work schedule conflicts"", ""Stress/racing thoughts"", ""Screen time before bed"", ""Uncomfortable sleep environment"", ""Partner/household noise"", ""Caffeine too late in day"", ""Large meals before bed"", ""Physical discomfort/pain"", ""Bathroom trips during night"", ""Worry about getting enough sleep"", ""Other""]",recwKcnMBUHT535rJ,"{""analysis_only"": true, ""multiple_select"": true}"
rec5Xo08OXyd25w3f,2025-09-02T15:21:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T18:34:39.000Z,,,Supplement Barriers,RO-SUPPLEMENT-BARRIERS,,"[""I forgot"", ""Too expensive"", ""Side effects"", ""Hard to swallow pills"", ""Don't like the taste"", ""Ran out and haven't restocked"", ""Traveling made it difficult"", ""Unsure about timing with meals"", ""Concerned about interactions"", ""Don't see benefits yet"", ""Other""]",recwKcnMBUHT535rJ,"{""analysis_only"": true, ""multiple_select"": true}"
recrNgUoApgFujEUT,2025-09-02T15:22:04.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T18:35:05.000Z,,,Mental Health Barriers,RO-NUTRITION-BARRIERS,,"[""Too stressed/overwhelmed"", ""Lack of motivation"", ""Forgot to do it"", ""Don't have a routine yet"", ""Interruptions/distractions"", ""Don't see immediate benefits"", ""Self-consciousness"", ""Work demands"", ""Family obligations"", ""Don't know the right technique"", ""Other""]",recwKcnMBUHT535rJ,"{""analysis_only"": true, ""multiple_select"": true}"
recw1jueeL3duWjQJ,2025-09-02T15:22:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T18:35:05.000Z,,,Fiber Strategies,RO001-Fiber-Strategies,"recIXfX6dWae2hscq, rec5IwiY6905zn6jM, recu96vd0HQZuDeX4","[""Added beans/lentils to meals"", ""Started eating oatmeal or high-fiber cereal"", ""Increased vegetable portions"", ""Added ground flaxseed or chia seeds"", ""Chose whole grain bread/pasta"", ""Ate more fruits with skin"", ""Added fiber supplement"", ""Meal prepped fiber-rich foods"", ""Found fiber-rich snacks I enjoy"", ""Made smoothies with high-fiber ingredients"", ""Other""]",recwKcnMBUHT535rJ,"{""analysis_only"": true, ""multiple_select"": true}"
recpFsPitMCWEQXmS,2025-09-02T15:45:12.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-04T18:35:05.000Z,,,Healthy Fat Strategies,RO002-Fat-Strategies,"recsM34gDfX205Z3Z, reca9qDP7MbDfPz57","[""Switched to olive oil for cooking"", ""Added avocados to meals"", ""Started eating nuts as snacks"", ""Chose fatty fish like salmon"", ""Used nut butters instead of regular butter"", ""Added seeds to salads/yogurt"", ""Replaced butter with olive oil in recipes"", ""Chose olives as appetizers"", ""Used tahini or other seed butters"", ""Read labels to avoid trans fats"", ""Other""]",recwKcnMBUHT535rJ,"{""analysis_only"": true, ""multiple_select"": true}"
