record_id,count_intake_markers_raw,count_intake_metrics_raw,count_survey_questions,created,created_by,intake_markers_raw,intake_metrics_raw,last_modified_by,last_modified_time,marker_metric_total,normalized_weight,question_complex_count,question_complex_questions,question_from_survey_questions,raw_weight,survey_questions,survey_total
recrt6otirVhKkey2,0,0,0,2025-06-19T23:06:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T18:25:02.000Z,0,0,0,,,0,,0
rechloE7wg1lViYIc,0,0,0,2025-09-11T19:31:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:31:18.000Z,0,0.004149377593360996,0,,,1,,0
recMO49C0KicCSKZi,2,1,0,2025-06-19T14:24:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","reckGxzoaJGEmBptC, reccHPJ5bLiHkc845",recLuAlDIETnvUUtO,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-19T16:13:27.000Z,6,0.008298755186721992,0,,,2,,0
recBCoZ7adSB2SMEG,4,3,0,2025-06-19T14:24:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recVAfZIHmVof1Bmj, recC0mB1LyNGjDyld, recL8dpnjNSzBJp2L, recX6IiQRem8pQ14z","recyKRTIlX4Jux2W0, recELBnyZAf0mIQH6, recSy02sgRnjfOkHE","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:15:09.000Z,21,0.012448132780082987,1,4.16,,3,,3
recMMWKPsfjF22pK1,4,2,0,2025-06-19T14:24:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recTTucmjMGfWunuf, recx8nMW7TjR18ZJv, recPiW3K4dhWi31Xh, recdABLj65LlSCrvr","recVHWlB26jWt9Ij9, recbIfUESzC18eAIL","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:15:26.000Z,24,0.016597510373443983,1,4.18,,4,,4
recaTtKHhlxnmfaKw,2,1,1,2025-06-19T14:24:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","rec7uKDm1ll1XGOqk, recwtXkPSEQgyddmt",reccxH7AESy9vvBPo,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:15:39.000Z,15,0.02074688796680498,3,"4.13, 4.14, 4.19",How often do you feel rested and refreshed upon waking up?,5,recjiAMwSDvNonKIb,20
reclh0GVDSjBIwN3h,2,1,1,2025-06-19T14:24:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recbYuWTuZJPZwFNc, recmyyZam7oYaGnDd",recqea20SA5Y5BaIw,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:15:20.000Z,18,0.024896265560165973,1,4.17,What time do you typically consume your last caffeinated beverage?,6,reco4YYRUThFO2AmT,12
rec93YqXxKoxzaBve,0,2,0,2025-06-19T14:26:15.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"rec8o1wlo0olBMl8A, recXiq3Os05QJJki4","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-29T21:23:55.000Z,14,0.029045643153526972,1,4.19,,7,,7
rec1LMOsPm2DqaIQR,0,0,1,2025-06-19T14:27:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-23T14:41:43.000Z,0,0.03319502074688797,0,,How consistent is your sleep schedule?,8,recTHBPzuvxceAMkK,8
recAlhcyjRlicAIVr,0,0,0,2025-06-19T14:27:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:17:17.000Z,0,0.03734439834024896,1,4.07,,9,,9
