record_id,age_max,age_min,age_range,calculated_metrics_vfinal,created,created_by,display_name,gender,interval_months,is_active,last_modified_by,last_modified_time,risk_level,screening_type,screening_type_raw,short_description
recOusYBDomks9f3i,150,0,all,recjbSWMBqWaynFJQ,2025-09-11T17:35:38.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Dental Exam in the Last 6 Months,male_female,6,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T18:32:04.000Z,avg,dental_male_female_0_150_avg,dental,Bi-Annual Dental Exam
recVYfl3IALJajXwV,150,0,all,recmEwolBmYixKs71,2025-09-11T17:35:43.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Physical in the Last 12 Months,male_female,12,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T18:32:05.000Z,avg,physical_male_female_0_150_avg,physical,Annual Physical
recAoMQuj35a1kR07,150,0,all,recmj64n7Kbt7c66T,2025-09-11T17:35:48.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Skin Check in the Last 12 Months (avg risk),male_female,12,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T18:32:06.000Z,avg,skin_check_male_female_0_150_avg,skin_check,Annual Skin Check (avg risk)
reccu2NtQnO5LGgbf,150,0,all,recfwGl0541VuBYDx,2025-09-11T17:35:55.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Skin Check in the Last 6 Months (high risk),male_female,6,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T18:32:07.000Z,high,skin_check_male_female_0_150_high,skin_check,Bi-Annual Skin Check (high risk)
recL9QYyDNEUMBNf8,150,0,all,recnFPsFwhY5iwRM5,2025-09-11T17:36:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Vision Check in the Last 12 Months,male_female,12,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T18:32:08.000Z,avg,vision_check_male_female_0_150_avg,vision_check,Annual Vision Check
recG7lAXaLW9kQDvT,150,0,all,recnrCnZw0eLsTrqh,2025-09-11T17:36:10.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Colonoscopy in the Last 10 Years (avg risk),male_female,120,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T18:32:08.000Z,avg,colonoscopy_male_female_0_150_avg,colonoscopy,10-Year Colonoscopy (avg risk)
rec12C4kKAcpfxh5M,150,0,all,rec6XqppkTF35stEV,2025-09-11T17:36:15.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Colonoscopy in the Last 5 Years (high risk),male_female,60,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T18:32:09.000Z,high,colonoscopy_male_female_0_150_high,colonoscopy,5-Year Colonoscopy (high risk)
reciPlqpBVaIsu2Uj,49.9,0,under_50,recpihoFk1Oil2Zj0,2025-09-11T17:36:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Mammogram in the Last 24 Months (under 50),female,24,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T18:29:23.000Z,avg,mammogram_female_0_49.9_avg,mammogram,2-Year Mammogram (avg risk under 50)
rec1y225wyyGuIlBY,150,50,over_50,recActJ3sF8kbburU,2025-09-11T17:36:24.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Mammogram in the Last 12 Months (over 50),female,12,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T18:32:10.000Z,avg_high,mammogram_female_50_150_avg_high,mammogram,Annal Mammogram (avg risk over 50)
rec4vC4HBszJ1BoKx,49.9,0,under_50,reco96aJYzJadCR5x,2025-09-11T17:36:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Mammogram in the Last 12 Months (high risk under 50),female,12,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T18:29:25.000Z,high,mammogram_female_0_49.9_high,mammogram,Annal Mammogram (high risk under 50)
