record_id,count_intake_markers_raw,count_intake_metrics_raw,count_survey_questions,created,created_by,intake_markers_raw,intake_metrics_raw,last_modified_by,last_modified_time,marker_metric_total,normalized_weight,question_complex_count,question_complex_questions,question_from_survey_questions,raw_weight,survey_questions,survey_total
rec7ckkjxKr22flyX,0,0,0,2025-06-19T23:06:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T18:25:18.000Z,0,0,0,,,0,,0
recfkNTMgYAtZkUOl,0,0,0,2025-09-11T19:29:49.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:30:02.000Z,0,0.003436426116838488,0,,,1,,0
recY8TvLsdAM17wyx,2,0,0,2025-06-19T14:25:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recPDAl8akGkZng3A, rec4HrV6IpswwrF1u",,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-08-28T17:41:09.000Z,4,0.006872852233676976,0,,,2,,0
rec40qrXPLlZpzAtm,7,2,0,2025-06-19T14:25:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recTTucmjMGfWunuf, recL8dpnjNSzBJp2L, rec93yl8sjy6vTsht, rec6V13cha6oovOXX, recUzK4L9enpnuWG8, recHikXLmHS0a08lF, recntmFnf3bSSe2DB","recyKRTIlX4Jux2W0, recSy02sgRnjfOkHE","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-08-28T17:47:18.000Z,27,0.010309278350515464,0,,,3,,0
reck8h1Eg5NLE9w4W,6,5,0,2025-06-19T14:25:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recbYuWTuZJPZwFNc, rec7uKDm1ll1XGOqk, recf4HtvFUqMhyhdh, recdABLj65LlSCrvr, recStFWPU3NCH9loj, recZd7qSsYU2dqSw0","recVHWlB26jWt9Ij9, recbIfUESzC18eAIL, reccxH7AESy9vvBPo, recLuAlDIETnvUUtO, recELBnyZAf0mIQH6","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-19T16:13:37.000Z,44,0.013745704467353952,0,,,4,,0
reclYzyB1aK4JypqD,6,0,0,2025-06-19T14:25:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","reckGxzoaJGEmBptC, recVhxrj1lPj9iYBc, recC0mB1LyNGjDyld, recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recAm1sha0xsNnVoG",,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-19T14:50:07.000Z,30,0.01718213058419244,0,,,5,,0
reco8FZNxCU4Bk64q,2,3,0,2025-06-19T14:25:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","recPiW3K4dhWi31Xh, reccHPJ5bLiHkc845","rec8o1wlo0olBMl8A, recXiq3Os05QJJki4, recqea20SA5Y5BaIw","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-08-28T17:41:11.000Z,30,0.020618556701030927,0,,,6,,0
reckAdXCw7GDiDxQx,0,0,0,2025-06-19T14:26:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T19:24:58.000Z,0,0.024054982817869417,1,6.07,,7,,7
recnnpe2LdHAM3Csy,1,0,0,2025-06-19T14:25:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recwtXkPSEQgyddmt,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-19T14:50:07.000Z,8,0.027491408934707903,0,,,8,,0
recoqgOfoEQo6zcH3,0,0,0,2025-06-19T14:27:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-06-23T16:26:03.000Z,0,0.030927835051546393,0,,,9,,0
