record_id,ID,calculated_metrics_vfinal,cognitive_health_weight,conditional_note,connection_purpose_weight,core_care_weight,created,created_by,dependent_on_not_selected,dependent_on_selected,from_field_include_responses_not_selected_from,from_field_include_responses_selected_from,group_id,healthful_nutrition_weight,implementation_issue_detail,implrmentation_issue,include_responses_not_selected_from,include_responses_selected_from,last_modified,last_modified_by,movement_exercise_weight,pillar,pre_fill,question,response,restorative_sleep_weight,score,screening_compliance_matrix,section,section_number,section_question_order,show_if_not_selected,show_if_selected,stress_management_weight,survey_response_options,total_weight_pillar_agnostic,type
rec8ZCAHLZ9Zj6YtG,1.01,,,,,,2025-06-10T18:13:42.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,recdorXEQnFC3mdaM,recZjPoIybJlYq5qA,focus-areas,,,,,,2025-09-17T21:39:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"recOT0nP41iwVDLKR, recgGEypX3ghJay5R, rec6QXhDyyqwyuLdd, recp0marLNu65GGhd, reclbVFCBWmPyvvhP, recIdXMUiA9tWGVL8, recWHZ0F3RQskqHtH",,"Which of the following areas of your health and longevity are you most interested in improving right now (select all that apply)?
","Healthful Nutrition, Movement and Exercise, Restorative Sleep, Stress Management, Cognitive Health, Connection and Purpose, Core Care (proactive and preventative care), Substance Use, Supplement Use",,"0, 0, 0, 0, 0, 0, 0, 0, 0",,Overview,1,1,,,,"rec5cKmKZjuNmUUXK, recjmWilmcG64snKY, recx5XUDpkD4H5DjD, recswU44RGweEu5Ni, recqJAGGwdpC9bUhd, recmsDMNFwvazhvkm, recC3Wt9YlO73gt2T, receuRWzp9kpT8lGU, receCI9D61NE6NykX",0,multi-select  
recdorXEQnFC3mdaM,1.02,,,,,,2025-06-10T18:13:42.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,,,focus-areas,,Rank logic not built,True,rec8ZCAHLZ9Zj6YtG,,2025-09-17T21:39:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"recOT0nP41iwVDLKR, recgGEypX3ghJay5R, rec6QXhDyyqwyuLdd, recp0marLNu65GGhd, reclbVFCBWmPyvvhP, recIdXMUiA9tWGVL8, recWHZ0F3RQskqHtH",,"Which of the following areas of your health and longevity are you NOT interested in focusing on initially (select all that apply)?
","Healthful Nutrition, Movement and Exercise, Restorative Sleep, Stress Management, Cognitive Health, Connection and Purpose, Core Care (proactive and preventative care), Substance Use, Supplement Use",,"0, 0, 0, 0, 0, 0, 0, 0, 0",,Overview,1,2,,,,"recsu2NGvuAP70i8f, recQx8OmRIvqLbFxt, recSqQf16ZQAYHxIK, rec1dwnbzARlZFUoC, recSJIfjD8wun1jTX, rec48QGqhhnN25DLC, recveIqdujEQartd3, recoN1TduBsYsOsbH, recXpXtUHVzWitlI2",0,multi-select  
recZjPoIybJlYq5qA,1.03,,,,,,2025-06-10T18:13:42.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,,,focus-areas,,Rank logic not built,True,,rec8ZCAHLZ9Zj6YtG,2025-09-17T21:39:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"recOT0nP41iwVDLKR, recgGEypX3ghJay5R, rec6QXhDyyqwyuLdd, recp0marLNu65GGhd, reclbVFCBWmPyvvhP, recIdXMUiA9tWGVL8, recWHZ0F3RQskqHtH",,"Please rank your selected focus areas in order of personal importance.
",Rank,,0,,Overview,1,3,,,,recbsMZNRK05UhOcu,0,rank
recNhMQvucOA0MgLG,1.04,,,,,,2025-06-10T18:25:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,,,motivation,,,,,,2025-09-17T21:39:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"recOT0nP41iwVDLKR, recgGEypX3ghJay5R, rec6QXhDyyqwyuLdd, recp0marLNu65GGhd, reclbVFCBWmPyvvhP, recIdXMUiA9tWGVL8, recWHZ0F3RQskqHtH",,"What motivates you most to prioritize your health and longevity (select all that apply)?
","Living longer to enjoy more time with loved ones, Staying mentally and physically sharp as I age, Preventing chronic disease or health decline, Looking and feeling better day to day, Performing better in fitness, work, or other goals, Other (open text prompt)",,"0, 0, 0, 0, 0, 0",,Overview,1,4,,,,"recgYrRaTTsT3KDLM, recuNcDVM4eNvuHvc, recp80FqTmimlv9ub, recFnkZpcf7pWvk2g, recsR9lWbPSR4RqrN, recWCf4nGNMRMltHR",0,multi-select  
rec3MCyKh3Dayx8zo,1.05,,,,,,2025-06-10T18:25:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,,,motivation,,,,,,2025-09-17T21:39:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"recOT0nP41iwVDLKR, recgGEypX3ghJay5R, rec6QXhDyyqwyuLdd, recp0marLNu65GGhd, reclbVFCBWmPyvvhP, recIdXMUiA9tWGVL8, recWHZ0F3RQskqHtH",,"How do you prefer to stay motivated or held accountable (select all that apply)?
","Friendly nudges or reminders, Educational content to explain “why”, Physician messages or check-ins, Challenges or goal tracking, Social comparison (leaderboards, rankings), Encouragement or supportive feedback, Competition or gamification elements, Journaling or self-reflection, Other",,"0, 0, 0, 0, 0, 0, 0, 0, 0",,Overview,1,5,,,,"recUGVcvN7pzpxK7J, recLJXLTdIVuzCCeI, recBRMqtGTUZxuuF0, recn0btPgdLUBcXnt, rec3HXmZ1m4FYHcAt, recXPx3NFq25q32YH, recMWNJIbGfo9zxXd, recby8S06ulTGcAQO, recFDl9leX4Vfx2tW",0,multi-select  
reczsgNcRp9jMQtZ1,1.06,,,,,,2025-06-10T18:25:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,,,longevity-goals,,,,,,2025-09-17T21:39:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"recOT0nP41iwVDLKR, recgGEypX3ghJay5R, rec6QXhDyyqwyuLdd, recp0marLNu65GGhd, reclbVFCBWmPyvvhP, recIdXMUiA9tWGVL8, recWHZ0F3RQskqHtH",,"Please describe your personal health goals or longevity aspirations.
",[free response],,0,,Overview,1,6,,,,reci8bgmwHBjK8zFQ,0,free-response
reclbnElAkc59UG9J,2.01,,,,,,2025-06-10T18:25:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,,,general_diet,,,,,,2025-09-17T21:39:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"How would you characterize your typical daily diet?
","Very healthy, Moderately healthy, Unhealthy",,"10, 6, 2",,Nutrition and Diet,2,1,,,,"recdOW0jBSxGyOVH4, recTyAv5bvgohpDIs, recP3mpLDaqs5HCEZ",0,single-select
recmvOxxdX3g7KfYV,2.02,,,,,,2025-06-19T01:40:47.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,,,general_diet,,,,,,2025-09-17T21:39:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"Do you currently follow any specific dietary pattern or have any dietary restrictions?
","Vegan (no animal products), Vegetarian (no meat, may include dairy/eggs), Pescatarian (includes fish, no other meat), Gluten-free, Dairy-free, Kosher, Halal, Low-carb/Keto, Paleo, Intermittent fasting, No restrictions, Other (please specify)",,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,Nutrition and Diet,2,2,,,,"recBSJ9na3jB2zjpL, rec80KQ3aDbY4h82s, reck5QJgHM6ZzvuZg, rec0nyOpL0W9pHRZ1, recKUiEth5lhSrlAD, recGy2TVAYHiXLth8, reclziNvepstOvDzh, recOnbYVyKgO8gYzI, recErvLsbpSIxp3Tp, recjSQ6IZB5J3hcqB, recB4CsEobsw03cqF, recDY9AO7k5y7WXTp",0,single-select
rec0kjPRRttBlPtbN,2.03,recGpA90JnwA5Lwwi,,,,,2025-06-10T18:25:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,,,,general_diet,recEjiAD2JY78ffJ7,,,,,2025-09-18T12:28:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"How many full meals do you typically eat per day?
","2, 3, 4 or more, ≤1",,"5, 10, 10, 0",,Nutrition and Diet,2,3,,,,"reckkcdfpMufEVksx, recWm5WrMWtozevsu, recmyGeAyLQ12HlRc, recXAjjWYrb4HkVXQ",6,single-select
recKASmdaJfuQtfqz,2.04,,,,,,2025-06-13T19:50:22.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,"recXAjjWYrb4HkVXQ, reckkcdfpMufEVksx",,,general_diet,,Multi-response condition logic not built,True,,,2025-09-17T21:39:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,recgGEypX3ghJay5R,,"Would you consider adjusting your meal structure in support of your longevity goals?
","Yes - actively working on it, Yes - open to trying, Maybe - need more information, Not now, but maybe in the future, No",,"10, 8, 6, 4, 2",,Nutrition and Diet,2,4,,"≤1, 2",,"recH2FB6FYtM4i4h3, recOvXpVmg4qpkLR3, recYCTzHS29KFEZUa, recC9fcucJXkc6oeT, rec30aX51C2h5yiv6",0,single-select
