record_id,calculated_metric,cognitive_health_weight_from_linked_survey_question,connection_purpose_weight_from_linked_survey_question,contraindications,core_care_weight_from_linked_survey_question,created,created_by,healthful_nutrition_weight_from_linked_survey_question,id,last_modified,last_modified_by,linked_survey_question,movement_exercise_weight_from_linked_survey_question,question_from_linked_survey_question,recommendation_nulls,recommendation_triggers,response,response_order,restorative_sleep_weight_from_linked_survey_question,score,section_number_from_linked_survey_question,section_question_order_from_linked_survey_question,stress_management_weight_from_linked_survey_question,survey_question_trigger_not_selected,survey_question_trigger_selected,total_weight_pillar_agnostic_from_linked_survey_question
rec5cKmKZjuNmUUXK,,,,,,2025-06-10T18:49:42.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.01-1,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec8ZCAHLZ9Zj6YtG,,Which of the following areas of your health and longevity are you most interested in improving right now (select all that apply)?,"recMV3jzfb4sKW5vY, receDJo2S8FqzNOrm, recnSEMu0buoaCSvm, rec3vdJyRz5x9yYJ6, recMWhvrT57rQOSyU, recTnxfnpWuWO6CRg, recGXWM4L7vUbxfCd, recMEPqal9VglyK6U, rechz1JGiQJCv9YJo, recCqwYvk7o9NLZye",,"Healthful Nutrition
",1,,0,1,1,,,,0
recjmWilmcG64snKY,,,,,,2025-06-10T18:49:42.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.01-2,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec8ZCAHLZ9Zj6YtG,,Which of the following areas of your health and longevity are you most interested in improving right now (select all that apply)?,,,"Movement and Exercise
",2,,0,1,1,,,,0
recx5XUDpkD4H5DjD,,,,,,2025-06-10T18:49:42.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.01-3,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec8ZCAHLZ9Zj6YtG,,Which of the following areas of your health and longevity are you most interested in improving right now (select all that apply)?,,,"Restorative Sleep
",3,,0,1,1,,,,0
recswU44RGweEu5Ni,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.01-4,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec8ZCAHLZ9Zj6YtG,,Which of the following areas of your health and longevity are you most interested in improving right now (select all that apply)?,,,"Stress Management
",4,,0,1,1,,,,0
recqJAGGwdpC9bUhd,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.01-5,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec8ZCAHLZ9Zj6YtG,,Which of the following areas of your health and longevity are you most interested in improving right now (select all that apply)?,,,"Cognitive Health
",5,,0,1,1,,,,0
recmsDMNFwvazhvkm,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.01-6,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec8ZCAHLZ9Zj6YtG,,Which of the following areas of your health and longevity are you most interested in improving right now (select all that apply)?,,,"Connection and Purpose
",6,,0,1,1,,,,0
recC3Wt9YlO73gt2T,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.01-7,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec8ZCAHLZ9Zj6YtG,,Which of the following areas of your health and longevity are you most interested in improving right now (select all that apply)?,,,"Core Care (proactive and preventative care)
",7,,0,1,1,,,,0
receuRWzp9kpT8lGU,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.01-8,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec8ZCAHLZ9Zj6YtG,,Which of the following areas of your health and longevity are you most interested in improving right now (select all that apply)?,,,"Substance Use
",8,,0,1,1,,,,0
receCI9D61NE6NykX,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.01-9,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",rec8ZCAHLZ9Zj6YtG,,Which of the following areas of your health and longevity are you most interested in improving right now (select all that apply)?,,,"Supplement Use
",9,,0,1,1,,,,0
recsu2NGvuAP70i8f,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.02-1,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recdorXEQnFC3mdaM,,Which of the following areas of your health and longevity are you NOT interested in focusing on initially (select all that apply)?,"rec51TDeLYX6vOI1v, recj4S8iGZ5mXx4NS, recu8nVY5FrP2YCVR, recHzb6cKfnSgyEzu, rec949y9L8RuJ25yP, recIRf5TBEMboKqVm, recMfTk8ITmrFJowR, recz8gAMEHUAYrsVo, recvv2HVgKwsoHdQD",,"Healthful Nutrition
",1,,0,1,2,,,,0
recQx8OmRIvqLbFxt,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.02-2,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recdorXEQnFC3mdaM,,Which of the following areas of your health and longevity are you NOT interested in focusing on initially (select all that apply)?,"recyCjSxWdLGZfHwI, recqj8q9IIWoThFkG, recx4JdeaTZgIVoZ3",,"Movement and Exercise
",2,,0,1,2,,,,0
recSqQf16ZQAYHxIK,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.02-3,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recdorXEQnFC3mdaM,,Which of the following areas of your health and longevity are you NOT interested in focusing on initially (select all that apply)?,"recbbFVlKZwQNf0EX, recXuOWpl8orK06ul, recrAMEvn6TQqpIMf",,"Restorative Sleep
",3,,0,1,2,,,,0
rec1dwnbzARlZFUoC,,,,,,2025-06-10T19:01:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",,1.02-4,2025-09-17T23:00:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",recdorXEQnFC3mdaM,,Which of the following areas of your health and longevity are you NOT interested in focusing on initially (select all that apply)?,,,"Stress Management
",4,,0,1,2,,,,0
