record_id,age_max,age_min,category,created,created_by,gender,last_modified_by,last_modified_time,overview,recommendation_text,therapautics_matrix,therapautics_matrix_2,therapautics_matrix_3,therapeutic,therapeutic_dose_max,therapeutic_dose_min,therapeutic_dose_rollup,therapeutic_frequency_days,therapeutic_operator,therapeutic_timing,therapeutic_type,therapeutic_unit,therapeutic_unit_symbol
recgOhYbPnAWgStgv,150,21,Supplement,2025-09-27T16:06:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Essential fatty acids for cardiovascular and cognitive health,"Take 2,000-4,000mg of an Omega-3 supplement (DHA/EPA) with meals daily for cardiovascular health, cognitive function, anti-inflammatory effects, and cellular membrane integrity
",recD426nXwApna9E0,,,Omega-3,4000,2000,2000-4000 mg,1,<>,With meals,SUP,recBxCQOAdMmOV1Hi,mg
recSXNCmUTO804lJa,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,"Fat-soluble vitamin for bone health, immune function","Take 2,000-5,000 IU of Vitamin D3 with meals daily for bone health, immune function, hormone optimization, and reduced cancer risk
",recFdPkG1F9TcwMiY,,,Vitamin D3,5000,2000,2000-5000 IU,1,<>,With meals,SUP,reckRwscLvoAzsWmA,IU
reckETF5u6O9mry3L,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,"Essential mineral for muscle, nerve, and bone health","Take 400-800mg of Magnesium before bed daily for muscle function, sleep quality, stress reduction, bone health, and cardiovascular protection
",recqKzD1KpCxZk4ry,,,Magnesium,800,400,400-800 mg,1,<>,Before bed,SUP,recBxCQOAdMmOV1Hi,mg
rec70sd7Ac5gw2ab6,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Energy metabolism enhancer for muscle performance,"Take 3-5g of Creatine Monohydrate at any time daily for muscle preservation, cognitive enhancement, cellular energy production, and neuroprotection
",recsE0RKbgzugZfPh,,,Creatine Monohydrate,20,3,3-20 g,1,<>,Any,SUP,recBuF3n8IQ2v0Io8,g
recIxb2g2Bt22ey8n,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Dietary protein supplement for muscle synthesis,"Take 20-40g of Protein Powder at any time daily for muscle protein synthesis, satiety, metabolic support, and healthy aging
",recQaZVJXPAHgLTHm,,,Protein Powder,40,20,20-40 g,1,<>,Any,SUP,recBuF3n8IQ2v0Io8,g
recCgJSKzhLgj15gU,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Antioxidant for mitochondrial function and heart health,"Take 200-600mg of CoQ10 with meals daily for mitochondrial function, heart health, antioxidant protection, and cellular energy production
",reckfFHaqSYeC3nhg,,,Coenzyme Q10,600,200,200-600 mg,1,<>,With meals,SUP,recBxCQOAdMmOV1Hi,mg
recRpPGdQJfBdzEJF,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Soluble fiber for digestive health and cholesterol,"Take 10-25g of Psyllium before meals daily for digestive health, cholesterol reduction, blood sugar control, and gut microbiome support
",recLSE9drrQavNmkC,,,Psyllium,25,10,10-25 g,1,<>,Before meals,SUP,recBuF3n8IQ2v0Io8,g
rec9ak6whD6tgx7EK,150,21,Supplement,2025-09-27T17:12:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Prebiotic soluble fiber for gut microbiome health,"Take 8-12g of Inulin with meals daily for gut microbiome optimization, prebiotic support, digestive health, blood sugar control, and systemic inflammation reduction
",recFE14qL0S8sFnSB,,,Inulin,12,8,8-12 g,1,<>,With meals,SUP,recBuF3n8IQ2v0Io8,g
reckrfgH3SWyq4JJL,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Comprehensive vitamin/mineral combination,"Take 1 high-quality Multivitamin with meals daily to cover nutritional gaps and support overall health and longevity
",recVfuxjbDBkPwulN,,,Multivitamin,1,1,1-1 pack(s),1,<>,With meals,SUP,recDNemn7k3QA5HOk,pack(s)
recL4lAWRj5wUp5IR,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Essential mineral for oxygen transport,"Take 8-18mg of Iron on empty stomach daily (if deficient) for oxygen transport, energy production, and cognitive function
",recDWfOeF8XHqTgnp,,,Iron,18,8,8-18 mg,1,<>,Empty stomach,SUP,recBxCQOAdMmOV1Hi,mg
recF3rHFoy1qTep0s,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Water-soluble vitamin for neurological function,"Take 500-2,000mcg of Vitamin B12 in the morning daily for neurological function, energy metabolism, DNA synthesis, and cognitive health
",rec2rp3fHH2YUupT9,,,Vitamin B12,2000,500,500-2000 µg,1,<>,Morning,SUP,rec0bCCIGsoIoxokH,µg
recX4xPefr2CNY97j,150,21,Supplement,2025-09-27T17:15:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Essential B vitamin for DNA synthesis and methylation,"Take 400-800mcg of Folate (as methylfolate) with meals daily for DNA synthesis, cardiovascular health, cognitive function, cellular repair, and homocysteine metabolism optimization
",,rec2rp3fHH2YUupT9,,Folate,800,400,400-800 µg,1,<>,With meals,SUP,rec0bCCIGsoIoxokH,µg
recTViLG7j4OyM1Jr,150,21,Supplement,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:26:32.000Z,Beneficial bacteria for gut microbiome health,"Take 10-50 billion CFU of a multi-strain Probiotic on empty stomach daily for gut microbiome health, immune function, and systemic inflammation reduction
",reckkSx4q3QCfv0IF,,,Probiotic,50,10,10-50 billion CFU,1,<>,Empty stomach,SUP,recqM7xXRKu5aGncY,billion CFU
