record_id,created,created_by,id,intake_markers_raw,intake_metrics_raw,last_modified_by,last_modified_time,linked_evidence,option_count,overview,primary_markers,primary_metrics,raw_impact,secondary_markers,secondary_metrics,stack_recommendation,stack_summary,tertiary_markers,tertiary_metrics,therapeutic_1,therapeutic_1_age_max,therapeutic_1_age_min,therapeutic_1_category,therapeutic_1_dose_max,therapeutic_1_dose_min,therapeutic_1_dose_rollup,therapeutic_1_frequency_days,therapeutic_1_gender,therapeutic_1_operator,therapeutic_1_overview,therapeutic_1_recommendation,therapeutic_1_timing,therapeutic_1_type,therapeutic_1_unit,therapeutic_1_unit_symbol,therapeutic_2,therapeutic_2_age_max,therapeutic_2_age_min,therapeutic_2_category,therapeutic_2_dose_max,therapeutic_2_dose_min,therapeutic_2_dose_rollup,therapeutic_2_frequency_days,therapeutic_2_gender,therapeutic_2_operator,therapeutic_2_timing,therapeutic_2_type,therapeutic_2_unit,therapeutic_2_unit_symbol,therapeutic_3,therapeutic_3_age_max,therapeutic_3_age_min,therapeutic_3_category,therapeutic_3_dose_max,therapeutic_3_dose_min,therapeutic_3_dose_rollup,therapeutic_3_frequency_days,therapeutic_3_gender,therapeutic_3_operator,therapeutic_3_timing,therapeutic_3_type,therapeutic_3_unit,therapeutic_3_unit_symbol,therapeutic_count,therapeutic_recommendation,therapeutic_summary,therapeutic_type,therapeutic_type_ref_#,title
recD426nXwApna9E0,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP001-SINGLE,"recAAuZFrdsqJW3yd, recDBJLAkc5CAfBm3, recwtXkPSEQgyddmt, recq0JX3QgFBo5mm4, recPiW3K4dhWi31Xh, recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recLJcUUTL1szyE8Z, recmyyZam7oYaGnDd, recTTucmjMGfWunuf","recLuAlDIETnvUUtO, recqea20SA5Y5BaIw, recELBnyZAf0mIQH6, recSy02sgRnjfOkHE","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:03:09.000Z,"recYNxWcaQFm2Wue0, recZS6ikCatpDMOLb, recG4YwowsxnZE00J, recuUIGlY7gK5ScGI",,"Omega-3 fatty acids reduce inflammation, lower triglycerides, and support heart, brain, and eye health. EPA and DHA lower cardiovascular risk, support cognitive aging, and help stabilize mood.","recAAuZFrdsqJW3yd, recDBJLAkc5CAfBm3",,40,"recwtXkPSEQgyddmt, recierVNozpgZdLZH, recq0JX3QgFBo5mm4, recAdUWMgWMZS3qKI, recLJcUUTL1szyE8Z, recPiW3K4dhWi31Xh, recTTucmjMGfWunuf, recmyyZam7oYaGnDd","recSy02sgRnjfOkHE, recELBnyZAf0mIQH6, recqea20SA5Y5BaIw, recLuAlDIETnvUUtO",,,,,recgOhYbPnAWgStgv,150,21,Supplement,4000,2000,2000-4000 mg,1,male_female,<>,Essential fatty acids for cardiovascular and cognitive health,"Take 2,000-4,000mg of an Omega-3 supplement (DHA/EPA) with meals daily for cardiovascular health, cognitive function, anti-inflammatory effects, and cellular membrane integrity",With meals,SUP,recBxCQOAdMmOV1Hi,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 2,000-4,000mg of an Omega-3 supplement (DHA/EPA) with meals daily for cardiovascular health, cognitive function, anti-inflammatory effects, and cellular membrane integrity",Essential fatty acids for cardiovascular and cognitive health,SUP,001,Omega-3: Supplement
recFdPkG1F9TcwMiY,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP002-SINGLE,"recmyyZam7oYaGnDd, rec7lljffINZr7vSi, recPiW3K4dhWi31Xh, recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recDBJLAkc5CAfBm3","recxJqmq5ipZMLJsj, recXiq3Os05QJJki4, rec8o1wlo0olBMl8A, recELBnyZAf0mIQH6, recSy02sgRnjfOkHE","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:10:38.000Z,"recTxQ5eLX0TvgYqM, recrfrHwRzPtJ5W77, recMePg5yjVvB1dgc, recg43VmLbp5uSF1o",,"Vitamin D3 supports bone, immune, mood, and metabolic health. Supplementation reduces risk of osteoporosis, infection, and deficiency symptoms.",,"recSy02sgRnjfOkHE, recELBnyZAf0mIQH6",40,"rec7lljffINZr7vSi, recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recPiW3K4dhWi31Xh, recDBJLAkc5CAfBm3, recmyyZam7oYaGnDd","recXiq3Os05QJJki4, rec8o1wlo0olBMl8A, recxJqmq5ipZMLJsj",,,,,recSXNCmUTO804lJa,150,21,Supplement,5000,2000,2000-5000 IU,1,male_female,<>,"Fat-soluble vitamin for bone health, immune function","Take 2,000-5,000 IU of Vitamin D3 with meals daily for bone health, immune function, hormone optimization, and reduced cancer risk",With meals,SUP,reckRwscLvoAzsWmA,IU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 2,000-5,000 IU of Vitamin D3 with meals daily for bone health, immune function, hormone optimization, and reduced cancer risk","Fat-soluble vitamin for bone health, immune function",SUP,002,Vitamin D3: Supplement
recqKzD1KpCxZk4ry,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP003-SINGLE,"recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recPiW3K4dhWi31Xh, recf4HtvFUqMhyhdh, recC0mB1LyNGjDyld, recwtXkPSEQgyddmt, recbYuWTuZJPZwFNc, recL8dpnjNSzBJp2L, recX6IiQRem8pQ14z, recLJcUUTL1szyE8Z, recmyyZam7oYaGnDd","recxJqmq5ipZMLJsj, recXiq3Os05QJJki4, rec8o1wlo0olBMl8A, recELBnyZAf0mIQH6, recSy02sgRnjfOkHE, recqea20SA5Y5BaIw","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:10:42.000Z,"rec50mpIxR4ZYKSg9, recKvSITqNCLchBqU, recBdHkYbv2njsIkC, rec46ZfA0RvwImmfK",,"Magnesium is essential for over 300 enzymatic reactions supporting muscle, nerve, bone, sleep, glucose, and blood pressure health. Supplementation improves sleep, recovery, migraines, and insulin sensitivity.",recC0mB1LyNGjDyld,"recSy02sgRnjfOkHE, recELBnyZAf0mIQH6, recqea20SA5Y5BaIw",35,"recwtXkPSEQgyddmt, recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recX6IiQRem8pQ14z, recAdUWMgWMZS3qKI, recLJcUUTL1szyE8Z, recPiW3K4dhWi31Xh, recbYuWTuZJPZwFNc, recL8dpnjNSzBJp2L, recmyyZam7oYaGnDd","recXiq3Os05QJJki4, rec8o1wlo0olBMl8A, recxJqmq5ipZMLJsj",,,,,reckETF5u6O9mry3L,150,21,Supplement,800,400,400-800 mg,1,male_female,<>,"Essential mineral for muscle, nerve, and bone health","Take 400-800mg of Magnesium before bed daily for muscle function, sleep quality, stress reduction, bone health, and cardiovascular protection",Before bed,SUP,recBxCQOAdMmOV1Hi,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 400-800mg of Magnesium before bed daily for muscle function, sleep quality, stress reduction, bone health, and cardiovascular protection","Essential mineral for muscle, nerve, and bone health",SUP,003,Magnesium: Supplement
recsE0RKbgzugZfPh,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP004-SINGLE,"recntmFnf3bSSe2DB, recwtXkPSEQgyddmt, recLJcUUTL1szyE8Z, recf4HtvFUqMhyhdh, recC0mB1LyNGjDyld, recierVNozpgZdLZH, recPiW3K4dhWi31Xh, recL8dpnjNSzBJp2L, recX6IiQRem8pQ14z","recyKRTIlX4Jux2W0, recHOTAk6Lpmb9uUz, recVHWlB26jWt9Ij9, reccxH7AESy9vvBPo, recxJqmq5ipZMLJsj, recXiq3Os05QJJki4, rec8o1wlo0olBMl8A","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:10:45.000Z,"rec1Xa5ezJi0owtmj, reciFTkZ7S2D842Ta, rec0ELKfDPIQbNkJz, rec90wZdxX6lfauzJ",,"Creatine enhances muscle mass, strength, power, and may support cognitive health in aging adults. Improves cellular energy, performance, and reduces risk of sarcopenia.",recC0mB1LyNGjDyld,,40,"recwtXkPSEQgyddmt, recntmFnf3bSSe2DB, recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recX6IiQRem8pQ14z, recLJcUUTL1szyE8Z, recPiW3K4dhWi31Xh, recL8dpnjNSzBJp2L","recVHWlB26jWt9Ij9, reccxH7AESy9vvBPo, recXiq3Os05QJJki4, recHOTAk6Lpmb9uUz, rec8o1wlo0olBMl8A, recyKRTIlX4Jux2W0, recxJqmq5ipZMLJsj",,,,,rec70sd7Ac5gw2ab6,150,21,Supplement,20,3,3-20 g,1,male_female,<>,Energy metabolism enhancer for muscle performance,"Take 3-5g of Creatine Monohydrate at any time daily for muscle preservation, cognitive enhancement, cellular energy production, and neuroprotection",Any,SUP,recBuF3n8IQ2v0Io8,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 3-5g of Creatine Monohydrate at any time daily for muscle preservation, cognitive enhancement, cellular energy production, and neuroprotection",Energy metabolism enhancer for muscle performance,SUP,004,Creatine Monohydrate: Supplement
recQaZVJXPAHgLTHm,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP005-SINGLE,"recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recf4HtvFUqMhyhdh, recC0mB1LyNGjDyld, recq0JX3QgFBo5mm4, recDBJLAkc5CAfBm3, recL8dpnjNSzBJp2L, recX6IiQRem8pQ14z, receYj9nbAEGPBxFl","recyKRTIlX4Jux2W0, recVHWlB26jWt9Ij9, reccxH7AESy9vvBPo, recHOTAk6Lpmb9uUz, recLuAlDIETnvUUtO, recxJqmq5ipZMLJsj, recXiq3Os05QJJki4, rec8o1wlo0olBMl8A","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:11:11.000Z,"recA4Hpf2p4NtBNvL, recqBdEjgop9phdvP, recTiKjrzULUKQ5KR, recufc5ahhDnhUVRp, recE2Z0KjDI4l2nuX, rec1rFWWTKeohQDSh, recu9sgr35jiPBYUL",,"Protein supports muscle maintenance, healthy aging, satiety, metabolic function, and recovery. Supplementing helps reach targets, especially for older adults or those with low intake.","receYj9nbAEGPBxFl, recC0mB1LyNGjDyld",,25,"recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recX6IiQRem8pQ14z, recq0JX3QgFBo5mm4, recAdUWMgWMZS3qKI, recL8dpnjNSzBJp2L, recDBJLAkc5CAfBm3","recVHWlB26jWt9Ij9, reccxH7AESy9vvBPo, recXiq3Os05QJJki4, recHOTAk6Lpmb9uUz, rec8o1wlo0olBMl8A, recLuAlDIETnvUUtO, recyKRTIlX4Jux2W0, recxJqmq5ipZMLJsj",,,,,recIxb2g2Bt22ey8n,150,21,Supplement,40,20,20-40 g,1,male_female,<>,Dietary protein supplement for muscle synthesis,"Take 20-40g of Protein Powder at any time daily for muscle protein synthesis, satiety, metabolic support, and healthy aging",Any,SUP,recBuF3n8IQ2v0Io8,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 20-40g of Protein Powder at any time daily for muscle protein synthesis, satiety, metabolic support, and healthy aging",Dietary protein supplement for muscle synthesis,SUP,005,Protein Powder: Supplement
reckfFHaqSYeC3nhg,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP006-SINGLE,"receYj9nbAEGPBxFl, recPiW3K4dhWi31Xh, recDBJLAkc5CAfBm3, recq0JX3QgFBo5mm4, recw2hqgZfllcjFso, recntmFnf3bSSe2DB","recxJqmq5ipZMLJsj, recXiq3Os05QJJki4, rec8o1wlo0olBMl8A, recELBnyZAf0mIQH6, recSy02sgRnjfOkHE, recqea20SA5Y5BaIw","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-01T23:28:28.000Z,"rec0bDSq0Cd3LWTIe, recmcPYpzZCIXbbcv, reclg2oZBQ7LqvMSU, reczJ8DoV5MnM5fKw",,"CoQ10 is a key antioxidant supporting mitochondrial energy, heart, and brain health. Reduces statin-induced muscle pain, may lower BP and improve outcomes in heart failure.","receYj9nbAEGPBxFl, recw2hqgZfllcjFso","recSy02sgRnjfOkHE, recELBnyZAf0mIQH6, recqea20SA5Y5BaIw",25,"recntmFnf3bSSe2DB, recq0JX3QgFBo5mm4, recPiW3K4dhWi31Xh, recDBJLAkc5CAfBm3","recXiq3Os05QJJki4, rec8o1wlo0olBMl8A, recxJqmq5ipZMLJsj",,,"recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,recCgJSKzhLgj15gU,150,21,Supplement,600,200,200-600 mg,1,male_female,<>,Antioxidant for mitochondrial function and heart health,"Take 200-600mg of CoQ10 with meals daily for mitochondrial function, heart health, antioxidant protection, and cellular energy production",With meals,SUP,recBxCQOAdMmOV1Hi,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 200-600mg of CoQ10 with meals daily for mitochondrial function, heart health, antioxidant protection, and cellular energy production",Antioxidant for mitochondrial function and heart health,SUP,006,Coenzyme Q10: Supplement
recLSE9drrQavNmkC,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP007(i)-SINGLE,"recw2hqgZfllcjFso, receYj9nbAEGPBxFl, recPiW3K4dhWi31Xh, recC0mB1LyNGjDyld, recf4HtvFUqMhyhdh, recAdUWMgWMZS3qKI","recVHWlB26jWt9Ij9, reccxH7AESy9vvBPo, recELBnyZAf0mIQH6, recSy02sgRnjfOkHE","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:11:26.000Z,"recZ6C0tsTPiDOfwE, rec2IGmKG5X9WXA7w, recU15R9UzQGL0IzN, rec9pHx0ga9pUgV1o, reczPMLffl8SEYH9Q, recvcrchJO7J57m2b",(i),"Fiber supports gut health, cholesterol, blood sugar control, regularity, and satiety. Higher fiber is linked to lower risk of heart disease, colon cancer, and metabolic syndrome.","receYj9nbAEGPBxFl, recC0mB1LyNGjDyld, recw2hqgZfllcjFso",,30,"recf4HtvFUqMhyhdh, recAdUWMgWMZS3qKI, recPiW3K4dhWi31Xh","recVHWlB26jWt9Ij9, recSy02sgRnjfOkHE, recELBnyZAf0mIQH6, reccxH7AESy9vvBPo",,,"recierVNozpgZdLZH, recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,recRpPGdQJfBdzEJF,150,21,Supplement,25,10,10-25 g,1,male_female,<>,Soluble fiber for digestive health and cholesterol,"Take 10-25g of Psyllium before meals daily for digestive health, cholesterol reduction, blood sugar control, and gut microbiome support",Before meals,SUP,recBuF3n8IQ2v0Io8,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 10-25g of Psyllium before meals daily for digestive health, cholesterol reduction, blood sugar control, and gut microbiome support",Soluble fiber for digestive health and cholesterol,SUP,007,Psyllium: Supplement
recFE14qL0S8sFnSB,2025-09-27T15:56:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP007(ii)-SINGLE,"recw2hqgZfllcjFso, receYj9nbAEGPBxFl, recPiW3K4dhWi31Xh, recC0mB1LyNGjDyld, recf4HtvFUqMhyhdh, recAdUWMgWMZS3qKI","recVHWlB26jWt9Ij9, reccxH7AESy9vvBPo, recELBnyZAf0mIQH6, recSy02sgRnjfOkHE","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:14:16.000Z,"recZ6C0tsTPiDOfwE, rec2IGmKG5X9WXA7w, recU15R9UzQGL0IzN, rec9pHx0ga9pUgV1o, reczPMLffl8SEYH9Q, recvcrchJO7J57m2b",(ii),,"receYj9nbAEGPBxFl, recC0mB1LyNGjDyld, recw2hqgZfllcjFso",,,"recf4HtvFUqMhyhdh, recAdUWMgWMZS3qKI, recPiW3K4dhWi31Xh","recVHWlB26jWt9Ij9, recSy02sgRnjfOkHE, recELBnyZAf0mIQH6, reccxH7AESy9vvBPo",,,"recierVNozpgZdLZH, recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,rec9ak6whD6tgx7EK,150,21,Supplement,12,8,8-12 g,1,male_female,<>,Prebiotic soluble fiber for gut microbiome health,"Take 8-12g of Inulin with meals daily for gut microbiome optimization, prebiotic support, digestive health, blood sugar control, and systemic inflammation reduction",With meals,SUP,recBuF3n8IQ2v0Io8,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 8-12g of Inulin with meals daily for gut microbiome optimization, prebiotic support, digestive health, blood sugar control, and systemic inflammation reduction",Prebiotic soluble fiber for gut microbiome health,SUP,007,Inulin: Supplement
recVfuxjbDBkPwulN,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP008-SINGLE,"recLJcUUTL1szyE8Z, recPiW3K4dhWi31Xh, recmyyZam7oYaGnDd, recDwWAHjdIXhMhSV, recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recf4HtvFUqMhyhdh, recC0mB1LyNGjDyld, recq0JX3QgFBo5mm4, recDBJLAkc5CAfBm3, receYj9nbAEGPBxFl","recELBnyZAf0mIQH6, recSy02sgRnjfOkHE","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:14:20.000Z,"rectczJLrnIi1EITi, recFhon7ePAPWTucC, recRcCaWssPsYOamj, recH2mI5BxEt2rOtW",,"Multivitamins help fill micronutrient gaps, support immune, brain, and metabolic health, and reduce deficiency risk—especially with restricted diets.","receYj9nbAEGPBxFl, recC0mB1LyNGjDyld","recSy02sgRnjfOkHE, recELBnyZAf0mIQH6",25,"recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recq0JX3QgFBo5mm4, recAdUWMgWMZS3qKI, recLJcUUTL1szyE8Z, recPiW3K4dhWi31Xh, recDBJLAkc5CAfBm3, recDwWAHjdIXhMhSV, recmyyZam7oYaGnDd",,,,"recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,reckrfgH3SWyq4JJL,150,21,Supplement,1,1,1-1 pack(s),1,male_female,<>,Comprehensive vitamin/mineral combination,Take 1 high-quality Multivitamin with meals daily to cover nutritional gaps and support overall health and longevity,With meals,SUP,recDNemn7k3QA5HOk,pack(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,Take 1 high-quality Multivitamin with meals daily to cover nutritional gaps and support overall health and longevity,Comprehensive vitamin/mineral combination,SUP,008,Multivitamin: Supplement
recDWfOeF8XHqTgnp,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",SUP009-SINGLE,"rec7uKDm1ll1XGOqk, rec93yl8sjy6vTsht, rec6V13cha6oovOXX, recwIwB9znK0kB3Xg, rec1DXEBKaRkramqH, rec07hP2wtWOA81Db, recx8nMW7TjR18ZJv, recPiW3K4dhWi31Xh, recL8dpnjNSzBJp2L, recX6IiQRem8pQ14z","recxJqmq5ipZMLJsj, recXiq3Os05QJJki4, rec8o1wlo0olBMl8A, recLuAlDIETnvUUtO","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:14:26.000Z,"recRcCaWssPsYOamj, recewCukHUSLwZfCl, recSRdihQKpHrDOIa, recMccCaCE86qRIN7, recsQQl4cRWa9BANA",,"Iron is essential for oxygen transport, brain function, and energy. Supplementation corrects anemia and supports immune and cognitive health.",,,30,"recX6IiQRem8pQ14z, rec6V13cha6oovOXX, rec93yl8sjy6vTsht, recPiW3K4dhWi31Xh, rec1DXEBKaRkramqH, rec07hP2wtWOA81Db, recwIwB9znK0kB3Xg, rec7uKDm1ll1XGOqk, recL8dpnjNSzBJp2L, recx8nMW7TjR18ZJv","recXiq3Os05QJJki4, rec8o1wlo0olBMl8A, recLuAlDIETnvUUtO, recxJqmq5ipZMLJsj",,,"recierVNozpgZdLZH, recAdUWMgWMZS3qKI, recUkIxIOnGBQsC1n, recAAuZFrdsqJW3yd",,recL4lAWRj5wUp5IR,150,21,Supplement,18,8,8-18 mg,1,male_female,<>,Essential mineral for oxygen transport,"Take 8-18mg of Iron on empty stomach daily (if deficient) for oxygen transport, energy production, and cognitive function",Empty stomach,SUP,recBxCQOAdMmOV1Hi,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLE,"Take 8-18mg of Iron on empty stomach daily (if deficient) for oxygen transport, energy production, and cognitive function",Essential mineral for oxygen transport,SUP,009,Iron: Supplement
