record_id,healthkit_metrics,oura_metrics,subcategory
recgs52vEIc2LueyO,"recdK2SMHFrYzzjLe, recxHAlCTggsrmtgT",,Mobilty Profile
recY4mdyIHPzcG6c5,"recGVJo8c3QNZDgAt, receSoPedzCJCH7DG, recyFrD26MRqpUHT1",,Demographics
rechVMBRfj4VY8Fnp,recBI2g6hLsLbTlFh,,Skin Type/Dermatology
rec9y6uZO3IqnzLxB,"recp6hE7CAeKbqNjf, recintWQGAmnh2fYM",recyH1DYgKqTxxInF,Walking
rec6eXiXIvRtoKYUS,"rect9e0O2CWh6aG7T, recQBjJFrzDXIbiDl, recMaGAG1PywGoCVF, recdw4oOD5Z6kkKkl, recHMwKEVQnGZetpY",,Running
rec2M4SKWKp58GzVe,recqUXqqnCW9ddeku,,Cycling
rectacNcC22WBcvDb,"recUgXlHo6hBvmd4W, recnalNyiDkdmxVCg",,Wheelchair Use
recydMwWvgYjQzq3q,"reckQIjlK6mO0kCzw, rec5ODLVfxJrt5of4",,Swimming
recyiEXpN5O3Y30wY,recExm2XK9TaAEquA,,Snow Sports
recE1Di8duQxeuPGv,"recvDPoKM5Uidfc2m, recF9pXPvHmKxT2CI, recdY0VsvbXkR7ltl, rec7EBYoRx6JqWge9, rec2YsLE8DhUgFTAH, recrDsT8y5pSkheHZ, recY2ia89NuDjd02a","rec6L5wdZY9x1IkiT, recmarsbNEssqx1RB, recSdjPViB5M5zlFp, recpB2syt15mJliUu, rechI6L9pGyHdknt8, recTIAsxgFo1B40ER, reclVWHdxfnCfDqLf, recS4i5N3CwrUIC5y, recb4HB8yw73fCjKJ, recIzZHt5Xgmp7Pyr",Energy Expenditure + Move Metrics
recBWuAftrdWpCG0m,recLvTwuQ0oK8rKF8,,Stair Activity
recBi1ltdOy27bVdq,"recALlzOrzmDI2PFI, rec41ZpLtJB4fV1j7",,Cardiorespiratory Fitness
recQtmZpLIYsr23oi,"recYpSX7DGAAnyFXL, recy4If7cz1tarcxu, rect5nRMTQHxPCSIO",,Storage Infrastructure
recX3DQrVmY4IxMuH,"recWeCeFBeZIQMjxr, recPx0uqAFi7U3ULR, recbpPI1IIN4723h2, recDCuW8qaGyiG4QK",,Anthropometrics
recHpyFWYUoFUVwVj,"recsdGdRM1PaiVj7z, recUbVGr2gnhxor2w",,Body Composition
recZDyMxDlDGnT4iO,recLSkMbJgteOlaDG,,Cycle Tracking
reckQ3Oi0hxeSKKRF,"recNZvh2o18yoAPJX, recklhkjgQWxXwRFU, recH4KDpLSJncPXrr, recaiSpStb7JcjWjI, recVcua5iiLaEeKqH",,Cycle Irregularity
reckMLIp85R6aOFdl,"recxy4BUrQBKPg6tP, recdaBZpxlqkcQ4UK, recRCSdUuy8oPw5Lz",,Fertility Signals
recLRCTwVQgEckfOK,recfuEyHypgI12p1b,,Hormone Testing
recs0hyMIv3aJhTUV,recNww6T1UjGRxx0P,,Sexual Behavior
reco7vDxyW7HTeaiy,recWSe1TL4BaiRzyX,,Contraceptive Use
recA7pA1OgYtuHjYq,"reclZJGX8sg2Vk0ln, recquMfCxdNuE2GU6",,Pregnancy Status
recxIhEazZSP3f23v,recRzDjncYFhh9glI,,Postpartum
recP92fQHYWH9Pfdh,"recK4yPElOebDftJ1, recMyrVFWauOWEEmG",,Environmental Exposure
recxhMulabNUchhTK,"recYKZ4b4AaGopAXt, recqOcoQHDXDWUlmR",,Device Exposure
recrxnCDJsmjh2Ukv,recgikISXJC47kuhR,,Deprecated
recZO4fCiocrvFBbz,"reccHAHft4JmcBw0C, rec3nK7KKFVWhpnR3, recKqRJ0J1p4KfplZ, recXBRZ9iazTCB9mU, recigAqNy8lodlsz6, recEVSsmhY75LCfnF","recSIY3GMU62FGAF9, recXFWT3h7qXQ6WdI, reczYQvFvAsy495nv, recwVShZTnqNCQWrM, rec4pJIHNT6QU5OFC",Heart Rate
reca6ep50nUdBF21L,"recFVZ4bFN9vMqZax, recyMas9UfnhGAS1n",,Heart Rhythm
