record_id,base_unit,conversion_factor,created,created_by,display_name,from_field_base_unit,healthkit_equivalent,intake_metrics_raw,intake_metrics_raw_2,intake_metrics_raw_3,is_base_unit,last_modified_by,last_modified_time,special_conversion,symbol,unit_identifier,unit_type
recZZjlPGS8Wrsiv5,,1,2025-09-11T23:45:47.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Milliliter,"recTyIz9JmTFJLNUj, rec8RqZTMEG5v2x6o, recoyPEGkAZ1Kmvp5, recV20acvsjGepH13, recMHc5B5Jya49syY, recEjH4neODHifK2p, recsj5C1Tk9bM0fWS, recisLDJ3YyceDzm7, rec5pmFj7usjbxdmy",HKUnit.literUnit(with: .milli),rec2TPqzUK1SroxUj,rec2TPqzUK1SroxUj,,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:52:39.000Z,linear,mL,milliliter,volume
recilETRsPS5Ynbd8,,1,2025-09-11T23:45:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Kilogram,"recvPYJEA9eIDhybu, receaaCN8UTsF6fNF, recXth9igVLgLrcgf, recqpLqqBCyzPaYlJ",HKUnit.gramUnit(with: .kilo),,,,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:52:39.000Z,linear,kg,kilogram,mass
recit8uxWoV5tgHpU,,1,2025-09-11T23:45:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Centimeter,"rec9sreMoCUVVcRmS, recw0nHQ7wOqENvM0, recsaW6EQzkDhJU0Y, recVigO2Oa5Q7lIIZ",HKUnit.meterUnit(with: .centi),,,,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:52:39.000Z,linear,cm,centimeter,length
recTyIz9JmTFJLNUj,recZZjlPGS8Wrsiv5,236.588,2025-09-11T23:46:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Cup,,HKUnit.cupUSUnit(),,rec2TPqzUK1SroxUj,rec2TPqzUK1SroxUj,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:47:02.000Z,,cup,cup,volume
rec8RqZTMEG5v2x6o,recZZjlPGS8Wrsiv5,29.5735,2025-09-11T23:46:05.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fluid Ounce,,HKUnit.fluidOunceUSUnit(),,rec2TPqzUK1SroxUj,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:47:02.000Z,,fl oz,fluid_ounce,volume
recoyPEGkAZ1Kmvp5,recZZjlPGS8Wrsiv5,1000,2025-09-11T23:46:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Liter,,HKUnit.literUnit(),,rec2TPqzUK1SroxUj,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:47:02.000Z,,L,liter,volume
recvPYJEA9eIDhybu,recilETRsPS5Ynbd8,0.001,2025-09-11T23:47:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Gram,,HKUnit.gramUnit(),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:47:09.000Z,,g,gram,mass
receaaCN8UTsF6fNF,recilETRsPS5Ynbd8,0.453592,2025-09-11T23:47:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Pound,,HKUnit.poundUnit(),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:47:13.000Z,,lbs,pound,mass
rece7ca3E6cEDCjgt,,1,2025-09-11T23:47:16.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Minute,"recqIbSBXxEGLcxof, recITieKe71yfUdlo",HKUnit.minute(),,,,True,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:50:30.000Z,,min,minute,time
recV20acvsjGepH13,recZZjlPGS8Wrsiv5,236.588,2025-09-11T23:49:53.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Glass,,HKUnit.fluidOunceUSUnit().unitMultiplied(by: 8),,,,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-11T23:49:53.000Z,,glass,glass,volume
