record_id,base_unit_identifier,calculated_metrics,conversion_factor,created,created_by,healthkit_unit,identifier,intake_markers,last_modified_by,last_modified_time,metrics_time_field_entry_units,metrics_using_unit,symbol,therapautics_matrix copy,ui_display,unit_type
recBTPaVHpnpAdgBV,,rec9KRoI8TVBXgf5V,,2025-09-09T16:32:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.gram().unitDivided(by: HKUnit.kilogram()),grams_per_kg,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-14T17:06:28.000Z,,,g/kg,,g/kg,mass
recBuF3n8IQ2v0Io8,,"recYePlQNAddUXuqD, rec3IuWLP2JxVDMvc, reckOw3VbzkNuvzAH, recF1PLK58NqkBCbH, recvAUAjSDhDk73mC, recKgEKAeyOiOmNqZ, recC6Eldv9OLdivqf, rec5EZ5sgEZ5e4atX, recGGQXQS9u5pAgx6, recz8L7YrcOqeeifp",,2025-09-08T19:26:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.gram(),gram,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-10-09T20:38:27.000Z,,"rec9VOCYi7lD6QRU8, recdH5PDRI9HZlWNF, recFlBDZAW3xbNpPG, rec92qNjhMWzybyB9, recj5SU6yC4WLBPsy, reca2k4jZkIFzokj8, rec6tUE4Ht7ivYWW4, recB0N9gXMJvjBuf0, recBotbLQNNXK9i4A, reca0Y3wSwV8pJd1C, recbIerJFM9gsvmpU, recazGXaK6K2S2sVu, rec5nE0V1s7l7OHPx, recRs5IzM2ApHJYv0, rec3iTwivChwy7qTS",g,"rec70sd7Ac5gw2ab6, recIxb2g2Bt22ey8n, recRpPGdQJfBdzEJF, recpEJqsYV8mndsX2, recrJMUbyDMwVrdAI, recdJhA5yKsiLtR6O, recndoooyglQx4y9P, recyQvtjyo86gveer, recf4sifYvn5Tdz9B, rec9ak6whD6tgx7EK",Grams,mass
recBxCQOAdMmOV1Hi,gram,rec5IeICLAinb5el7,0.001,2025-09-08T19:26:08.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.gramUnit(with: .milli),milligram,,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:28:40.000Z,,"rec33hAbT2CCCkxB4, recJnV48zReiLbg8A, rece9ryJ5XZU3SOoG, recbJtMU9vkPxJQPt, recet20Hz7MRvKrnX, reccJFLbgvua3oPuH, recPJ7UHt3bhhGOLd, recEoaPcs3PtwZp4f, recxpJLGC2zA9qayR, recvNRPTlljTNKUM0, rec5v7aQstJoHvfR5, rec4hVar4q19KHy2M, recBTXaE1gq7kgUx5, reciZq0r6l3FkWboG, recRSToDEGkn2mQLO, recNwinUlf4CV7O2W, recW9arwmvO30b1Nd, rech0Uce0czmYkICn, recTYlpJwpFuh5uKY, rec49U7ZBMQyCcOXu, recHA0f2pG71FMtAH, rec9AostBgrZxi3i0, recfuIX6ONYn8wiIH, recZk44R2czkRhCCY, recyze5tnWpVZIddy, recuRM5ZKlUBTcMs1, recf32LxkO3IcZNAg, rec4YEGZN1jySu85K, recXbc15Mc8XLDSTj, recikczqii1W9j8SO, recBMrcIxDDaUO8tu, rec6UbHMykVPWUVWs, recJgvnHIeSAx1nyv, recoeUskeCO0oXyrc, recsyA4Zf02hEaW7i, rec5WlVacpuH06WUF, rec9xOkiMfCTb54lQ, rec0jpovbe7N6O6jx, recxDFZOBJkB5f7Fy, recH9Vr4dyZ50QREc, recU5uMCbySpWBj3u, recd7WvpEHIz8dmz9, recrAQuugfjCaqi9Y, rec4lZoqVESbkW0LS, recwL0WUhiszMjbkV, recYuDSO2vChsOLBm, rec4xdAS9loI8SijH, recRsrNBBlKKuFWTl, recLWaZiB8serug7E, recQPlQDK0cehPB6l, recAvcj8V3itbOrxJ, recByBuEd77du86Hh, receOfjnkChXF7Thw, recFOWxveVB9ZQPrR, recO7O0ilfvE1mPP2, rec3IjlyDZOAJYkS9, rec5oSmtcF9EMdku2, recUTDWefJvHfCg2t, recPelrOkpKdOSYkL, reclNnbxiZ3SZhH5h, recKup33EsUPfaew1, recFJGanjQm1vlz5q, recjEaa8twya7jVMs, recWNZjUV4Wjp5zyb, recP6jnzkxQdtHgi5, recNDSlUUiDf3HwbV, recJKP1SjhWodVgoH",mg,"recgOhYbPnAWgStgv, reckETF5u6O9mry3L, recCgJSKzhLgj15gU, recL4lAWRj5wUp5IR, receN7JaeSlwKVojI, rechiC0sftgmzSTyD, recEmLWEkvEdf9jt6, rec0c2PPz0pcZocRm, recA2z7KPT9LVQVQv, recpKTKsnCzTM8OHr, recW8eoiiOpM0PwJ7, recfcEpB9HeiAaTmR, recIyuJ59M3dmzz2m, recWJJi1sjsdwyYL8, recZDoACtBHOhNjyS, recTULxGAG8iIXN8t, recNIce5Dd6gMd1Gj, recQHvehcpqzOPO6r, recQAXH8yH8qixaIE, recq3J4Ps8fMpkwII, recmDsgoUwQ7BfmiF, recexQanBHm8Pnf3e, recpDB5ecJ00WKTZW, recNlSRkXLfwq2IDp, recGVkHpd317rez70, recKppKaieMXHdHtT, rec2F3CbADWEuukbn, rec5IHG8JPx3cukaf, recKY3IY1AMFEiqzo, recyjeOoGSOtTV5DA, recJCh7hB4O9XeECD, recPwH0tLzPqgthYz, recOOLSeSVblpHOK0, recRCaqeqcfeiHKr5, recZ6ewDohnArCowv, recd6TiMhFYv18aOI, rec0AvsGhSkxlnHX8, recRNsV0KejSmRxu6, recILFpdj3T0mvYoW, recPtDU3TbILj67hk, recAASVyuR1MwNfa2, recYTN8b1Xtoea2zj, recWERlvL5S1ngEt8, recGOF4RrolkUD8fp, recU4gETv7PhaIahl, recyxuZLsrkXWMvzR, rec5tCyQlFe6acsRf, recgnzq73RjPFEmQL, recxNtWjwRpIlIFgh, recHqvt2yu05ESjzC, recMen2mZlihBo9bY, recpj0u9FRtBln1Tn, recMBNA1XhcrdUTDp, recyIixE2UOSbrRz2, rec5HX7js7FFz4tv0, rec1fTtP3L6AosDpo, rec0McPfj8yGA5Fbt, recaR9XfOmO1yrFTD, recWKHZTWd7kfYvI0, recvYjcSzwtp7b5tP, reccbQiIRg22mVzUX, recVtLiSbvFQwptqT, recDl9UZpfuYhQoPG, recVnIYID93w1t90O, recZtIzsH80Uu8QtC, recttMnjnurajM337, recY8ry5Tec9GvyRe, recDZAkZqy1LAw9tN, recWaAvIhhlMX5glQ, rec3vSTKQhjBHx0jt, recSSdr6v2tFWK418, recFUPRSWwXiqwjbp, recUgx4cMDyr38rpY, recMgTkJf2Sf594PG, recNq1oakb6SH8DIP, recdaRyiQpmXmIWWO, recdMfsoWpQqE05ZT, rec5IFVsUufTtY6ih, rec93DdXdepkea14Q, recXHyDB13wRRncug",Milligrams,mass
recDJU7aNl5DcFbwD,,,,2025-09-08T21:07:37.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.milligramUnit(with: .none).unitDivided(by: HKUnit.literUnit(with: .deci)),milligrams_per_deciliter,"recWBj4nFbMMx6sfu, recUlhEzQRqPXFFKd, rec8dLnK1QihQIKsk, rec2CudLKiRKP0HsE, recXrmJurVSoWKgZw, recYoVY3DxvxLp63J, recDnLb3CM0Lrx7Jq, recgXRpp5Nl17dYfn, recvdl6qhK5ggXsr7, recAHKZvEn3FoIsAg, recTEpgFWh8WljKql, recBYIxWHdjQmcvMW, reckKS418jd7kEFqJ, recr6bhmoI18YsjqR, recWeCxmKkGM3Ql6v, recBYu7VJutIOrdp3, recF3aDPYAQR3hu1j, recnSZdI0hBcJndQy, recmzTwC0jivy12tN, rec43hAP1YjtqtxdP, recqlpQJBhG7bPGhi, reclnm9WiI4o0Skkh, rec6cCE1nFrvtNMvw, recq1AG2X7AuLwukc, recFcpR8v39s19RvO, recsFmku1mR7DofOO, recP3CDMiP81qWi0F, recHqvdV4yVPJwUpY, recTHyMtKUApQHB3V, recY1zytiC9aRHDy0, recgoOOY8CaSb2ywi, recATU0MEePgXaIjT, recTTlt8aqBPP1a2v, rec4xUJRQ5k4ypY81, recw0S1pREO0pTjsB, recfeJFEGsbIxx5hT, rectML4uPl087chyQ, recRhcmAv8FT2OUpW, reccUBJiIMxmfDyb4, recAsuqRqkj8CJdEx, recDZuVzekAlyQupS, recFCuPD3hCqiiyH8, recCCBmSuAlMWkaRl, recy7LjkUmOcV6lF5, rec3ldjeGrRInZ8B2, recsV04gn5cnYZasP, reczcyb4lGlkcfdAD, recnlrAq8p0hp5HEW, recOylpsLTj3AMC66, recpr17Z6NbZrfDJM, recKcmI74kqFRbsJj, recaBZzJ8pQdbqeiA, recBa0PECMdCFYrcc, receOKnWyWG9z28zx, recC5JPEHmysI4bCS, rec3SyTT1I33iZlwa, reckyXDzxzyUv6EV3, recZpTzWWNa5pkmTn, recifzBQBGmQQwI1a, recDb8w1z8Kk565YA, recSsE3OmlOWdaqcg, recXOFDVuaUkt6Mjm, recNLo0iMgqZZufP9, recWU5Ts22nHzi0CM, recua6PsdZu8bSjfy, recmTaANiphoboyHm, recNk4BhKmZr3CA4G, rec1s4PDf1GGnt6zO, rece2Rsc6wKezwB2o, recSqoCu6bTUEWJC3, rechvnSCqzqvt4hN1, recauI8MxOTO753B9, rec4YzujsBrqPi4yk, recus4CXlYCdll4jI, rec8CfBXfAaom1jos, recnqcWnfDwF80fNE, rec1KfdFF8OukEz78, recLm1aohA5XSZsJX, recHTXoTF8XDVZeVG, recmWO5tjHjzXKcgt, recFvIUV5KftJLKqD, recmQUJtJUtTrvb7I, rec0F2qrEKhpq57y3, recRhI1OuLQvu9VDE, recBcOzLwcEWENiXG, recunjyerdy4j3i6k, recONnUflTW7VoJsq, recooyhkax7S7Gc8Z, rec7wLNIlKCqcJnog, reckG9QlWnuMsdOwv, rec1aNUvvo7pfDIrj, recSP0RRWdwTmKkR4, recGLHKj3Api2BvK2","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:11:36.000Z,,,mg/dL,,mg/dL,mass
recALHYONhUlnaoKb,,,,2025-09-08T21:07:41.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.moleUnit(with: .nano).unitDivided(by: HKUnit.liter()),nanomoles_per_liter,"recWUzsVO9KQHX0u4, recx3AknpiptnxUGi, recxm3XMqTbEmtgDM, recoQuOuyeyMiUkHQ, rec0XnXymv6xLBMnR, rectOMvgYhYNPUEZW, recctNlypsxcxzRtl, reciuvmjcidiNPJFv, recJom2m3S1MBXLju, recuSMtFhSBRu8B0H, rechLg8GrMFrub68M, rec1sj3XqxDy2w9fr, recLMX3Y5Ib1Q7TIs, reczvv56JSVwLTAFe","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:11:36.000Z,,,nmol/L,,nmol/L,mass
recyrtXJJqyEripRY,,,,2025-09-08T21:07:45.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.gramUnit(with: .nano).unitDivided(by: HKUnit.literUnit(with: .milli)),nanograms_per_milliliter,"rec996FkP0p1oVssO, recngxtXIt4p6E5pi, reck5nZ4uAJ2cT4qD, recMFlM75mrtBvIbO, recy7w3xSZXwMPVfV, recC48yyPmQBRM9YT, recqa9G0NCafsMzqi, recTCtq29XBDub1lx, recfAsVnmaxOYfgmI, rec3uB1WTwJJykC3U, recmh0GaOW3ZAr6YN, recs54Cx1DmvvZAlU, rec5Ncvk9fxXP4QA9, recipprulovticvdf, rec0qWO2duCuwRrXC, recs3BtiMwS9mLN16, recmv4n9SQJj77TDG, recPq7OMTas1Ro7ij, rec4dXHaWgK5rryJF, recxJmsjSpB5iYEO8, recBFZXR70pSlKBlc, recepj14pCsLjzzkB, recNswwb3BWXHk4LC, reczZQtkoAlMcSGtM, recyJB1sG0yJhEkJa, recX4H94GWhPqsvOy, recpxlcBQKaGvdlpw, recnje4YDrm0hmSJv, rec7PtTpLk6Z9sFwo, recRcQHREpkUEPH37, recSvyK5qbjtUOdTO, rec38dlOvZvgx5Cxa, recTDfvTartU8pkgJ, recwQDJaZYA3MtCrM, recAoKM7ijuz3buUz, recCXBLN8QJw3oR9C, recHr4crpNOdJtFTg, recHTjByASY0sLWTL, rec6jsx61EF4FSFdj, recLS9ZeaA46OP7cG, recksiRfvEfvpmqnY, recK7FEPir1feTCXK, rec9mfsQ3N1Pm6Wuk, rec62wN3AoRtm7TrA, recW6H5PFGWO0xqUo, recUQkemDG0C18ywn, recgsfvR7QKQIlQa2, recbrlSiNBOk0rVge, recKSdoYGQqKcAwnW, recZO3dg9Ojao1ADg, recd0JDwU6YPg6GZh, reciTyXs6nwjJcXxq, recx74uoL86iteQSa, recOWUDmuMVNB22ys, recPU9z6hoXfKEZQX, rec2fHN62lvtiQ5OG, recoDTEactXKB9Ajw, rec705gfsbRrgIceg, recCovgpEOrQtdB7R, recSbGZSzGX8TVpvP, recQ12o7JaFR82LZe, recU02vNhWFWUW5lG","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:11:36.000Z,,,ng/mL,,ng/mL,mass
recnKf7GFfC4f8bD7,,,,2025-09-08T21:07:49.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.gramUnit(with: .micro).unitDivided(by: HKUnit.literUnit(with: .deci)),micrograms_per_deciliter,"recoUCHmhJg9uJsOB, recCSXwI5HvDydU0Q, recsZ0bBHEBo6A60G, recvm6cTzmI85zqLL, recgmLJP09yBA4iJZ, recRCV0c9Py64tLAr, recHbTTH5HdurfoBM, recRk52cez9guWFdm, rec3yV0xDyU61Jgy4, recBQXgZrofZcRB1o, rec8YV7iEEeruQqiq, recouqfgS7axiVyq7, rect7aNNg7p1zzvLg, recOUEasSmkfQSR2Q, reciww4RoSvgc0a6i, recRUoZyOSfo72tFQ, recmcIItx5PWiyuGP, recpmxGbx6DlbOi6B, rec0KZLrK6DhejITu, rec8tLLrreoPnYqce, recNBc3WBOulH7AvM, recs7uZHk7P8UFcxV, recSP394E6pyk1r3S, recVSnlFINUM2LXTj, recGNsgg0gWNsVS41, rec5AF5IzSxuVxvUk, reciYkmDdCXylQPbd, recvt6bWf9zoWXDfH, reciaHlvtVAYPpbNi, recMbru7lGNsgmqMz, recg4WLUej30JzecT, rectijbbZVMA5UCJg, recUC3I1VmRcfQlmn, recvnIFE1X7JjET9g, recHK5MbSg2PG6OY1, recjKzd4576oa51BB, recMY4trFt3765rtH, recJhLZrH8JIhUIxL, rect2w9SC1YA0y9KT, recSc8EnjCv1vs9jc, recS6P9IX9UykzmhJ","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,µg/dL,,μg/dL,mass
recV9qvkn8Wr6XwzJ,,,,2025-09-08T21:07:53.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.milligramUnit().unitDivided(by: HKUnit.liter()),milligrams_per_liter,"recpA4qVYudmoULNz, recm4iGNP1ff5gt7o, recMLd0KeSbKaagzd, reczqJ31m5QNTRkYa, recTQSmAoe1xOVtvv, reca2xWifvdUCUgkJ, rec3xzWwD4cVLu43L, recTr3thqp7CDmSil, rec3ujnhr4ANWo5P2, reciVlOZW1QUH7C2v, recWq6KXrOLrxCzqs, recTxpLfINbFvu66J","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:11:36.000Z,,,mg/L,,mg/L,mass
recKXlaukuEn40cxR,,,,2025-09-08T21:08:06.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.internationalUnit().unitMultiplied(by: HKUnit.milli).unitDivided(by: HKUnit.literUnit(with: .milli)),micro_international_units_per_milliliter,"recWJ23bVrOZprXmo, rec9cifGsz4qYJUbS, recLRmAdI6sSob9Nd, recw44Mh3f6M1ndI3, recx0M0BypsPyg14G, recBEMMQAtqnL6BsH, recy0SwQJsYK7wEjG","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:15:02.000Z,,,µU/mL,,μIU/mL,mass
recDvrGFMMZhXfFpI,,,,2025-09-08T21:08:11.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",HKUnit.internationalUnit().unitDivided(by: HKUnit.liter()),units_per_liter,"reci4lYybwzFslhEE, rec16Pbnc5S03zAzV, reck8FvxxTZujtaVV, recakta4Y0PX40DbF, recBaH7w5Igil1b81, recbvlqYUWikfQbW6, recMJctMcjqb8kzl8, reczNIG9bceHXCJIi, recvc8lXtidgF0auW, recLNHc6c4hL0Uomr, rec4s2dAbdCsh65Um, rec9GuBnxZlg9KKly, recQrNbfyQOHmWs5m, rec6tDQu4TCJbLB54, recPkk0SMysPVBdvR, recB2YoGVROgZy7mF, recRQ1eN8j1K1meqt, rec3crKTVOBrrDhWH, recFvbuUJa8dzSKMl, rec4ZOVdK62oPYK94, recQMLkhS26P7JO7B, recwgfc3mdjmyNTpU, recBlbsys5RctsOUB, recr8T1s95KYznKcA, recyVZcgg3ah2Fdyz, recBAeIDEXTTwdORd, recZ7o7om9pCu9wRw, recnCCcFWPAWZXNTm, recymXZ4Ky40l8aiJ, recL7DM4nmHG4x5XO, recd8r3zsqtzyJOVj, reclZbGZNgUkQTXPq, rec0GajyTLU5rLEzG, recJ6pJuzlWWar1rC, recK5qJcqS7I1uWeW, recaK5RYa2SMb1y4s, rec2SqJbYIHDgepuM, recuN4kEgxMX9rYAc, recVDZsSVEIRTH5NA, recvVeowccXzA5cZl, recLo8vydfFVCynL9, recB7xRocjYlYfGR3, recl948OnVaYcSXva, recnkLOo7FODVJLbu, recjUaBUnDuFG4b57, recJSztWjDMC7g2Vz, recWacRkDinNNr4jK, recjUAUr7rDBr3bLV, reczF8sJg2ZbRCRlj, recar6XYTkMXiRCuG, rec20IM6Q87vUbadA, recUD2vB0MlyG1WmF, recBCLT7IiO3S10uv, reczRKqFK01F0Tblv, recjLtDVonB2pSf9M, recEroU2cPShm55aY, recLpY1VdzI3r9iQF, recvDfQ8mpfbRFqHR, recvQq5XXlp0hRNFe, recHzgGo8EhQJHx1E, recCEeb9Ux8d1fjfd, recOpSgnqXtiHUO3y, recz55GZZ27xbO8Jp, recK2VGYOQbhRBF3W, recqIQHZNTbuUF59Q, recKAQX3C99RRrIuI","{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-10T13:11:36.000Z,,,U/L,,U/L,mass
