config_id,id_start,recommendations_v2,Title (from recommendations_v2),level_description (from recommendations_v2),config_name,scoring_method,formula,schema_evaluation_period,schema_calculation_method,schema_tracked_metrics,units (from schema_tracked_metrics),ui_display (from units) (from schema_tracked_metrics),schema_calculated_metrics_1,unit_identifier_1,ui_display (from unit_identifier) (from schema_calculated_metrics),schema_daily_comparison,schema_daily_threshold,schema_units,schema_required_days,schema_total_days,schema_progress_direction,schema_daily_limit,last_modified
REC0013.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0013.1,Reduce Caffeine Intake,Reduce caffeine intake to ≤400mg per day on at least 2 days per week,Binary Frequency - dietary_caffeine_amount,minimum_frequency,(days_meeting_threshold / required_days) * 100,rolling_7_day,daily_binary_frequency,caffeine_consumed,milligram,Milligrams,daily_caffeine_consumed_sum,milligram,Milligrams,<=,400.00,milligram,2,7,reduction,,9/26/2025 2:43pm
REC0013.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0013.2,Reduce Caffeine Intake,Reduce caffeine intake to ≤400mg per day on at least 5 days per week,Minimum Frequency - caffeine limit 400mg 5 days/week,minimum_frequency,if (days_meeting_threshold >= required_days) then success_value else failure_value,weekly_minimum_frequency,daily_threshold_frequency_count,caffeine_consumed,milligram,Milligrams,daily_caffeine_consumed_sum,milligram,Milligrams,<=,400.00,milligram,5,7,countdown,,9/26/2025 2:43pm
REC0015.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0015.1,Optimize Caffeine Timing,Finish all caffeinated beverages by 2pm on at least 2 days per week,Minimum Frequency - caffeine timing cutoff 2pm 2 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else 0,weekly_minimum_frequency,daily_threshold_frequency_count,caffeine_consumed,milligram,Milligrams,daily_last_caffeine_consumption_time_max_time,minutes_since_midnight,Time of Day,<=,840.00,minutes_since_midnight,2,7,measurement,,9/26/2025 2:43pm
REC0015.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0015.2,Optimize Caffeine Timing,Finish all caffeinated beverages by 2pm on at least 5 days per week,Minimum Frequency - caffeine timing cutoff 2pm 5 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else 0,weekly_minimum_frequency,daily_threshold_frequency_count,caffeine_consumed,milligram,Milligrams,daily_last_caffeine_consumption_time_max_time,minutes_since_midnight,Time of Day,<=,840.00,minutes_since_midnight,5,7,measurement,,9/26/2025 2:43pm
REC0016.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0016.1,Daily Meal Frequency,Eat at least 2 meals per day every day of the week,Minimum Frequency - daily_meals,minimum_frequency,if (qualifying_days >= required_days) then 100 else (qualifying_days/required_days)*100,weekly,frequency_count,meal_logged,meal,Meals,daily_meals_count,meal,Meals,>=,2.00,meal,7,7,buildup,,9/26/2025 2:43pm
REC0016.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0016.2,Daily Meal Frequency,Eat at least 3 meals per day on at least 5 days per week,Minimum Frequency - daily_meals,minimum_frequency,if (qualifying_days >= required_days) then 100 else (qualifying_days/required_days)*100,weekly,frequency_count,meal_logged,meal,Meals,daily_meals_count,meal,Meals,>=,3.00,meal,5,7,buildup,,9/26/2025 2:43pm
REC0017.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0017.1,Time Restricted Eating,"On at least 2 days per week, keep all eating within a 10-hour window (e.g., finish dinner by 7pm, eat breakfast after 9am)",Minimum Frequency - 10-hour eating window 2 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else 0,weekly_minimum_frequency,daily_threshold_frequency_count,meal_logged,meal,Meals,daily_eating_window_duration_time_difference,hours,Hours,<=,10.00,hours,2,7,measurement,,9/26/2025 2:43pm
REC0017.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0017.2,Time Restricted Eating,"On at least 5 days per week, keep all eating within an 8-hour window (e.g., first meal at 10am, last meal by 6pm)",Minimum Frequency - 8-hour eating window 5 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else 0,weekly_minimum_frequency,daily_threshold_frequency_count,meal_logged,meal,Meals,daily_eating_window_duration_time_difference,hours,Hours,<=,8.00,hours,5,7,measurement,,9/26/2025 2:43pm
REC0017.3-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0017.3,Time Restricted Eating,"Every day of the week, keep all eating within an 8-hour window (e.g., first meal at 10am, last meal by 6pm)",Minimum Frequency - 8-hour eating window daily,minimum_frequency,"min((successful_days / required_days) * 100, 100)",daily,daily_threshold_achievement,meal_logged,meal,Meals,daily_eating_window_duration_time_difference,hours,Hours,<=,8.00,hours,7,7,measurement,,9/26/2025 2:43pm
REC0018.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0018.1,First Meal Timing,Eat your first meal of the day within 2 hours of waking at least 3 times a week,Minimum Frequency - first meal within 2 hours 3 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else 0,weekly_minimum_frequency,daily_threshold_frequency_count,"meal_logged,wake_time","meal,minutes_since_midnight","Meals, Time of Day",daily_first_meal_delay_time_difference,hours,Hours,<=,2.00,hours,3,7,measurement,,9/26/2025 2:43pm
REC0018.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0018.2,First Meal Timing,Eat your first meal of the day within 2 hours after waking on at least 5 days per week,Minimum Frequency - first meal within 2 hours 5 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else 0,weekly_minimum_frequency,daily_threshold_frequency_count,"meal_logged,wake_time","meal,minutes_since_midnight","Meals, Time of Day",daily_first_meal_delay_time_difference,hours,Hours,<=,2.00,hours,5,7,measurement,,9/26/2025 2:43pm
REC0018.3-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0018.3,First Meal Timing,Eat your first meal of the day within 2 hours after waking every day of the week,Minimum Frequency - first meal within 2 hours daily,minimum_frequency,"min((successful_days / required_days) * 100, 100)",daily,daily_threshold_achievement,"meal_logged,wake_time","meal,minutes_since_midnight","Meals, Time of Day",daily_first_meal_delay_time_difference,hours,Hours,<=,2.00,hours,7,7,measurement,,9/26/2025 2:43pm
REC0019.1-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0019.1,Final Meal Timing,Finish your final meal at least 2 hours before bedtime on at least 2 days per week,Minimum Frequency - last meal 2+ hours before bed 2 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else 0,weekly_minimum_frequency,daily_threshold_frequency_count,"meal_logged,sleep_time","meal,minutes_since_midnight","Meals, Time of Day",daily_last_meal_buffer_time_difference,hours,Hours,>=,2.00,hours,2,7,measurement,,9/26/2025 2:43pm
REC0019.2-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0019.2,Final Meal Timing,Finish your final meal at least 3 hours before bedtime on at least 5 days per week,Minimum Frequency - last meal 3+ hours before bed 5 days/week,minimum_frequency,100 if days_meeting_threshold >= required_days else 0,weekly_minimum_frequency,daily_threshold_frequency_count,"meal_logged,sleep_time","meal,minutes_since_midnight","Meals, Time of Day",daily_last_meal_buffer_time_difference,hours,Hours,>=,3.00,hours,5,7,measurement,,9/26/2025 2:43pm
REC0019.3-MINIMUM-FREQUENCY,MINIMUM-FREQUENCY,REC0019.3,Final Meal Timing,Finish your final meal at least 3 hours before bedtime every day of the week,Minimum Frequency - last meal 3+ hours before bed daily,minimum_frequency,"min((successful_days / required_days) * 100, 100)",daily,daily_threshold_achievement,"meal_logged,sleep_time","meal,minutes_since_midnight","Meals, Time of Day",daily_last_meal_buffer_time_difference,hours,Hours,>=,3.00,hours,7,7,measurement,,9/26/2025 2:43pm
