config_id,id_start,recommendations_v2,Title (from recommendations_v2),level_description (from recommendations_v2),Overview (from recommendations_v2),config_name,scoring_method,schema_tracked_metrics,tracked_metric_unit(s),tracked_metric_ui_display(s),schema_calculated_metrics,calculated_metric_unit,calculated_metric_ui_display,schema_target,schema_units,schema_required_days,schema_total_days,schema_progress_direction,schema_daily_limit
REC0001.2-PROPORTIONAL,PROPORTIONAL,REC0001.2,Increase Fiber Intake,Include two distinct sources of fiber each day,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",Proportional Achievement - dietary_fiber_sources,proportional,fiber_serving,serving,Servings,daily_fiber_serving_sum,serving,Servings,2.00,serving,7,7,buildup,
REC0001.3 (i)-PROPORTIONAL,PROPORTIONAL,REC0001.3 (i),Increase Fiber Intake: Women <50,Reach 25g of fiber daily with consistent adherence,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",Proportional Achievement - dietary_fiber_grams,proportional,fiber_grams,gram,Grams,daily_fiber_grams_sum,gram,Grams,25.00,gram,7,7,buildup,
REC0001.3 (ii)-PROPORTIONAL,PROPORTIONAL,REC0001.3 (ii),Increase Fiber Intake: Men <50,Reach 38g of fiber daily with consistent adherence,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",Proportional Achievement - dietary_fiber_grams,proportional,fiber_grams,gram,Grams,daily_fiber_grams_sum,gram,Grams,38.00,gram,7,7,buildup,
REC0001.3 (iii)-PROPORTIONAL,PROPORTIONAL,REC0001.3 (iii),Increase Fiber Intake: Women ≥50,Reach 21g of fiber daily with consistent adherence,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",Proportional Achievement - dietary_fiber_grams,proportional,fiber_grams,gram,Grams,daily_fiber_grams_sum,gram,Grams,21.00,gram,7,7,buildup,
REC0001.3 (iv)-PROPORTIONAL,PROPORTIONAL,REC0001.3 (iv),Increase Fiber Intake: Men ≥50,Reach 30g of fiber daily with consistent adherence,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",Proportional Achievement - dietary_fiber_grams,proportional,fiber_grams,gram,Grams,daily_fiber_grams_sum,gram,Grams,30.00,gram,7,7,buildup,
REC0003.1-PROPORTIONAL,PROPORTIONAL,REC0003.1,Incorporate Zone 2 Cardio for Mitochondrial and Cardiovascular Health,"Complete at least 90 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities.","Zone 2 cardio involves sustained, moderate-intensity aerobic exercise that keeps your heart rate within a range that maximizes fat oxidation and mitochondrial efficiency. Training in this zone improves metabolic flexibility, insulin sensitivity, and cardiovascular resilience. It's foundational for longevity, endurance, and energy metabolism. You should be able to maintain conversation, but feel like you’re working.",Proportional Achievement - daily_zone2_cardio_duration,proportional,zone2_cardio_session_start_time,minutes_since_midnight,Time of Day,daily_zone2_cardio_duration_sum,minutes,Minutes,90.00,minutes,1,7,buildup,
REC0003.2-PROPORTIONAL,PROPORTIONAL,REC0003.2,Incorporate Zone 2 Cardio for Mitochondrial and Cardiovascular Health,"Complete at least 120 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities.

Note: Daily contributions are capped at 90 minutes for progress tracking","Zone 2 cardio involves sustained, moderate-intensity aerobic exercise that keeps your heart rate within a range that maximizes fat oxidation and mitochondrial efficiency. Training in this zone improves metabolic flexibility, insulin sensitivity, and cardiovascular resilience. It's foundational for longevity, endurance, and energy metabolism. You should be able to maintain conversation, but feel like you’re working.",Proportional Achievement - daily_zone2_cardio_duration,proportional,zone2_cardio_session_start_time,minutes_since_midnight,Time of Day,daily_zone2_cardio_duration_sum,minutes,Minutes,120.00,minutes,2,7,buildup,90
REC0003.3-PROPORTIONAL,PROPORTIONAL,REC0003.3,Incorporate Zone 2 Cardio for Mitochondrial and Cardiovascular Health,"Complete at least 180 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities.

Note: Daily contributions are capped at 90 minutes for progress tracking","Zone 2 cardio involves sustained, moderate-intensity aerobic exercise that keeps your heart rate within a range that maximizes fat oxidation and mitochondrial efficiency. Training in this zone improves metabolic flexibility, insulin sensitivity, and cardiovascular resilience. It's foundational for longevity, endurance, and energy metabolism. You should be able to maintain conversation, but feel like you’re working.",Proportional Achievement - daily_zone2_cardio_duration,proportional,zone2_cardio_session_start_time,minutes_since_midnight,Time of Day,daily_zone2_cardio_duration_sum,minutes,Minutes,180.00,minutes,2,7,buildup,90
REC0006.1-PROPORTIONAL,PROPORTIONAL,REC0006.1,Increase Protein Intake,Include at least 2 servings of protein throughout each day.,"Protein is essential for building and maintaining lean muscle, supporting metabolic health, and promoting satiety. Regularly including high-quality protein sources in your meals enhances recovery, supports healthy aging, and helps maintain energy and body composition.",Proportional Achievement - dietary_protein,proportional,protein_serving,serving,Servings,daily_protein_servings_sum,serving,Servings,2.00,serving,7,7,buildup,
REC0006.2-PROPORTIONAL,PROPORTIONAL,REC0006.2,Increase Protein Intake,"Include a protein serving at every main meal (breakfast, lunch, and dinner)","Protein is essential for building and maintaining lean muscle, supporting metabolic health, and promoting satiety. Regularly including high-quality protein sources in your meals enhances recovery, supports healthy aging, and helps maintain energy and body composition.",Proportional Achievement - dietary_protein,proportional,protein_serving,serving,Servings,daily_protein_servings_sum,serving,Servings,3.00,serving,7,7,buildup,
REC0006.3-PROPORTIONAL,PROPORTIONAL,REC0006.3,Increase Protein Intake,"Achieve 1.2–1.5 g/kg body weight daily (or increase by 35–40g from baseline, using tracking/logging tools)","Protein is essential for building and maintaining lean muscle, supporting metabolic health, and promoting satiety. Regularly including high-quality protein sources in your meals enhances recovery, supports healthy aging, and helps maintain energy and body composition.",Proportional Achievement - dietary_protein_grams,proportional,"protein_grams,weight","gram,kilogram","Grams, Kilograms",daily_protein_per_kg_divide,grams_per_kg,g/kg,1.35,grams_per_kg,7,7,buildup,
REC0007.1-PROPORTIONAL,PROPORTIONAL,REC0007.1,Increase Vegetable Intake,Include at least 2 servings of vegetables throughout each day.,"Regular vegetable intake supports metabolic health, cardiovascular resilience, and digestive function. Vegetables provide essential micronutrients, fiber, and phytonutrients linked to healthy aging, inflammation reduction, and chronic disease risk reduction.",Proportional Achievement - dietary_vegetables,proportional,vegetable_serving,serving,Servings,daily_vegetable_servings_sum,serving,Servings,2.00,serving,7,7,buildup,
