ID,Title,therapeutic_summary,therapeutic_recommendation,stack_summary,stack_recommendation,therapeutic_type_ref_#,option_count,therapeutic_count,therapeutic_type,therapeutic_1,therapeutic_1_overview,therapeutic_1_recommendation,therapeutic_1_type,therapeutic_1_category,therapeutic_1_operator,therapeutic_1_dose_min,therapeutic_1_dose_max,therapeutic_1_unit,therapeutic_1_unit_symbol,therapeutic_1_dose_rollup,therapeutic_1_frequency_days,therapeutic_1_timing,therapeutic_1_linked_evidence,therapeutic_1_age_min,therapeutic_1_age_max,therapeutic_1_gender,therapeutic_2,therapeutic_2_type,therapeutic_2_category,therapeutic_2_operator,therapeutic_2_dose_min,therapeutic_2_dose_max,therapeutic_2_unit,therapeutic_2_unit_symbol,therapeutic_2_dose_rollup,therapeutic_2_frequency_days,therapeutic_2_timing,therapeutic_2_linked_evidence,therapeutic_2_age_min,therapeutic_2_age_max,therapeutic_2_gender,therapeutic_3,therapeutic_3_type,therapeutic_3_category,therapeutic_3_operator,therapeutic_3_dose_min,therapeutic_3_dose_max,therapeutic_3_unit,therapeutic_3_unit_symbol,therapeutic_3_dose_rollup,therapeutic_3_frequency_days,therapeutic_3_timing,therapeutic_3_linked_evidence,therapeutic_3_age_min,therapeutic_3_age_max,therapeutic_3_gender,Linked Evidence,Last Modified,Last Modified By,record_id
SUP001-SINGLE,Omega-3: Supplement,Essential fatty acids for cardiovascular and cognitive health,"Take 2,000-4,000mg of an Omega-3 supplement (DHA/EPA) with meals daily for cardiovascular health, cognitive function, anti-inflammatory effects, and cellular membrane integrity",,,001,,SINGLE,SUP,Omega-3,Essential fatty acids for cardiovascular and cognitive health,"Take 2,000-4,000mg of an Omega-3 supplement (DHA/EPA) with meals daily for cardiovascular health, cognitive function, anti-inflammatory effects, and cellular membrane integrity",SUP,Supplement,<>,2000.0,4000.0,milligram,mg,2000-4000 mg,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI229,LI230,LI231,LI232",9/27/2025 10:03am,Keegan Dolan,recD426nXwApna9E0
SUP002-SINGLE,Vitamin D3: Supplement,"Fat-soluble vitamin for bone health, immune function","Take 2,000-5,000 IU of Vitamin D3 with meals daily for bone health, immune function, hormone optimization, and reduced cancer risk",,,002,,SINGLE,SUP,Vitamin D3,"Fat-soluble vitamin for bone health, immune function","Take 2,000-5,000 IU of Vitamin D3 with meals daily for bone health, immune function, hormone optimization, and reduced cancer risk",SUP,Supplement,<>,2000.0,5000.0,international_unit,IU,2000-5000 IU,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI233,LI234,LI235,LI236",9/27/2025 10:10am,Keegan Dolan,recFdPkG1F9TcwMiY
SUP003-SINGLE,Magnesium: Supplement,"Essential mineral for muscle, nerve, and bone health","Take 400-800mg of Magnesium before bed daily for muscle function, sleep quality, stress reduction, bone health, and cardiovascular protection",,,003,,SINGLE,SUP,Magnesium,"Essential mineral for muscle, nerve, and bone health","Take 400-800mg of Magnesium before bed daily for muscle function, sleep quality, stress reduction, bone health, and cardiovascular protection",SUP,Supplement,<>,400.0,800.0,milligram,mg,400-800 mg,1.0,Before bed,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI237,LI238,LI239,LI240",9/27/2025 10:10am,Keegan Dolan,recqKzD1KpCxZk4ry
SUP004-SINGLE,Creatine Monohydrate: Supplement,Energy metabolism enhancer for muscle performance,"Take 3-5g of Creatine Monohydrate at any time daily for muscle preservation, cognitive enhancement, cellular energy production, and neuroprotection",,,004,,SINGLE,SUP,Creatine Monohydrate,Energy metabolism enhancer for muscle performance,"Take 3-5g of Creatine Monohydrate at any time daily for muscle preservation, cognitive enhancement, cellular energy production, and neuroprotection",SUP,Supplement,<>,3.0,20.0,gram,g,3-20 g,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI241,LI242,LI243,LI244",9/27/2025 10:10am,Keegan Dolan,recsE0RKbgzugZfPh
SUP005-SINGLE,Protein Powder: Supplement,Dietary protein supplement for muscle synthesis,"Take 20-40g of Protein Powder at any time daily for muscle protein synthesis, satiety, metabolic support, and healthy aging",,,005,,SINGLE,SUP,Protein Powder,Dietary protein supplement for muscle synthesis,"Take 20-40g of Protein Powder at any time daily for muscle protein synthesis, satiety, metabolic support, and healthy aging",SUP,Supplement,<>,20.0,40.0,gram,g,20-40 g,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI030,LI031,LI032,LI245,LI246,LI247,LI248",9/27/2025 10:11am,Keegan Dolan,recQaZVJXPAHgLTHm
SUP006-SINGLE,Coenzyme Q10: Supplement,Antioxidant for mitochondrial function and heart health,"Take 200-600mg of CoQ10 with meals daily for mitochondrial function, heart health, antioxidant protection, and cellular energy production",,,006,,SINGLE,SUP,Coenzyme Q10,Antioxidant for mitochondrial function and heart health,"Take 200-600mg of CoQ10 with meals daily for mitochondrial function, heart health, antioxidant protection, and cellular energy production",SUP,Supplement,<>,200.0,600.0,milligram,mg,200-600 mg,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI249,LI250,LI251,LI252",9/27/2025 10:11am,Keegan Dolan,reckfFHaqSYeC3nhg
SUP007(i)-SINGLE,Psyllium: Supplement,Soluble fiber for digestive health and cholesterol,"Take 10-25g of Psyllium before meals daily for digestive health, cholesterol reduction, blood sugar control, and gut microbiome support",,,007,(i),SINGLE,SUP,Psyllium,Soluble fiber for digestive health and cholesterol,"Take 10-25g of Psyllium before meals daily for digestive health, cholesterol reduction, blood sugar control, and gut microbiome support",SUP,Supplement,<>,10.0,25.0,gram,g,10-25 g,1.0,Before meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI019,LI020,LI253,LI254,LI255,LI256",9/27/2025 10:11am,Keegan Dolan,recLSE9drrQavNmkC
SUP007(ii)-SINGLE,Inulin: Supplement,Prebiotic soluble fiber for gut microbiome health,"Take 8-12g of Inulin with meals daily for gut microbiome optimization, prebiotic support, digestive health, blood sugar control, and systemic inflammation reduction",,,007,(ii),SINGLE,SUP,Inulin,Prebiotic soluble fiber for gut microbiome health,"Take 8-12g of Inulin with meals daily for gut microbiome optimization, prebiotic support, digestive health, blood sugar control, and systemic inflammation reduction",SUP,Supplement,<>,8.0,12.0,gram,g,8-12 g,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI019,LI020,LI253,LI254,LI255,LI256",9/27/2025 10:14am,Keegan Dolan,recFE14qL0S8sFnSB
SUP008-SINGLE,Multivitamin: Supplement,Comprehensive vitamin/mineral combination,Take 1 high-quality Multivitamin with meals daily to cover nutritional gaps and support overall health and longevity,,,008,,SINGLE,SUP,Multivitamin,Comprehensive vitamin/mineral combination,Take 1 high-quality Multivitamin with meals daily to cover nutritional gaps and support overall health and longevity,SUP,Supplement,<>,1.0,1.0,pack_vitamin,pack(s),1-1 pack(s),1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI257,LI258,LI259,LI260",9/27/2025 10:14am,Keegan Dolan,recVfuxjbDBkPwulN
SUP009-SINGLE,Iron: Supplement,Essential mineral for oxygen transport,"Take 8-18mg of Iron on empty stomach daily (if deficient) for oxygen transport, energy production, and cognitive function",,,009,,SINGLE,SUP,Iron,Essential mineral for oxygen transport,"Take 8-18mg of Iron on empty stomach daily (if deficient) for oxygen transport, energy production, and cognitive function",SUP,Supplement,<>,8.0,18.0,milligram,mg,8-18 mg,1.0,Empty stomach,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI259,LI261,LI262,LI263,LI264",9/27/2025 10:14am,Keegan Dolan,recDWfOeF8XHqTgnp
SUP010-STACK,Vitamin B12 + Folate Stack,"Synergistic B vitamins essential for DNA methylation, homocysteine metabolism, neurological function, and cellular repair. Together they optimize methylation pathways crucial for longevity, cardiovascular health, and cognitive preservation.","Take 500-2,000mcg of Vitamin B12 (morning) and 400-800mcg of Folate (with meals) daily for optimal methylation support, cardiovascular protection, neurological health, DNA synthesis, and homocysteine metabolism optimization","Synergistic B vitamins essential for DNA methylation, homocysteine metabolism, neurological function, and cellular repair. Together they optimize methylation pathways crucial for longevity, cardiovascular health, and cognitive preservation.","Take 500-2,000mcg of Vitamin B12 (morning) and 400-800mcg of Folate (with meals) daily for optimal methylation support, cardiovascular protection, neurological health, DNA synthesis, and homocysteine metabolism optimization",010,,STACK,SUP,Vitamin B12,Water-soluble vitamin for neurological function,"Take 500-2,000mcg of Vitamin B12 in the morning daily for neurological function, energy metabolism, DNA synthesis, and cognitive health",SUP,Supplement,<>,500.0,2000.0,microgram,µg,500-2000 µg,1.0,Morning,,21.0,150.0,male_female,Folate,SUP,Supplement,<>,400.0,800.0,microgram,µg,400-800 µg,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,"LI260,LI257,LI258,LI265",9/27/2025 10:59am,Keegan Dolan,rec2rp3fHH2YUupT9
SUP011-SINGLE,Probiotic: Supplement,Beneficial bacteria for gut microbiome health,"Take 10-50 billion CFU of a multi-strain Probiotic on empty stomach daily for gut microbiome health, immune function, and systemic inflammation reduction",,,011,,SINGLE,SUP,Probiotic,Beneficial bacteria for gut microbiome health,"Take 10-50 billion CFU of a multi-strain Probiotic on empty stomach daily for gut microbiome health, immune function, and systemic inflammation reduction",SUP,Supplement,<>,10.0,50.0,billion_CFU,billion CFU,10-50 billion CFU,1.0,Empty stomach,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI256,LI266,LI267,LI268,LI269",9/27/2025 10:17am,Keegan Dolan,reckkSx4q3QCfv0IF
SUP012-SINGLE,Melatonin: Supplement,Hormone for sleep regulation,"Take 0.5-3mg of Melatonin before bed daily for sleep optimization, circadian rhythm regulation, and antioxidant protection",,,012,,SINGLE,SUP,Melatonin,Hormone for sleep regulation,"Take 0.5-3mg of Melatonin before bed daily for sleep optimization, circadian rhythm regulation, and antioxidant protection",SUP,Supplement,<>,0.5,3.0,milligram,mg,0.5-3 mg,1.0,Before bed,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI270,LI271,LI272,LI273",9/27/2025 10:17am,Keegan Dolan,recoWZDGXdcZFUjCn
SUP013-SINGLE,Calcium: Supplement,Essential mineral for bone and muscle function,"Take 600-1,200mg of Calcium with meals daily for bone health, muscle function, and cardiovascular support",,,013,,SINGLE,SUP,Calcium,Essential mineral for bone and muscle function,"Take 600-1,200mg of Calcium with meals daily for bone health, muscle function, and cardiovascular support",SUP,Supplement,<>,600.0,1200.0,milligram,mg,600-1200 mg,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI274,LI275,LI276,LI277",9/27/2025 10:22am,Keegan Dolan,rechvSExLMD5YORhF
SUP014-SINGLE,Zinc: Supplement,Essential mineral for immune function and wound healing,"Take 15-30mg of Zinc on empty stomach daily for immune function, wound healing, protein synthesis, and antioxidant activity",,,014,,SINGLE,SUP,Zinc,Essential mineral for immune function and wound healing,"Take 15-30mg of Zinc on empty stomach daily for immune function, wound healing, protein synthesis, and antioxidant activity",SUP,Supplement,<>,15.0,30.0,milligram,mg,15-30 mg,1.0,Empty stomach,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI278,LI279,LI280,LI281",9/27/2025 10:22am,Keegan Dolan,recMtYN056UTY5QKJ
SUP015-SINGLE,NAC: Supplement,Antioxidant precursor for glutathione synthesis,"Take 1,200-2,400mg of NAC on empty stomach daily for glutathione production, liver detoxification, respiratory health, and cellular protection",,,015,,SINGLE,SUP,NAC,Antioxidant precursor for glutathione synthesis,"Take 1,200-2,400mg of NAC on empty stomach daily for glutathione production, liver detoxification, respiratory health, and cellular protection",SUP,Supplement,<>,1200.0,2400.0,milligram,mg,1200-2400 mg,1.0,Empty stomach,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI282,LI283,LI284,LI285",9/27/2025 10:22am,Keegan Dolan,recRu57EJ7T4zhB2h
SUP016-SINGLE,Berberine: Supplement,Plant alkaloid for glucose metabolism,"Take 500-1,500mg of Berberine before meals daily for glucose metabolism, insulin sensitivity, cholesterol management, and gut health",,,016,,SINGLE,SUP,Berberine,Plant alkaloid for glucose metabolism,"Take 500-1,500mg of Berberine before meals daily for glucose metabolism, insulin sensitivity, cholesterol management, and gut health",SUP,Supplement,<>,500.0,1500.0,milligram,mg,500-1500 mg,1.0,Before meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI286,LI287,LI288,LI289",9/27/2025 10:22am,Keegan Dolan,rec7MU52EslZT1jUt
SUP017-SINGLE,Glycine: Supplement,Amino acid for sleep and collagen synthesis,"Take 3-10g of Glycine before bed daily for sleep quality, collagen synthesis, detoxification, and neuroprotection",,,017,,SINGLE,SUP,Glycine,Amino acid for sleep and collagen synthesis,"Take 3-10g of Glycine before bed daily for sleep quality, collagen synthesis, detoxification, and neuroprotection",SUP,Supplement,<>,3.0,10.0,gram,g,3-10 g,1.0,Before bed,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI290,LI291,LI292,LI293",9/27/2025 10:22am,Keegan Dolan,recDhLwBE8RhFpcMX
SUP018-STACK,Glucosamine + Chondroitin Stack,Complementary compounds for comprehensive cartilage support - glucosamine provides building blocks for cartilage synthesis while chondroitin maintains cartilage structure and joint lubrication. Combined they offer superior joint preservation and mobility maintenance.,"Take 1,500mg of Glucosamine and 800-1,200mg of Chondroitin with meals daily for comprehensive joint health, cartilage preservation, reduced inflammation, and long-term mobility maintenance",Complementary compounds for comprehensive cartilage support - glucosamine provides building blocks for cartilage synthesis while chondroitin maintains cartilage structure and joint lubrication. Combined they offer superior joint preservation and mobility maintenance.,"Take 1,500mg of Glucosamine and 800-1,200mg of Chondroitin with meals daily for comprehensive joint health, cartilage preservation, reduced inflammation, and long-term mobility maintenance",018,,STACK,SUP,Glucosamine,Amino sugar for cartilage synthesis and joint health,"Take 1,500mg of Glucosamine with meals daily for joint health, cartilage preservation, and mobility maintenance",SUP,Supplement,=,1500.0,,milligram,mg,1500 mg,1.0,With meals,,21.0,150.0,male_female,Chondroitin,SUP,Supplement,<>,800.0,1200.0,milligram,mg,800-1200 mg,1.0,With meals,,,,male_female,,,,,,,,,,,,,,,,"LI294,LI295,LI296,LI297",9/27/2025 10:59am,Keegan Dolan,recWO0nU7IeD7SHi9
SUP019-SINGLE,Curcumin: Supplement,Anti-inflammatory polyphenol from turmeric,"Take 1,000-2,000mg of Curcumin with meals daily for anti-inflammatory effects, antioxidant protection, brain health, and longevity pathways",,,019,,SINGLE,SUP,Curcumin,Anti-inflammatory polyphenol from turmeric,"Take 1,000-2,000mg of Curcumin with meals daily for anti-inflammatory effects, antioxidant protection, brain health, and longevity pathways",SUP,Supplement,<>,1000.0,2000.0,milligram,mg,1000-2000 mg,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI298,LI299,LI300,LI301",9/27/2025 10:31am,Keegan Dolan,rec2jWRD3SItFiAWs
SUP020-SINGLE,Alpha-Lipoic Acid: Supplement,Antioxidant for metabolic and neurological health,"Take 600-1,200mg of Alpha-Lipoic Acid on empty stomach daily for antioxidant protection, glucose metabolism, neuroprotection, and mitochondrial health",,,020,,SINGLE,SUP,Alpha-Lipoic Acid,Antioxidant for metabolic and neurological health,"Take 600-1,200mg of Alpha-Lipoic Acid on empty stomach daily for antioxidant protection, glucose metabolism, neuroprotection, and mitochondrial health",SUP,Supplement,<>,600.0,1200.0,milligram,mg,600-1200 mg,1.0,Empty stomach,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI302,LI303,LI304,LI305",9/27/2025 10:31am,Keegan Dolan,recjcAFH5st2aRDO0
SUP021-SINGLE,Astaxanthin: Supplement,Potent carotenoid antioxidant for eye/skin health,"Take 8-24mg of Astaxanthin with meals daily for powerful antioxidant protection, eye health, skin protection, and cardiovascular benefits",,,021,,SINGLE,SUP,Astaxanthin,Potent carotenoid antioxidant for eye/skin health,"Take 8-24mg of Astaxanthin with meals daily for powerful antioxidant protection, eye health, skin protection, and cardiovascular benefits",SUP,Supplement,<>,8.0,24.0,milligram,mg,8-24 mg,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI306,LI307,LI308,LI309",9/27/2025 10:31am,Keegan Dolan,recKNB8U7yjdesIaY
SUP022-SINGLE,Resveratrol: Supplement,Polyphenol antioxidant for cardiovascular health,"Take 500-2,000mg of Resveratrol on empty stomach daily for cardiovascular health, longevity gene activation, anti-inflammatory effects, and neuroprotection",,,022,,SINGLE,SUP,Resveratrol,Polyphenol antioxidant for cardiovascular health,"Take 500-2,000mg of Resveratrol on empty stomach daily for cardiovascular health, longevity gene activation, anti-inflammatory effects, and neuroprotection",SUP,Supplement,<>,500.0,2000.0,milligram,mg,500-2000 mg,1.0,Empty stomach,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI310,LI311,LI312,LI313",9/27/2025 10:31am,Keegan Dolan,recJH0aBL1IvHnanZ
